<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTDL.US,D,20260715,000000,27.255,27.3684,26.7324,26.7324,4938,0
BTDL.US,D,20260716,000000,24.81,24.81,20,20.8847,8005,0
BTDL.US,D,20260717,000000,19.2,19.6,17.89,19.0729,16322,0
BTDL.US,D,20260720,000000,21.2801,21.85,21.2083,21.2083,1964,0
BTDL.US,D,20260721,000000,22.95,25.5199,22.7484,25.5199,26812,0
BTDL.US,D,20260722,000000,25.52,25.74,24.5722,24.5722,2116,0
BTDL.US,D,20260723,000000,24.76,24.76,24.2031,24.2031,1808,0
BTDL.US,D,20260727,000000,19.99,21.01,19.41,20.8506,3465,0
BTDL.US,D,20260728,000000,17.25,18,16.41,16.9045,6990,0
BTDL.US,D,20260729,000000,14.88,14.88,12,12.3433,6244,0
BTDL.US,D,20260730,000000,14.4,19.54,14.4,18.4141,6137,0
BTDL.US,D,20260731,000000,20,20,16.5645,16.5645,35200,0
BTDL.US,D,20260803,000000,18.69,19.1296,18.62,19.1296,6199,0
BTDL.US,D,20260804,000000,22.6,24.13,19.0316,19.0316,17239,0
BTDL.US,D,20260805,000000,19.03,19.03,14.9001,18.1944,4741,0
BTDL.US,D,20260806,000000,16.91,17.29,16.34,16.4165,15211,0
BTDL.US,D,20260807,000000,16.46,17.4697,16.46,17.4697,9240,0
BTDL.US,D,20260810,000000,15.08,15.08,10.455,10.5414,177320,0
BTDL.US,D,20260811,000000,11.36,11.715,9.795,10.481,100252,0
BTDL.US,D,20260812,000000,11.51,12.42,10.93,11.1197,59662,0
BTDL.US,D,20260813,000000,11.5255,11.5255,10.3544,10.4364,27073,0
BTDL.US,D,20260814,000000,10.6,11.6,10.2,11.3292,30558,0
BTDL.US,D,20260817,000000,12.5,12.68,11.25,11.8974,46476,0
BTDL.US,D,20260818,000000,11.172,11.45,10.13,11.0134,47866,0
BTDL.US,D,20260819,000000,10.9,13.65,9.9,12.5618,76811,0
BTDL.US,D,20260820,000000,14.1,16.5,14,14.4883,52858,0
BTDL.US,D,20260821,000000,17.17,18.02,15.23,17.22,65357,0
BTDL.US,D,20260824,000000,17.34,18.1,15.4291,15.643,33441,0
