<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HWSM.US,D,20250331,000000,24.37,24.705,24.37,24.6727,6323,0
HWSM.US,D,20250401,000000,24.75,24.8,24.56,24.664,44800,0
HWSM.US,D,20250403,000000,23.88,23.88,23.2074,23.2074,7705,0
HWSM.US,D,20250407,000000,21.44,21.74,21.28,21.5861,6809,0
HWSM.US,D,20250408,000000,21.37,21.39,20.86,21.0563,450,0
HWSM.US,D,20250409,000000,20.99,22.9044,20.83,22.9044,400,0
HWSM.US,D,20250410,000000,22.09,22.09,21.4,21.8984,7123,0
HWSM.US,D,20250425,000000,22.95,23.017,22.95,23.017,100,0
HWSM.US,D,20250430,000000,22.8,23.0513,22.8,23.0513,4386,0
HWSM.US,D,20250507,000000,23.35,23.38,23.2952,23.2952,201,0
HWSM.US,D,20250514,000000,24.6099,24.615,24.59,24.615,4230,0
HWSM.US,D,20250515,000000,24.53,24.6094,24.53,24.6094,400,0
HWSM.US,D,20250516,000000,24.7684,24.85,24.7684,24.845,300,0
HWSM.US,D,20250519,000000,24.72,24.72,24.7101,24.7101,100,0
HWSM.US,D,20250520,000000,24.73,24.73,24.6395,24.6395,110,0
HWSM.US,D,20250522,000000,23.91,23.91,23.9025,23.9025,8400,0
HWSM.US,D,20250624,000000,24.89,24.89,24.855,24.855,100,0
HWSM.US,D,20250811,000000,25.33,25.33,25.2891,25.2891,600,0
HWSM.US,D,20250909,000000,27,27,26.9246,26.9246,100,0
HWSM.US,D,20251112,000000,26.83,26.83,26.6268,26.6268,384,0
HWSM.US,D,20251114,000000,26.0997,26.2139,26.0997,26.2139,406,0
HWSM.US,D,20251118,000000,25.6799,25.85,25.6799,25.8024,2289,0
HWSM.US,D,20251119,000000,25.83,25.83,25.7362,25.7362,802,0
HWSM.US,D,20251120,000000,26.09,26.09,25.4911,25.4911,300,0
HWSM.US,D,20251121,000000,25.85,26.4,25.85,26.2604,1441,0
HWSM.US,D,20251124,000000,26.51,26.51,26.4477,26.4477,201,0
HWSM.US,D,20251125,000000,27.04,27.04,26.9818,26.9818,100,0
HWSM.US,D,20251203,000000,26.82,26.8601,26.82,26.8601,656,0
HWSM.US,D,20251204,000000,26.82,26.8458,26.82,26.8458,322,0
HWSM.US,D,20251209,000000,26.81,26.81,26.8044,26.8044,1865,0
HWSM.US,D,20251212,000000,27.58,27.58,27.5642,27.5642,999,0
HWSM.US,D,20260121,000000,28.3,28.5162,28.3,28.5162,201,0
HWSM.US,D,20260122,000000,28.72,28.72,28.6079,28.6079,100,0
HWSM.US,D,20260127,000000,28.18,28.18,28.175,28.175,110,0
HWSM.US,D,20260217,000000,29.155,29.209,29.155,29.185,938,0
HWSM.US,D,20260218,000000,29.45,29.45,29.3686,29.3686,101,0
HWSM.US,D,20260219,000000,29.23,29.289,29.23,29.289,502,0
HWSM.US,D,20260220,000000,29.26,29.4513,29.26,29.4513,203,0
HWSM.US,D,20260226,000000,29.2,29.2307,29.2,29.2307,100,0
HWSM.US,D,20260227,000000,28.77,28.8142,28.77,28.8142,400,0
HWSM.US,D,20260302,000000,28.78,28.886,28.78,28.886,300,0
HWSM.US,D,20260310,000000,27.74,27.74,27.74,27.74,100,0
HWSM.US,D,20260311,000000,27.16,27.355,27.16,27.355,359,0
HWSM.US,D,20260312,000000,27,27,26.923,26.923,1856,0
HWSM.US,D,20260316,000000,27.04,27.04,27.0243,27.0243,1011,0
HWSM.US,D,20260319,000000,26.78,26.78,26.7582,26.7582,153,0
HWSM.US,D,20260323,000000,26.99,26.99,26.9468,26.9468,402,0
HWSM.US,D,20260406,000000,27.44,27.5934,27.37,27.5934,903,0
HWSM.US,D,20260417,000000,29.05,29.05,28.9584,28.9584,528,0
HWSM.US,D,20260421,000000,28.97,29.06,28.9177,28.9177,899,0
HWSM.US,D,20260422,000000,28.8,28.81,28.7922,28.7922,1387,0
HWSM.US,D,20260427,000000,28.77,28.85,28.77,28.8069,2586,0
HWSM.US,D,20260511,000000,28.89,28.8901,28.8161,28.8161,2003,0
HWSM.US,D,20260527,000000,29.72,29.72,29.5721,29.5721,208,0
HWSM.US,D,20260529,000000,29.61,29.61,29.5435,29.5435,375,0
HWSM.US,D,20260615,000000,30.74,30.74,30.5026,30.5026,402,0
HWSM.US,D,20260616,000000,30.5,30.5,30.395,30.395,643,0
HWSM.US,D,20260617,000000,30.46,30.46,29.875,29.875,642,0
HWSM.US,D,20260618,000000,30.05,30.05,30.0272,30.0272,105,0
HWSM.US,D,20260630,000000,30.5862,30.5862,30.5862,30.5862,8,0
HWSM.US,D,20260701,000000,30.6561,30.6561,30.6561,30.6561,9,0
HWSM.US,D,20260803,000000,31.785,31.8014,31.785,31.8014,309,0
HWSM.US,D,20260805,000000,32.07,32.099,32.0226,32.0226,2270,0
HWSM.US,D,20260818,000000,32.015,32.015,31.935,31.935,205,0
HWSM.US,D,20260819,000000,32.06,32.06,31.9294,31.9294,107,0
