<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JDOC.US,D,20231103,000000,49.2335,49.2335,49.2335,49.2335,49,0
JDOC.US,D,20231106,000000,49.5019,49.5019,49.5019,49.5019,16,0
JDOC.US,D,20231107,000000,49.54,49.69,49.54,49.6592,1194,0
JDOC.US,D,20231108,000000,49.57,49.57,49.3897,49.3897,366,0
JDOC.US,D,20231109,000000,48.4348,48.4348,48.4348,48.4348,94,0
JDOC.US,D,20231110,000000,48.7021,48.7021,48.7021,48.7021,100,0
JDOC.US,D,20231113,000000,48.52,48.8691,48.52,48.8691,1292,0
JDOC.US,D,20231114,000000,49.7063,49.7063,49.7063,49.7063,154,0
JDOC.US,D,20231115,000000,49.6657,49.6657,49.6657,49.6657,2,0
JDOC.US,D,20231116,000000,49.7382,49.7382,49.7382,49.7382,87,0
JDOC.US,D,20231117,000000,49.985,50.0269,49.985,50.0269,100,0
JDOC.US,D,20231120,000000,50.3826,50.3826,50.3826,50.3826,52,0
JDOC.US,D,20231121,000000,50.4233,50.4233,50.4233,50.4233,124,0
JDOC.US,D,20231122,000000,50.6971,50.6971,50.6971,50.6971,9,0
JDOC.US,D,20231124,000000,51.04,51.072,51.04,51.072,106,0
JDOC.US,D,20231127,000000,50.81,50.81,50.7863,50.7863,888,0
JDOC.US,D,20231128,000000,50.3832,50.3832,50.3832,50.3832,66,0
JDOC.US,D,20231129,000000,50.618,50.67,50.5068,50.5068,1986,0
JDOC.US,D,20231130,000000,50.976,50.976,50.976,50.976,23,0
JDOC.US,D,20231201,000000,51.3871,51.3871,51.3871,51.3871,40,0
JDOC.US,D,20231204,000000,51.5462,51.5462,51.5462,51.5462,1,0
JDOC.US,D,20231205,000000,51,51.1844,51,51.1844,213,0
JDOC.US,D,20231206,000000,51.64,51.64,51.2578,51.2578,2440,0
JDOC.US,D,20231207,000000,51.14,51.3433,51.14,51.3433,220,0
JDOC.US,D,20231208,000000,51.5,51.5,51.382,51.382,107,0
JDOC.US,D,20231211,000000,51.49,51.5358,51.49,51.5358,244,0
JDOC.US,D,20231212,000000,51.9117,51.9117,51.9117,51.9117,45,0
JDOC.US,D,20231213,000000,52.95,52.95,52.95,52.95,70,0
JDOC.US,D,20231214,000000,53.0281,53.0281,53.0281,53.0281,3,0
JDOC.US,D,20231215,000000,52.5707,52.5707,52.5707,52.5707,13,0
JDOC.US,D,20231218,000000,52.6286,52.6286,52.6286,52.6286,9,0
JDOC.US,D,20231219,000000,53.0924,53.0924,53.0924,53.0924,28,0
JDOC.US,D,20231220,000000,52.0492,52.0492,52.0492,52.0492,13,0
JDOC.US,D,20231221,000000,52.58,52.8219,52.57,52.8219,2057,0
JDOC.US,D,20231222,000000,53.3015,53.3015,53.2083,53.2083,229,0
JDOC.US,D,20231226,000000,53.5208,53.5208,53.5208,53.5208,27,0
JDOC.US,D,20231227,000000,53.9583,53.9583,53.9583,53.9583,13,0
JDOC.US,D,20231228,000000,54.0491,54.0491,54.0491,54.0491,102,0
JDOC.US,D,20231229,000000,53.9,53.9,53.88,53.88,1299,0
JDOC.US,D,20240102,000000,53.87,54.798,53.87,54.5502,598,0
JDOC.US,D,20240103,000000,54.26,54.3222,54.26,54.3222,132,0
JDOC.US,D,20240104,000000,54.6793,54.6793,54.6793,54.6793,78,0
JDOC.US,D,20240105,000000,54.4403,54.6103,54.4403,54.6103,122,0
JDOC.US,D,20240108,000000,54.76,55.37,54.76,55.3386,336,0
JDOC.US,D,20240109,000000,55.3406,55.3406,55.3406,55.3406,432,0
JDOC.US,D,20240110,000000,55.39,55.5655,55.2602,55.5655,747,0
JDOC.US,D,20240111,000000,55.12,55.34,55.12,55.3304,1218,0
JDOC.US,D,20240112,000000,55.1575,55.1575,55.1575,55.1575,96,0
JDOC.US,D,20240116,000000,54.67,54.67,54.67,54.67,233,0
JDOC.US,D,20240117,000000,54.47,54.5,54.4231,54.4231,764,0
JDOC.US,D,20240118,000000,53.7,54.3036,53.7,54.3036,2043,0
JDOC.US,D,20240119,000000,54.2491,54.2491,54.2491,54.2491,156,0
JDOC.US,D,20240122,000000,54.7066,54.7066,54.7066,54.7066,75,0
JDOC.US,D,20240123,000000,54.45,54.6324,54.45,54.6324,452,0
JDOC.US,D,20240124,000000,54.2485,54.2485,54.2485,54.2485,20,0
JDOC.US,D,20240125,000000,54.2394,54.24,54.1014,54.1014,613,0
JDOC.US,D,20240126,000000,54.46,54.46,54.43,54.4566,1058,0
JDOC.US,D,20240129,000000,54.65,55.05,54.65,55.0382,1198,0
JDOC.US,D,20240130,000000,54.84,55.0299,54.84,55.0299,322,0
JDOC.US,D,20240131,000000,55.0487,55.0487,55.0487,55.0487,72,0
JDOC.US,D,20240201,000000,55.59,55.6864,55.55,55.6864,2190,0
JDOC.US,D,20240202,000000,55.5409,55.5409,55.5409,55.5409,67,0
JDOC.US,D,20240205,000000,55.98,56,55.8547,55.8547,741,0
JDOC.US,D,20240206,000000,56.12,56.3741,56.12,56.3741,1096,0
JDOC.US,D,20240207,000000,56.37,56.38,56.3463,56.3463,403,0
JDOC.US,D,20240208,000000,56.3159,56.3159,56.3159,56.3159,16,0
JDOC.US,D,20240209,000000,56.43,56.4306,56.43,56.4306,531,0
JDOC.US,D,20240212,000000,56.275,56.5109,56.275,56.5109,652,0
JDOC.US,D,20240213,000000,56,56,55.7743,55.7743,183,0
JDOC.US,D,20240214,000000,56.5243,56.5243,56.5243,56.5243,160,0
JDOC.US,D,20240215,000000,56.7298,56.9236,56.69,56.9236,1015,0
JDOC.US,D,20240216,000000,57.22,57.2628,57.22,57.2628,276,0
JDOC.US,D,20240220,000000,57.22,57.22,56.94,56.9786,765,0
JDOC.US,D,20240221,000000,56.9408,56.9408,56.9408,56.9408,19,0
JDOC.US,D,20240222,000000,57.18,57.66,57.1398,57.5897,1346,0
JDOC.US,D,20240223,000000,57.9119,57.9244,57.9,57.9244,470,0
JDOC.US,D,20240226,000000,57.95,57.9528,57.95,57.9528,367,0
JDOC.US,D,20240227,000000,57.9,58.061,57.9,57.9969,624,0
JDOC.US,D,20240228,000000,57.3419,57.3794,57.3419,57.3794,420,0
JDOC.US,D,20240229,000000,57.0493,57.0757,57.02,57.0243,1370,0
JDOC.US,D,20240301,000000,57.54,57.7952,57.54,57.7952,1015,0
JDOC.US,D,20240304,000000,57.6979,57.6979,57.6979,57.6979,214,0
JDOC.US,D,20240305,000000,57.7,57.7,57.17,57.2543,416,0
JDOC.US,D,20240306,000000,57.67,57.67,57.4643,57.5593,510,0
JDOC.US,D,20240307,000000,58.33,58.4047,58.2954,58.2954,1305,0
JDOC.US,D,20240308,000000,58.01,58.01,57.9941,57.9941,192,0
JDOC.US,D,20240311,000000,57.6734,57.6734,57.6734,57.6734,62,0
JDOC.US,D,20240312,000000,57.94,57.98,57.94,57.9628,3043,0
JDOC.US,D,20240313,000000,58.03,58.04,57.71,57.7835,2046,0
