<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVDL.US,D,20221214,000000,1.44484,1.44484,1.38788,1.40084,8373.3850772208,0
NVDL.US,D,20221215,000000,1.30549,1.31233,1.28393,1.31233,39533.952006057,0
NVDL.US,D,20221216,000000,1.28891,1.29472,1.26568,1.26764,43006.284478686,0
NVDL.US,D,20221219,000000,1.23183,1.23183,1.23183,1.23183,11610.6117053472,0
NVDL.US,D,20221220,000000,1.36853,1.36853,1.21012,1.21012,38394.592913478,0
NVDL.US,D,20221221,000000,1.25021,1.25021,1.25021,1.25021,2821.2701340096,0
NVDL.US,D,20221222,000000,1.12524,1.12524,1.09372,1.12284,22968.032501232,0
NVDL.US,D,20221223,000000,1.10586,1.10586,1.10566,1.10566,7993.5987130272,0
NVDL.US,D,20221227,000000,1.07271,1.07271,0.9893,0.9893,52808.389687872,0
NVDL.US,D,20221228,000000,0.982577,0.98645,0.979723,0.979723,49010.526045936,0
NVDL.US,D,20221229,000000,1.02018,1.04034,1.02018,1.04034,13509.5435263152,0
NVDL.US,D,20221230,000000,1.00967,1.03676,1.00967,1.03676,117245.47614605402,0
NVDL.US,D,20230103,000000,1.07049,1.07049,0.991427,1.06607,48974.355916014,0
NVDL.US,D,20230104,000000,1.04893,1.05446,1.02371,1.05028,132997.567727607,0
NVDL.US,D,20230105,000000,1.00912,1.01244,0.996743,1.00191,78814.713102654,0
NVDL.US,D,20230106,000000,1.04755,1.06213,1.04506,1.06213,8644.6610516448,0
NVDL.US,D,20230109,000000,1.17887,1.17887,1.14957,1.14957,48594.569551818,0
NVDL.US,D,20230110,000000,1.15288,1.17707,1.14127,1.17707,17578.6831426752,0
NVDL.US,D,20230111,000000,1.15924,1.1938,1.15924,1.1938,18501.0214557168,0
NVDL.US,D,20230112,000000,1.18827,1.24334,1.18827,1.24334,26964.831857745598,0
NVDL.US,D,20230113,000000,1.24412,1.28522,1.24412,1.28522,12822.3110577744,0
NVDL.US,D,20230117,000000,1.33287,1.3713,1.32596,1.3713,39895.653305289,0
NVDL.US,D,20230118,000000,1.3536,1.3536,1.33861,1.33861,28483.97731452,0
NVDL.US,D,20230119,000000,1.28559,1.29002,1.26807,1.26807,37092.468236241,0
NVDL.US,D,20230120,000000,1.28338,1.38646,1.27934,1.38646,105634.864440705,0
NVDL.US,D,20230123,000000,1.40088,1.55101,1.40088,1.52833,134589.053444226,0
NVDL.US,D,20230124,000000,1.53221,1.55819,1.53221,1.55429,82413.64103001,0
NVDL.US,D,20230125,000000,1.49461,1.56317,1.49461,1.56317,107316.77548213501,0
NVDL.US,D,20230126,000000,1.61791,1.61791,1.57588,1.61348,136053.943706118,0
NVDL.US,D,20230127,000000,1.59966,1.72297,1.59966,1.68917,203963.362636926,0
NVDL.US,D,20230130,000000,1.62786,1.64334,1.53165,1.5499,171175.139861544,0
NVDL.US,D,20230131,000000,1.54713,1.57893,1.52612,1.57809,138079.470981816,0
NVDL.US,D,20230201,000000,1.60353,1.77494,1.60353,1.75157,247476.02893453502,0
NVDL.US,D,20230202,000000,1.77494,1.86063,1.77494,1.84491,219516.51850390199,0
NVDL.US,D,20230203,000000,1.78158,1.85512,1.74453,1.77244,392391.65447184,0
NVDL.US,D,20230206,000000,1.73016,1.83024,1.73016,1.76936,233550.528914103,0
NVDL.US,D,20230207,000000,1.79762,1.91152,1.78324,1.90584,478585.07407881,0
NVDL.US,D,20230208,000000,1.95354,1.98679,1.88111,1.90841,492329.72344965,0
NVDL.US,D,20230209,000000,1.98341,2.09068,1.90046,1.92939,843957.6414980401,0
NVDL.US,D,20230210,000000,1.81254,1.87254,1.73292,1.77937,847339.54864584,0
NVDL.US,D,20230213,000000,1.79043,1.87738,1.77688,1.85291,394308.67135776003,0
NVDL.US,D,20230214,000000,1.81863,2.01216,1.79882,2.00409,1145779.29064218,0
NVDL.US,D,20230215,000000,1.95078,1.98106,1.89162,1.96792,715716.44585532,0
NVDL.US,D,20230216,000000,1.91484,1.94248,1.86894,1.8789,537397.70533395,0
NVDL.US,D,20230217,000000,1.80646,1.82858,1.74287,1.79817,390131.02135164,0
NVDL.US,D,20230221,000000,1.77494,1.79842,1.69974,1.70472,273229.161439854,0
NVDL.US,D,20230222,000000,1.69477,1.75117,1.67431,1.71578,790281.16869201,0
NVDL.US,D,20230223,000000,2.05142,2.09593,2.00497,2.06966,3600609.8383997995,0
NVDL.US,D,20230224,000000,2.00054,2.03538,1.97622,2.02432,879874.58051175,0
NVDL.US,D,20230227,000000,2.07962,2.09731,2.04091,2.04559,1042911.44114058,0
NVDL.US,D,20230228,000000,2.03317,2.08791,2.00994,2.00994,589880.5638525,0
NVDL.US,D,20230301,000000,2.01271,2.01271,1.91871,1.94414,482961.65979953995,0
NVDL.US,D,20230302,000000,1.91926,2.02874,1.91373,2.02322,731124.92120259,0
NVDL.US,D,20230303,000000,2.02045,2.09233,2.00165,2.09233,494970.14293403993,0
NVDL.US,D,20230306,000000,2.11003,2.14099,2.04368,2.05252,678063.34060527,0
NVDL.US,D,20230307,000000,2.07022,2.12164,2.01698,2.02045,512639.25140151,0
NVDL.US,D,20230308,000000,2.05971,2.1338,2.0481,2.13325,911125.57276542,0
NVDL.US,D,20230309,000000,2.12551,2.16698,2.0293,2.03814,823159.8167922,0
NVDL.US,D,20230310,000000,2.02322,2.04478,1.94618,1.96571,587113.54891338,0
NVDL.US,D,20230313,000000,1.94332,2.00276,1.88774,1.96516,783481.18426644,0
NVDL.US,D,20230314,000000,2.04257,2.12883,2.03814,2.10766,909805.3630232101,0
NVDL.US,D,20230315,000000,2.07851,2.13933,2.01658,2.11792,819777.90964437,0
NVDL.US,D,20230316,000000,2.11058,2.30798,2.08902,2.30356,1401031.8975101998,0
NVDL.US,D,20230317,000000,2.34282,2.41968,2.32014,2.33231,1815993.7130541,0
NVDL.US,D,20230320,000000,2.34613,2.36107,2.25269,2.34631,1027068.9242342401,0
