<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSYY.US,D,20241219,000000,34.6831,34.8517,33.303,33.8993,2601.24,0
TSYY.US,D,20241220,000000,33.3997,34.5706,33.1477,33.6127,2336.36,0
TSYY.US,D,20241223,000000,34.1764,34.6971,33.7254,34.5929,18041.8,0
TSYY.US,D,20241224,000000,35.0974,35.8094,35.0974,35.6138,6048.27,0
TSYY.US,D,20241226,000000,35.4861,35.7846,35.4861,35.6483,2391.04,0
TSYY.US,D,20241227,000000,35.7204,35.7204,35.0434,35.3109,4395.5,0
TSYY.US,D,20241230,000000,34.8731,35.2686,34.613,35.1146,5586.34,0
TSYY.US,D,20241231,000000,35.0569,35.1414,34.0978,34.0978,2074.05,0
TSYY.US,D,20250102,000000,31.8976,32.6105,30.4444,31.5298,5669.28,0
TSYY.US,D,20250103,000000,31.8342,35.8934,31.8342,35.8934,3061.46,0
TSYY.US,D,20250106,000000,36.2143,36.347,35.8895,36.0877,4227.5,0
TSYY.US,D,20250107,000000,36.0877,36.0877,35.7764,35.8583,1164.61,0
TSYY.US,D,20250108,000000,35.8471,36.1647,35.7764,36.1647,2999.09,0
TSYY.US,D,20250110,000000,36.1714,36.497,36.0168,36.3412,6009.52,0
TSYY.US,D,20250113,000000,36.3553,36.5671,36.0451,36.5173,8798.08,0
TSYY.US,D,20250114,000000,36.7078,36.7078,36.4186,36.4186,6806.96,0
TSYY.US,D,20250115,000000,36.4678,36.5238,36.4678,36.5031,1425.47,0
TSYY.US,D,20250116,000000,36.5529,36.6018,36.4992,36.6018,606.764,0
TSYY.US,D,20250117,000000,36.4678,36.5952,36.4535,36.4535,4069.43,0
TSYY.US,D,20250121,000000,36.2421,36.6513,36.2421,36.6507,4488.35,0
TSYY.US,D,20250122,000000,36.687,36.7585,36.687,36.7151,1089.48,0
TSYY.US,D,20250123,000000,36.6655,36.8349,36.4678,36.7788,2149.9,0
TSYY.US,D,20250124,000000,37.7528,37.7528,36.7803,36.8458,1494.44,0
TSYY.US,D,20250127,000000,36.8523,36.8523,36.5623,36.6355,4287.76,0
TSYY.US,D,20250128,000000,36.7658,36.7658,36.5774,36.6062,2077.07,0
TSYY.US,D,20250129,000000,36.693,36.693,36.2866,36.3702,2404.89,0
TSYY.US,D,20250130,000000,37.1135,37.2305,37.0855,37.1582,1226.55,0
TSYY.US,D,20250131,000000,37.2156,37.2446,37.0994,37.1791,3116.99,0
TSYY.US,D,20250203,000000,36.8676,36.9686,36.1558,36.9686,2708.6,0
TSYY.US,D,20250204,000000,36.8086,37.208,36.8086,37.208,1950.35,0
TSYY.US,D,20250205,000000,37.1209,37.1209,37.0414,37.0654,1901.46,0
TSYY.US,D,20250206,000000,36.4026,37.1399,36.3011,37.1399,4424.8,0
TSYY.US,D,20250207,000000,37.2021,37.3905,36.5778,36.5778,3043.99,0
TSYY.US,D,20250210,000000,36.6219,36.8239,36.5318,36.5318,2935.86,0
TSYY.US,D,20250211,000000,36.4465,36.5414,35.0678,35.0678,6376.54,0
