<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABNG.US,D,20251117,000000,14.75,14.75,13.9106,13.9106,1138,0
ABNG.US,D,20251118,000000,13.6891,13.6891,13.4379,13.4379,361,0
ABNG.US,D,20251119,000000,13.36,13.36,13.1898,13.1898,194,0
ABNG.US,D,20251120,000000,12.61,12.61,12.5172,12.5172,280,0
ABNG.US,D,20251124,000000,13.11,13.15,13.11,13.1295,1247,0
ABNG.US,D,20251125,000000,13.38,14.15,13.38,14.1088,3565,0
ABNG.US,D,20251126,000000,13.8563,13.8778,13.6769,13.6769,4159,0
ABNG.US,D,20251128,000000,13.769,13.769,13.6942,13.6942,325,0
ABNG.US,D,20251201,000000,13.83,14.23,13.83,14.0995,5951,0
ABNG.US,D,20251202,000000,14.3,14.3,14.0407,14.0407,980,0
ABNG.US,D,20251203,000000,14.28,14.4372,14.27,14.4372,2407,0
ABNG.US,D,20251204,000000,14.24,14.5843,14.24,14.5843,754,0
ABNG.US,D,20251205,000000,15.1,15.52,15.1,15.4116,4183,0
ABNG.US,D,20251208,000000,14.7023,14.8495,14.7023,14.8495,815,0
ABNG.US,D,20251209,000000,14.86,15.6221,14.86,15.6221,1724,0
ABNG.US,D,20251210,000000,15.51,16.41,15.46,16.1944,6265,0
ABNG.US,D,20251211,000000,16.2907,16.2907,16.22,16.2798,875,0
ABNG.US,D,20251212,000000,16.67,16.67,16.3603,16.3603,2582,0
ABNG.US,D,20251215,000000,16.49,17.2498,16.46,17.2498,2710,0
ABNG.US,D,20251216,000000,17.435,17.435,17.1,17.315,954,0
ABNG.US,D,20251217,000000,18.25,18.29,17.74,17.7478,4105,0
ABNG.US,D,20251218,000000,17.66,17.8081,17.6,17.8081,2416,0
ABNG.US,D,20251219,000000,17.91,18.53,17.91,18.1251,357,0
ABNG.US,D,20251222,000000,18.33,18.575,18.33,18.575,675,0
ABNG.US,D,20251223,000000,18.5188,18.5188,18.23,18.4053,4495,0
ABNG.US,D,20251224,000000,18.21,18.5249,18.21,18.5249,345,0
ABNG.US,D,20251226,000000,18.45,18.5022,18.45,18.5022,737,0
ABNG.US,D,20260105,000000,17.5,18.67,17.5,18.1763,401,0
ABNG.US,D,20260107,000000,18.42,18.4596,18.42,18.4596,331,0
ABNG.US,D,20260112,000000,18.85,19.19,18.8444,18.8444,766,0
ABNG.US,D,20260113,000000,19.09,19.2865,19.08,19.2865,755,0
ABNG.US,D,20260114,000000,17.515,17.515,16.6616,17.2688,1341,0
ABNG.US,D,20260115,000000,17.5901,17.5901,17.212,17.212,435,0
ABNG.US,D,20260116,000000,16.92,16.92,16.63,16.7027,967,0
ABNG.US,D,20260120,000000,16.02,16.7882,16.02,16.6786,1797,0
ABNG.US,D,20260122,000000,18.19,18.19,17.45,17.4681,3467,0
ABNG.US,D,20260123,000000,17,17.046,17,17.046,633,0
ABNG.US,D,20260126,000000,17.3,17.332,17.24,17.332,1781,0
ABNG.US,D,20260127,000000,17.45,17.45,16.7,17.0594,1661,0
ABNG.US,D,20260128,000000,17,17,16.8633,16.8633,10217,0
ABNG.US,D,20260129,000000,16.77,16.945,16.52,16.945,670,0
ABNG.US,D,20260130,000000,16.7,16.7,16.2831,16.2831,3121,0
ABNG.US,D,20260202,000000,16.4,16.95,16.4,16.7792,431,0
ABNG.US,D,20260203,000000,16.05,16.05,14.3981,14.3981,1045,0
ABNG.US,D,20260204,000000,14.84,15.0401,14.84,14.9951,2394,0
ABNG.US,D,20260206,000000,13.85,14.3824,13.85,14.3824,889,0
ABNG.US,D,20260209,000000,14.02,14.1834,14.02,14.1834,1504,0
ABNG.US,D,20260210,000000,14.16,14.16,13.9256,13.9256,942,0
ABNG.US,D,20260211,000000,13.59,13.7731,13.53,13.7731,1081,0
ABNG.US,D,20260212,000000,13.12,13.12,12.9171,12.9171,1858,0
ABNG.US,D,20260213,000000,14.49,14.6,13.76,14.1152,15417,0
ABNG.US,D,20260217,000000,14.39,15.23,14.39,14.7391,2627,0
ABNG.US,D,20260218,000000,14.72,14.985,14.72,14.7816,1393,0
ABNG.US,D,20260219,000000,14.75,15.1014,14.6,15.1014,1414,0
ABNG.US,D,20260220,000000,14.7,15.6098,14.7,15.6098,1413,0
ABNG.US,D,20260223,000000,14,14.4089,13.72,14.4089,838,0
ABNG.US,D,20260224,000000,15.05,15.14,14.97,15.0259,706,0
ABNG.US,D,20260225,000000,15.85,16.5349,15.85,16.5349,1245,0
ABNG.US,D,20260226,000000,17.44,17.7807,17.44,17.7807,1434,0
ABNG.US,D,20260227,000000,17.38,17.38,17.04,17.2662,316,0
ABNG.US,D,20260302,000000,15.8403,16.7614,15.8403,16.7614,994,0
ABNG.US,D,20260303,000000,16.05,16.05,16.05,16.05,465,0
ABNG.US,D,20260304,000000,17.47,17.63,17.4,17.41,1459,0
ABNG.US,D,20260305,000000,18.1,18.1,18.1,18.1,979,0
ABNG.US,D,20260306,000000,16.6,16.77,16.24,16.75,3156,0
ABNG.US,D,20260310,000000,15.98,16.75,15.98,16.47,1102,0
ABNG.US,D,20260311,000000,16.43,16.7155,16.43,16.7155,160,0
ABNG.US,D,20260312,000000,16.04,16.049,14.9304,15.2765,1430,0
ABNG.US,D,20260313,000000,14.9,14.9677,14.82,14.9677,396,0
ABNG.US,D,20260316,000000,15.31,15.464,15.31,15.464,525,0
ABNG.US,D,20260317,000000,16.31,16.47,16.275,16.285,1618,0
ABNG.US,D,20260318,000000,16.63,16.63,16.0722,16.0722,960,0
ABNG.US,D,20260320,000000,15.7,15.7,15.49,15.57,584,0
ABNG.US,D,20260323,000000,16.5,16.5,16.32,16.3815,1528,0
ABNG.US,D,20260325,000000,16.35,16.35,16.1644,16.1644,420,0
ABNG.US,D,20260326,000000,16.65,16.65,15.835,15.9947,1993,0
ABNG.US,D,20260327,000000,14.51,14.73,13.9,13.9689,5395,0
ABNG.US,D,20260330,000000,14.58,14.58,13.97,14.0202,3932,0
ABNG.US,D,20260331,000000,14.45,14.85,14.14,14.7232,4610,0
ABNG.US,D,20260401,000000,14.07,14.4841,14.07,14.4841,636,0
ABNG.US,D,20260402,000000,13.67,14.4079,13.67,14.4079,1162,0
ABNG.US,D,20260406,000000,14.5,14.815,14.5,14.815,1262,0
ABNG.US,D,20260407,000000,14.17,14.3734,14.12,14.3734,1777,0
ABNG.US,D,20260408,000000,16.4,16.4,15.8794,15.8794,1388,0
ABNG.US,D,20260409,000000,15.55,15.62,14.9,15.3229,1556,0
ABNG.US,D,20260410,000000,14.56,15.2441,14.56,15.2441,318,0
