<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADACW.US,D,20260209,000000,0.27,0.5,0.27,0.4,39475,0
ADACW.US,D,20260210,000000,0.348,0.4,0.3479,0.4,26603,0
ADACW.US,D,20260211,000000,0.375,0.4386,0.35,0.375,155203,0
ADACW.US,D,20260212,000000,0.4,0.4,0.38,0.4,5199,0
ADACW.US,D,20260213,000000,0.33,0.36,0.33,0.3599,10000,0
ADACW.US,D,20260217,000000,0.344,0.35,0.32,0.3465,39445,0
ADACW.US,D,20260218,000000,0.375,0.41,0.375,0.41,325400,0
ADACW.US,D,20260219,000000,0.41,0.41,0.38,0.41,138399,0
ADACW.US,D,20260220,000000,0.5,0.5,0.4518,0.4518,350,0
ADACW.US,D,20260223,000000,0.49,0.49,0.358,0.358,613,0
ADACW.US,D,20260224,000000,0.4,0.4,0.3999,0.3999,215,0
ADACW.US,D,20260225,000000,0.38,0.4,0.38,0.38,800,0
ADACW.US,D,20260227,000000,0.3558,0.3735,0.2501,0.3735,50902,0
ADACW.US,D,20260304,000000,0.35,0.35,0.28,0.3,6448,0
ADACW.US,D,20260305,000000,0.2976,0.3,0.26,0.2895,2330,0
ADACW.US,D,20260306,000000,0.2896,0.2995,0.2501,0.2501,1217,0
ADACW.US,D,20260309,000000,0.25,0.2857,0.25,0.28,32232,0
ADACW.US,D,20260310,000000,0.28,0.28,0.2799,0.28,21567,0
ADACW.US,D,20260311,000000,0.334,0.34,0.3294,0.3294,1000,0
ADACW.US,D,20260320,000000,0.33,0.3925,0.33,0.386,9249,0
ADACW.US,D,20260324,000000,0.36,0.36,0.33,0.33,10707,0
ADACW.US,D,20260326,000000,0.324,0.324,0.324,0.324,101,0
ADACW.US,D,20260327,000000,0.3185,0.3245,0.3,0.3,1801,0
ADACW.US,D,20260331,000000,0.3,0.31,0.3,0.3,3432,0
ADACW.US,D,20260416,000000,0.324,0.33,0.3,0.3,13086,0
ADACW.US,D,20260417,000000,0.3,0.33,0.3,0.3,1246,0
ADACW.US,D,20260421,000000,0.315,0.429,0.315,0.4,11100,0
ADACW.US,D,20260422,000000,0.4699,0.4699,0.4699,0.4699,100,0
ADACW.US,D,20260427,000000,0.35,0.35,0.35,0.35,66666,0
ADACW.US,D,20260429,000000,0.40495,0.40495,0.40495,0.40495,2063,0
ADACW.US,D,20260512,000000,0.3413,0.4469,0.3413,0.4046,3695,0
ADACW.US,D,20260513,000000,0.3892,0.4698,0.38,0.38,2709,0
ADACW.US,D,20260515,000000,0.3385,0.38,0.3385,0.3799,12660,0
ADACW.US,D,20260518,000000,0.38,0.38,0.38,0.38,317,0
ADACW.US,D,20260519,000000,0.38,1.78,0.3635,0.48,45526,0
ADACW.US,D,20260520,000000,0.4103,0.5647,0.3604,0.441,6410,0
ADACW.US,D,20260521,000000,0.45,0.45,0.41,0.41,1191,0
ADACW.US,D,20260522,000000,0.38,0.38,0.38,0.38,109,0
ADACW.US,D,20260529,000000,0.34,0.472,0.34,0.4,6073,0
ADACW.US,D,20260612,000000,0.4,0.55,0.4,0.55,14710,0
ADACW.US,D,20260615,000000,0.5,0.7334,0.4847,0.6502,11837,0
ADACW.US,D,20260616,000000,0.7,0.9098,0.6407,0.6979,17479,0
ADACW.US,D,20260617,000000,0.9,0.94,0.59,0.62,8315,0
ADACW.US,D,20260622,000000,0.83,0.83,0.7055,0.7136,1605,0
ADACW.US,D,20260624,000000,0.7739,0.7739,0.7088,0.7088,726,0
ADACW.US,D,20260629,000000,0.78,0.78,0.5622,0.57,1113,0
ADACW.US,D,20260630,000000,0.63,0.63,0.63,0.63,152,0
ADACW.US,D,20260701,000000,0.63,0.7338,0.63,0.6706,1342,0
ADACW.US,D,20260702,000000,0.6706,0.6706,0.6706,0.6706,9879,0
ADACW.US,D,20260707,000000,0.67,0.67,0.64,0.64,2755,0
ADACW.US,D,20260708,000000,0.5999,0.6,0.5999,0.6,22985,0
ADACW.US,D,20260713,000000,0.7025,0.7025,0.6,0.6,1074,0
ADACW.US,D,20260722,000000,0.54,0.5601,0.4,0.5601,3499,0
ADACW.US,D,20260724,000000,0.5493,0.55,0.5281,0.55,2000,0
ADACW.US,D,20260729,000000,0.475,0.475,0.3999,0.3999,3560,0
ADACW.US,D,20260730,000000,0.361,0.4097,0.34,0.398,99969,0
ADACW.US,D,20260731,000000,0.39,0.6276,0.39,0.6276,200,0
ADACW.US,D,20260806,000000,0.4776,0.4776,0.4,0.4061,890,0
ADACW.US,D,20260817,000000,0.49,0.51,0.49,0.5,8733,0
ADACW.US,D,20260820,000000,0.5,0.5,0.5,0.5,422,0
ADACW.US,D,20260821,000000,0.5,0.5,0.5,0.5,472,0
