<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADAMI.US,D,20240702,000000,23.3421,23.4355,23.202,23.3982,142955,0
ADAMI.US,D,20240703,000000,23.3421,23.3701,23.3188,23.3568,27467.5,0
ADAMI.US,D,20240705,000000,23.3421,23.5289,23.3421,23.4261,46852,0
ADAMI.US,D,20240708,000000,23.4355,23.4355,23.3421,23.3701,44190.5,0
ADAMI.US,D,20240709,000000,23.3701,23.3701,23.3327,23.3327,17821.8,0
ADAMI.US,D,20240710,000000,23.3888,23.5755,23.3235,23.3421,46541.4,0
ADAMI.US,D,20240711,000000,23.3421,23.3794,23.3287,23.3411,20317.3,0
ADAMI.US,D,20240712,000000,23.3421,23.3608,23.3327,23.3421,11172.9,0
ADAMI.US,D,20240715,000000,23.3608,23.5288,23.3514,23.4355,59771.8,0
ADAMI.US,D,20240716,000000,23.454,23.4728,23.3888,23.4355,51348.2,0
ADAMI.US,D,20240717,000000,23.4167,23.4728,23.4075,23.4421,14628,0
ADAMI.US,D,20240718,000000,23.4728,23.5755,23.4541,23.4541,12027.6,0
ADAMI.US,D,20240719,000000,23.5008,23.6688,23.4728,23.4822,14770.5,0
ADAMI.US,D,20240722,000000,23.4822,23.5195,23.4167,23.4634,11789.8,0
ADAMI.US,D,20240723,000000,23.4179,23.4822,23.4167,23.4634,11012.2,0
ADAMI.US,D,20240724,000000,23.4916,23.4916,23.3888,23.4167,19319.1,0
ADAMI.US,D,20240725,000000,23.454,23.4634,23.3888,23.4355,13192.9,0
ADAMI.US,D,20240726,000000,23.4449,23.5754,23.3982,23.3982,7990.92,0
ADAMI.US,D,20240729,000000,23.5289,23.5289,23.3524,23.4261,27249,0
ADAMI.US,D,20240730,000000,23.4822,23.4822,23.2954,23.3981,20302.3,0
ADAMI.US,D,20240731,000000,23.4355,23.4821,23.3421,23.4075,7178.01,0
