<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AESP.US,D,20260702,000000,9.86,9.87,9.86,9.87,122852,0
AESP.US,D,20260706,000000,9.87,9.89,9.87,9.88,844203,0
AESP.US,D,20260707,000000,9.88,9.89,9.875,9.88,1211756,0
AESP.US,D,20260708,000000,9.87,9.89,9.87,9.88,948218,0
AESP.US,D,20260709,000000,9.88,9.89,9.88,9.885,12042,0
AESP.US,D,20260710,000000,9.88,9.89,9.87,9.87,126946,0
AESP.US,D,20260713,000000,9.89,9.89,9.88,9.89,103466,0
AESP.US,D,20260714,000000,9.89,9.89,9.885,9.89,3599,0
AESP.US,D,20260715,000000,9.89,9.89,9.88,9.88,51300,0
AESP.US,D,20260716,000000,9.88,9.9,9.87,9.89,401759,0
AESP.US,D,20260717,000000,9.9,9.91,9.89,9.89,75876,0
AESP.US,D,20260720,000000,9.9,9.9,9.9,9.9,172,0
AESP.US,D,20260721,000000,9.8989,9.9,9.8989,9.9,8838,0
AESP.US,D,20260722,000000,9.88,9.89,9.88,9.89,2699,0
AESP.US,D,20260723,000000,9.89,9.9,9.89,9.89,1247,0
AESP.US,D,20260724,000000,9.895,9.9,9.88,9.9,61256,0
AESP.US,D,20260727,000000,9.9,9.91,9.9,9.91,31231,0
AESP.US,D,20260728,000000,9.905,9.91,9.905,9.91,9224,0
AESP.US,D,20260729,000000,9.91,9.92,9.91,9.92,64483,0
AESP.US,D,20260730,000000,9.91,9.92,9.91,9.92,1089,0
AESP.US,D,20260731,000000,9.92,9.93,9.92,9.92,13121,0
AESP.US,D,20260803,000000,9.92,9.92,9.92,9.92,5278,0
AESP.US,D,20260804,000000,9.92,9.93,9.92,9.93,178881,0
AESP.US,D,20260806,000000,9.92,9.92,9.92,9.92,9053,0
AESP.US,D,20260810,000000,9.93,9.93,9.93,9.93,559,0
AESP.US,D,20260811,000000,9.93,9.93,9.92,9.93,5704,0
AESP.US,D,20260812,000000,9.93,9.93,9.93,9.93,13481,0
AESP.US,D,20260814,000000,9.94,9.94,9.94,9.94,2599,0
AESP.US,D,20260817,000000,9.9399,9.94,9.9399,9.94,331,0
AESP.US,D,20260818,000000,9.94,9.94,9.94,9.94,1695,0
AESP.US,D,20260819,000000,9.94,9.945,9.93,9.93,308436,0
AESP.US,D,20260820,000000,9.94,9.94,9.94,9.94,150025,0
AESP.US,D,20260821,000000,9.95,9.95,9.95,9.95,882,0
AESP.US,D,20260824,000000,9.95,9.95,9.95,9.95,111586,0
