<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIIO.US,D,20221115,000000,41.2,60,41.2,55.8,69907.3,0
AIIO.US,D,20221116,000000,51,65.4,45.998,63.2,50355.100000000006,0
AIIO.US,D,20221117,000000,59,84.8,54.008,82,54291.15,0
AIIO.US,D,20221118,000000,80.2,104.8,77,101.6,45532.65,0
AIIO.US,D,20221121,000000,115,166.4,114,141,386118.35000000003,0
AIIO.US,D,20221122,000000,124.6,154.6,124.402,145.8,47816.05,0
AIIO.US,D,20221123,000000,150.4,160.6,130.41,155.4,30260.7,0
AIIO.US,D,20221125,000000,163.6,180.1,162.012,175.6,49757.950000000004,0
AIIO.US,D,20221128,000000,175,175,155,157.966,8328.300000000001,0
AIIO.US,D,20221129,000000,158,165,148.4,157.2,12256.5,0
AIIO.US,D,20221130,000000,155.2,184.398,155.2,177.8,9954.400000000001,0
AIIO.US,D,20221201,000000,189.2,194.336,177.2,180.2,11186.550000000001,0
AIIO.US,D,20221202,000000,184.8,195,178,193.8,11853.5,0
AIIO.US,D,20221205,000000,199,200,191,200,6488.35,0
AIIO.US,D,20221206,000000,205,233.602,180,227.4,17643.100000000002,0
AIIO.US,D,20221207,000000,226,232,219.8,227.2,11289.050000000001,0
AIIO.US,D,20221208,000000,227.8,261.4,227.8,260.8,18698.5,0
AIIO.US,D,20221209,000000,269.6,270,220.8,247.6,23330.7,0
AIIO.US,D,20221212,000000,245,256.5,231.5,246.8,25769.350000000002,0
AIIO.US,D,20221213,000000,245.8,268,242,261,20437.300000000003,0
AIIO.US,D,20221214,000000,263.6,263.6,246.7,261.9,15931.85,0
AIIO.US,D,20221215,000000,263.4,264.6,239.6,251.6,12591,0
AIIO.US,D,20221216,000000,259.8,264,235,251,56270.9,0
AIIO.US,D,20221219,000000,259.6,259.6,241.9,247,21337.7,0
AIIO.US,D,20221220,000000,244,250,240.8,242.2,20464.600000000002,0
AIIO.US,D,20221221,000000,241.8,242.8,220.6,227.6,10599.35,0
AIIO.US,D,20221222,000000,227.4,244.6,216.002,220.8,9558,0
AIIO.US,D,20221223,000000,215.2,226.8,214.4,224,5992,0
AIIO.US,D,20221227,000000,220.4,248.4,220.4,246,16193.95,0
AIIO.US,D,20221228,000000,241.8,245,228.4,235,3601.4500000000003,0
AIIO.US,D,20221229,000000,235.8,238,227,229,1810.3000000000002,0
AIIO.US,D,20221230,000000,223.4,232,210.2,214.6,4845.3,0
AIIO.US,D,20230103,000000,208.454,217,206.202,208.6,2203.6,0
AIIO.US,D,20230104,000000,204.4,208.2,183.2,195.8,4749.6,0
AIIO.US,D,20230105,000000,197.2,203.678,181.2,182.6,4092.25,0
AIIO.US,D,20230106,000000,177.2,188.9,167.4,181,4218.45,0
AIIO.US,D,20230109,000000,179.6,198.2,179.6,193.6,4202.95,0
AIIO.US,D,20230110,000000,196.4,200.2,190.4,193.8,3278.4500000000003,0
AIIO.US,D,20230111,000000,196,196.6,153.4,170,7425.25,0
AIIO.US,D,20230112,000000,181.6,209.276,179.9,201.4,4631.400000000001,0
AIIO.US,D,20230113,000000,211.6,211.6,185.22,193.6,4310.8,0
AIIO.US,D,20230117,000000,183.4,209.6,183.4,201,4081.1000000000004,0
AIIO.US,D,20230118,000000,198.8,223.4,198.2,220.2,3113.05,0
AIIO.US,D,20230119,000000,222.2,222.674,210.6,218.8,1645.3000000000002,0
AIIO.US,D,20230120,000000,221,226.9,216,225.2,1867.65,0
AIIO.US,D,20230123,000000,221,231,215.4,231,981,0
AIIO.US,D,20230124,000000,223,244.8,223,236.8,3194.65,0
AIIO.US,D,20230125,000000,228,240,226,236.6,4184.3,0
AIIO.US,D,20230126,000000,235,240.4,224,229.4,801.5,0
AIIO.US,D,20230127,000000,229,239.8,203.6,239.4,3960.2000000000003,0
AIIO.US,D,20230130,000000,239.6,239.6,227,234.4,1372.3000000000002,0
AIIO.US,D,20230131,000000,233,239,226.46,239,3068.4,0
AIIO.US,D,20230201,000000,235,240,234,238.2,1064.3,0
AIIO.US,D,20230202,000000,233,241.6,205.4,229.8,14859.300000000001,0
AIIO.US,D,20230203,000000,225.52,239.4,221.2,230.2,5727.8,0
AIIO.US,D,20230206,000000,230.4,238.106,220,232.2,3677.3,0
AIIO.US,D,20230207,000000,237,237,224,228.4,2644.4500000000003,0
AIIO.US,D,20230208,000000,224.4,232.998,224.4,228.6,225.9,0
AIIO.US,D,20230209,000000,224.4,234.8,222,232.6,2340.55,0
AIIO.US,D,20230210,000000,230.6,237,228,235.8,788.4000000000001,0
AIIO.US,D,20230213,000000,230,230.9,226.2,226.2,465.35,0
AIIO.US,D,20230214,000000,230,234.2,227,234,2890.1000000000004,0
AIIO.US,D,20230215,000000,231.8,233,227.4,231.8,428.20000000000005,0
AIIO.US,D,20230216,000000,222,229.8,220.6,229.6,287.8,0
AIIO.US,D,20230217,000000,226.8,232,225.802,232,863.0500000000001,0
AIIO.US,D,20230221,000000,224,229.8,224,229.8,185.65,0
AIIO.US,D,20230222,000000,223,232.8,220,220,810.1500000000001,0
AIIO.US,D,20230223,000000,224.8,226.8,221,225.8,716.5,0
AIIO.US,D,20230224,000000,220.96,228,220.96,226.2,928,0
AIIO.US,D,20230227,000000,220.8,223.8,219.2,223.8,719.35,0
AIIO.US,D,20230228,000000,225,232,220.2,224,1013.1,0
AIIO.US,D,20230301,000000,221,224,216,222,539.0500000000001,0
AIIO.US,D,20230302,000000,214.9,223.942,214.9,221.8,534.4,0
AIIO.US,D,20230303,000000,220.8,222,220,221.9,287.35,0
AIIO.US,D,20230306,000000,220,222,210.2,222,226.5,0
AIIO.US,D,20230307,000000,214.2,223,214.2,217,666.35,0
AIIO.US,D,20230308,000000,217.4,220.6,215.8,220.6,1471.2,0
AIIO.US,D,20230309,000000,210,213,206.2,206.2,127.45,0
AIIO.US,D,20230310,000000,212.8,220.398,205.2,206.2,462.25,0
AIIO.US,D,20230313,000000,204.4,219.2,204.4,210,375.45000000000005,0
AIIO.US,D,20230314,000000,200.6,206.8,199.8,203.8,1638.8000000000002,0
AIIO.US,D,20230315,000000,203.8,204.4,196,200.4,1076.3,0
AIIO.US,D,20230316,000000,193.8,201.6,191.898,194.8,532.75,0
AIIO.US,D,20230317,000000,197.6,206.998,197.6,199.6,409.05,0
AIIO.US,D,20230320,000000,199.8,202,197.2,198.2,2716.05,0
AIIO.US,D,20230321,000000,200.4,200.6,194,194.4,2001,0
AIIO.US,D,20230322,000000,200.4,200.4,195,198.7,197.35000000000002,0
AIIO.US,D,20230323,000000,208.1,208.1,199.4,199.4,74.35000000000001,0
AIIO.US,D,20230324,000000,198.6,205.8,198.6,205.8,484.25,0
AIIO.US,D,20230327,000000,203.8,220,203.8,215.5,866.45,0
AIIO.US,D,20230328,000000,217.9,219.8,215.444,219.8,448.25,0
AIIO.US,D,20230329,000000,218.44,223,213.658,222.8,882.3000000000001,0
AIIO.US,D,20230330,000000,220.4,226.366,198.4,224,455.15000000000003,0
AIIO.US,D,20230331,000000,223.6,246.8,222.8,246.8,8138.05,0
AIIO.US,D,20230403,000000,246,246,233.2,236,1797.25,0
AIIO.US,D,20230404,000000,230,238.722,230,238.722,72.9,0
AIIO.US,D,20230405,000000,232,238.492,232,238.492,63.6,0
AIIO.US,D,20230406,000000,232.8,240,232.8,234.4,506.70000000000005,0
AIIO.US,D,20230410,000000,237.8,239.6,231,239,278.35,0
AIIO.US,D,20230411,000000,225,234,222.4,230.6,500.35,0
AIIO.US,D,20230412,000000,224.2,229.9,224.2,225,488.70000000000005,0
AIIO.US,D,20230413,000000,225,230,220.5,230,776.0500000000001,0
AIIO.US,D,20230414,000000,222.4,229,222.2,226,447.5,0
AIIO.US,D,20230417,000000,222.2,223,217,220,905.45,0
AIIO.US,D,20230418,000000,222.2,222.2,217.56,220.4,425.6,0
AIIO.US,D,20230419,000000,221.2,221.2,214.5,221,75.7,0
AIIO.US,D,20230420,000000,214.5,221,210.516,215.5,262.65000000000003,0
AIIO.US,D,20230421,000000,212,220.6,212,220,829.5500000000001,0
AIIO.US,D,20230424,000000,216,216,213.8,215.8,166.85000000000002,0
AIIO.US,D,20230425,000000,215.798,219.6,215.628,215.8,109.05000000000001,0
AIIO.US,D,20230426,000000,214.6,219.6,211.8,218.8,215.3,0
AIIO.US,D,20230427,000000,215.056,219.8,215.056,219.8,91.2,0
AIIO.US,D,20230428,000000,216.2,220,212.2,219.4,373.25,0
AIIO.US,D,20230501,000000,220.318,237,212.9,220.8,1578.2,0
AIIO.US,D,20230502,000000,214.98,221.4,209.5,215,648.3000000000001,0
AIIO.US,D,20230503,000000,215.8,220,210.002,220,388.65000000000003,0
AIIO.US,D,20230504,000000,216,216.3,213.6,214,90.80000000000001,0
AIIO.US,D,20230505,000000,210,211.4,210,211,40.550000000000004,0
AIIO.US,D,20230508,000000,215.8,218.8,212,213.2,178.35000000000002,0
AIIO.US,D,20230509,000000,217.4,219.8,211.2,214.2,354,0
