<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AKTX.US,D,20130507,000000,200000,200000,200000,200000,0.0025,0
AKTX.US,D,20130515,000000,200000,200000,200000,200000,0.0025,0
AKTX.US,D,20130523,000000,190000,190000,190000,190000,0.0025,0
AKTX.US,D,20130607,000000,160000,160000,160000,160000,0.0125,0
AKTX.US,D,20130709,000000,160000,160000,160000,160000,0.0125,0
AKTX.US,D,20131105,000000,120000,120000,80000,80000,0.0075,0
AKTX.US,D,20131212,000000,60000,60000,60000,60000,0.165,0
AKTX.US,D,20131216,000000,60000,60000,60000,60000,0.1275,0
AKTX.US,D,20131218,000000,60000,60000,60000,60000,0.0025,0
AKTX.US,D,20131226,000000,56800,56800,56800,56800,0.125,0
AKTX.US,D,20140106,000000,64000,64000,64000,64000,0.01375,0
AKTX.US,D,20140107,000000,76000,76000,76000,76000,0.0174999,0
AKTX.US,D,20140108,000000,74000,76000,74000,76000,0.114999,0
AKTX.US,D,20140109,000000,76000,76000,76000,76000,0.04875,0
AKTX.US,D,20140110,000000,76000,80000,76000,78800,1.475,0
AKTX.US,D,20140113,000000,78880,78880,78400,78400,0.33625,0
AKTX.US,D,20140114,000000,79200,87200,79200,87200,1.60375,0
AKTX.US,D,20140115,000000,92000,95200,88000,88000,0.40625,0
AKTX.US,D,20140116,000000,84000,88000,84000,88000,0.16875,0
AKTX.US,D,20140117,000000,88000,88000,88000,88000,0.125,0
AKTX.US,D,20140122,000000,88000,88000,88000,88000,0.175,0
AKTX.US,D,20140123,000000,84400,84400,84400,84400,0.06875,0
AKTX.US,D,20140124,000000,84400,87680,84000,84000,1.16125,0
AKTX.US,D,20140127,000000,85600,85600,84000,84000,0.80625,0
AKTX.US,D,20140128,000000,84000,84000,84000,84000,0.07125,0
AKTX.US,D,20140129,000000,84000,84000,84000,84000,0.07375,0
AKTX.US,D,20140130,000000,83920,83920,80000,81600,0.58625,0
AKTX.US,D,20140131,000000,53280,73600,48480,71200,16.5987,0
AKTX.US,D,20140203,000000,70800,72000,61600.8,65200,6.45125,0
AKTX.US,D,20140204,000000,64000,64000,60320,62800,3.50625,0
AKTX.US,D,20140205,000000,60000.8,61599.2,60000,60000,1.85875,0
AKTX.US,D,20140206,000000,58000,63840,54400,58240,5.3175,0
AKTX.US,D,20140207,000000,63600,72000,62000,62880,4.0625,0
AKTX.US,D,20140210,000000,66399.2,66399.2,58160,63040,6.15375,0
AKTX.US,D,20140211,000000,60000,64399.2,59200,62480,1.06875,0
AKTX.US,D,20140212,000000,62400.8,62400.8,60800,62400,1.4125,0
AKTX.US,D,20140213,000000,61280,61280,59920,60000,1.16,0
AKTX.US,D,20140214,000000,61280,62320,60080,61920,1.21375,0
AKTX.US,D,20140218,000000,62080,64000,60000.8,60400,1.93625,0
AKTX.US,D,20140219,000000,60000,60000,58400,58400,2.59625,0
AKTX.US,D,20140220,000000,59600,59600,56400,56400,1.30625,0
AKTX.US,D,20140221,000000,58160,59840,56400,56800,2.64875,0
AKTX.US,D,20140224,000000,55280,58320,55280,56400,2.13,0
AKTX.US,D,20140225,000000,56400,56640,54400,54800,1.98375,0
AKTX.US,D,20140226,000000,54800,56320,54800,54959.2,0.37875,0
AKTX.US,D,20140227,000000,54240,55600,49680,52000,9.39,0
AKTX.US,D,20140228,000000,51200,52000,46080,51600,5.6875,0
AKTX.US,D,20140303,000000,52000,52000,48006.4,50000,4.19625,0
AKTX.US,D,20140304,000000,51999.2,51999.2,48800.8,49200,4.88125,0
AKTX.US,D,20140305,000000,48800,49600,47280,49520,4.525,0
AKTX.US,D,20140306,000000,49600,53913.6,49600,52800,3.5975,0
AKTX.US,D,20140307,000000,48880,52000,48880,51920,1.19,0
AKTX.US,D,20140310,000000,55280,55280,52400,55280,1.3925,0
AKTX.US,D,20140311,000000,53280,55280,53280,54400,2.595,0
AKTX.US,D,20140312,000000,56800,56800,52800,56800,4.60625,0
AKTX.US,D,20140313,000000,52480,55040,51920,54800,2.42625,0
AKTX.US,D,20140314,000000,54800,54800,54000,54000,2.51125,0
AKTX.US,D,20140317,000000,54000,54000,53200,53920,5.30375,0
AKTX.US,D,20140318,000000,54080,54800.8,54080,54800.8,0.99375,0
AKTX.US,D,20140319,000000,54800,54800,54000,54800,1.23875,0
AKTX.US,D,20140320,000000,55200,55200,54800,55200,0.52,0
AKTX.US,D,20140321,000000,56000,56000,54000,54000,5.345,0
AKTX.US,D,20140324,000000,54080,56000,53200,56000,5.195,0
AKTX.US,D,20140325,000000,55200,56000,54400,55600.8,0.575,0
AKTX.US,D,20140326,000000,55200,55200,53200,53200,3.625,0
AKTX.US,D,20140327,000000,53200,53600,52800,52800,0.57875,0
AKTX.US,D,20140331,000000,52800,52800,50800,51920,1.8675,0
AKTX.US,D,20140401,000000,52000,53120,46400,49200.8,4.48375,0
AKTX.US,D,20140402,000000,49840,51839.2,49200,50160,1.44375,0
AKTX.US,D,20140403,000000,49200,49213.6,49200,49213.6,0.13125,0
AKTX.US,D,20140404,000000,49440,49520,48000,49520,2.3625,0
AKTX.US,D,20140407,000000,50400,50400,41603.2,45600,4.3025,0
AKTX.US,D,20140408,000000,48000,48000,42400,44000,5.48375,0
AKTX.US,D,20140409,000000,43040,48000,43008,44000,1.17625,0
AKTX.US,D,20140410,000000,42800,45200,41600,42000,0.93125,0
AKTX.US,D,20140411,000000,40080,44000,40080,43200.8,1.7625,0
AKTX.US,D,20140414,000000,41368,42400,40000.8,41680,1.2675,0
AKTX.US,D,20140415,000000,41600,41600,37040,40880,3.48375,0
AKTX.US,D,20140416,000000,43040,45940.8,42560,45940.8,0.5375,0
AKTX.US,D,20140421,000000,42800,44800,42800,44800,0.51,0
AKTX.US,D,20140422,000000,45520,45600,44608,45440,0.35,0
AKTX.US,D,20140423,000000,45040,48000,45040,46855.2,1.34375,0
AKTX.US,D,20140424,000000,46800,50160,46800,49280,1.4375,0
AKTX.US,D,20140425,000000,50000,50000,49600,49600,0.36875,0
AKTX.US,D,20140428,000000,50000,50000,48800,48800,0.2375,0
