<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALPXU.US,D,20260625,000000,10.01,10.02,10,10,3979419,0
ALPXU.US,D,20260626,000000,10,10.01,9.99,9.99,596984,0
ALPXU.US,D,20260629,000000,10.01,10.02,10.005,10.02,135783,0
ALPXU.US,D,20260630,000000,10.03,10.04,10.015,10.02,96135,0
ALPXU.US,D,20260701,000000,10.0403,10.05,10.04,10.045,34194,0
ALPXU.US,D,20260702,000000,10.035,10.045,10.035,10.045,26391,0
ALPXU.US,D,20260706,000000,10.05,10.06,10.0464,10.06,101416,0
ALPXU.US,D,20260707,000000,10.1,10.12,10.08,10.09,369063,0
ALPXU.US,D,20260708,000000,10.0601,10.09,10.0601,10.08,4777,0
ALPXU.US,D,20260709,000000,10.0661,10.08,10.06,10.08,18946,0
ALPXU.US,D,20260710,000000,10.09,10.11,10.0898,10.1,15071,0
ALPXU.US,D,20260713,000000,10.12,10.12,10.09,10.12,4853,0
ALPXU.US,D,20260714,000000,10.12,10.12,10.12,10.12,310,0
ALPXU.US,D,20260715,000000,10.7,10.7,10.13,10.13,4849,0
ALPXU.US,D,20260716,000000,10.1299,10.1299,10.11,10.11,1597,0
ALPXU.US,D,20260717,000000,10.11,10.11,10.11,10.11,284,0
ALPXU.US,D,20260722,000000,10.31,10.31,10.09,10.09,7522,0
ALPXU.US,D,20260723,000000,10.12,10.12,10.12,10.12,123,0
ALPXU.US,D,20260724,000000,10.11,10.12,10.11,10.12,305,0
ALPXU.US,D,20260727,000000,10.12,10.12,10.055,10.1,9711,0
ALPXU.US,D,20260728,000000,10.05,10.1,10.05,10.0999,1009,0
ALPXU.US,D,20260729,000000,10.375,10.375,10.1299,10.1299,501,0
ALPXU.US,D,20260730,000000,10.1,10.1,10.05,10.1,57486,0
ALPXU.US,D,20260731,000000,10.375,10.42,10.0001,10.13,1072,0
ALPXU.US,D,20260803,000000,10.0941,10.42,10.0001,10.13,3958,0
ALPXU.US,D,20260804,000000,10.375,10.375,10.065,10.065,2017,0
ALPXU.US,D,20260805,000000,10.375,10.75,10.0001,10.065,1515,0
ALPXU.US,D,20260806,000000,10.375,10.375,10.375,10.375,328,0
ALPXU.US,D,20260807,000000,10.07,10.13,10.07,10.12,982,0
ALPXU.US,D,20260812,000000,10.12,10.12,10.07,10.07,367,0
ALPXU.US,D,20260813,000000,10.07,10.07,10.07,10.07,292,0
ALPXU.US,D,20260817,000000,10.06,10.06,10.06,10.06,121,0
ALPXU.US,D,20260818,000000,10.07,10.07,10.07,10.07,149,0
ALPXU.US,D,20260819,000000,10.08,10.08,10.08,10.08,152,0
ALPXU.US,D,20260820,000000,10.09,10.09,10.09,10.09,148,0
ALPXU.US,D,20260824,000000,10.08,10.08,10.08,10.08,125,0
