<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMEI.US,D,20260625,000000,25.8,25.8,25.6679,25.6679,10836,0
AMEI.US,D,20260626,000000,25.77,25.7974,25.77,25.7974,8082,0
AMEI.US,D,20260629,000000,25.975,26.12,25.84,26.0783,6519,0
AMEI.US,D,20260630,000000,26.32,26.41,26.32,26.3407,5247,0
AMEI.US,D,20260701,000000,26.3,26.3,26.09,26.09,5202,0
AMEI.US,D,20260702,000000,26.08,26.1178,26.034,26.1178,7549,0
AMEI.US,D,20260706,000000,26.27,26.3196,26.27,26.3196,4331,0
AMEI.US,D,20260707,000000,26.28,26.28,26.1171,26.1171,4658,0
AMEI.US,D,20260708,000000,26.09,26.11,25.96,25.9919,4811,0
AMEI.US,D,20260709,000000,26.21,26.21,26.0713,26.0713,4588,0
AMEI.US,D,20260710,000000,26.135,26.21,26.135,26.1506,9086,0
AMEI.US,D,20260713,000000,26.12,26.14,25.9213,25.9213,19407,0
AMEI.US,D,20260714,000000,26.05,26.05,25.85,25.8508,6438,0
AMEI.US,D,20260715,000000,25.76,25.76,25.6878,25.6878,8439,0
AMEI.US,D,20260716,000000,25.81,25.88,25.81,25.88,4357,0
AMEI.US,D,20260717,000000,25.76,25.78,25.6474,25.6474,8132,0
AMEI.US,D,20260720,000000,25.1,25.69,25.1,25.55,3046,0
AMEI.US,D,20260721,000000,25.02,25.83,25.02,25.83,3393,0
AMEI.US,D,20260722,000000,24.61,25.85,24.61,25.81,2454,0
AMEI.US,D,20260723,000000,25.7,25.7,25.635,25.6919,2758,0
AMEI.US,D,20260724,000000,25.08,25.89,25.08,25.8,2907,0
AMEI.US,D,20260727,000000,25.31,25.92,25.31,25.92,1589,0
AMEI.US,D,20260728,000000,25.29,26.12,25.29,26.07,2414,0
AMEI.US,D,20260729,000000,25.69,25.91,25.69,25.82,2287,0
AMEI.US,D,20260730,000000,25.31,26.1,25.31,26.1,7631,0
AMEI.US,D,20260731,000000,26,26.18,26,26.1169,2132,0
AMEI.US,D,20260803,000000,26.15,26.168,26.15,26.168,2514,0
AMEI.US,D,20260804,000000,26.35,26.49,26.35,26.4342,3198,0
AMEI.US,D,20260805,000000,26.57,26.63,26.5621,26.5621,7763,0
AMEI.US,D,20260806,000000,26.67,26.68,26.6344,26.6344,2700,0
AMEI.US,D,20260807,000000,26.7,26.7499,26.67,26.7208,1765,0
AMEI.US,D,20260810,000000,26.88,26.91,26.8483,26.8483,5886,0
AMEI.US,D,20260811,000000,26.89,26.89,26.805,26.805,4354,0
AMEI.US,D,20260812,000000,27.5,27.5,26.78,26.7891,4591,0
AMEI.US,D,20260813,000000,26.76,26.79,26.71,26.7397,5288,0
AMEI.US,D,20260814,000000,26.59,26.6,26.5835,26.5835,9119,0
AMEI.US,D,20260817,000000,26.51,26.57,26.4813,26.4813,1012,0
AMEI.US,D,20260818,000000,26.5,26.5,26.313,26.313,2725,0
AMEI.US,D,20260819,000000,26.56,26.57,26.4645,26.4645,2422,0
AMEI.US,D,20260820,000000,26.48,26.48,26.2594,26.2594,2077,0
AMEI.US,D,20260821,000000,26.57,26.855,26.4822,26.4822,5322,0
AMEI.US,D,20260824,000000,26.41,26.43,26.3894,26.3894,1843,0
