<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMGR.US,D,20260625,000000,24.96,24.96,24.8563,24.8563,10352,0
AMGR.US,D,20260626,000000,24.948,24.948,24.8,24.8855,9871,0
AMGR.US,D,20260629,000000,25.14,25.22,25.05,25.1889,27476,0
AMGR.US,D,20260630,000000,25.51,25.5934,25.51,25.5934,4427,0
AMGR.US,D,20260701,000000,25.55,25.55,25.1299,25.1299,23686,0
AMGR.US,D,20260702,000000,25.04,25.0863,24.98,25.0863,9484,0
AMGR.US,D,20260706,000000,25.28,25.48,25.28,25.3666,10613,0
AMGR.US,D,20260707,000000,25.005,25.19,25.005,25.0812,5785,0
AMGR.US,D,20260708,000000,24.8684,25.16,24.8684,25.11,9176,0
AMGR.US,D,20260709,000000,25.17,25.32,25.17,25.2372,4802,0
AMGR.US,D,20260710,000000,25.33,25.33,25.2991,25.2991,4209,0
AMGR.US,D,20260713,000000,25.16,25.16,24.9764,24.9764,4195,0
AMGR.US,D,20260714,000000,24.96,25.01,24.93,24.9497,4968,0
AMGR.US,D,20260715,000000,24.96,25.19,24.96,25.1272,4439,0
AMGR.US,D,20260716,000000,24.955,24.96,24.9166,24.9166,9229,0
AMGR.US,D,20260717,000000,24.52,24.77,24.48,24.6778,2937,0
AMGR.US,D,20260720,000000,24.69,24.745,24.69,24.7142,7612,0
AMGR.US,D,20260721,000000,24.77,24.96,24.77,24.9556,3251,0
AMGR.US,D,20260722,000000,24.96,24.96,24.8822,24.8822,3313,0
AMGR.US,D,20260723,000000,24.55,24.5518,24.55,24.5518,2737,0
AMGR.US,D,20260724,000000,24.79,24.79,24.5747,24.5747,2759,0
AMGR.US,D,20260727,000000,24.48,24.5449,24.4,24.5449,1450,0
AMGR.US,D,20260728,000000,24.6,24.6,24.5802,24.5802,2251,0
AMGR.US,D,20260729,000000,24.4,24.58,24.2456,24.2456,1578,0
AMGR.US,D,20260730,000000,24.73,24.783,24.72,24.783,1369,0
AMGR.US,D,20260731,000000,24.75,24.794,24.6,24.794,2762,0
AMGR.US,D,20260803,000000,24.78,25.0553,24.78,25.0553,5492,0
AMGR.US,D,20260804,000000,25.33,25.725,25.33,25.6867,9456,0
AMGR.US,D,20260805,000000,26.005,26.015,25.71,25.7456,66907,0
AMGR.US,D,20260806,000000,25.77,25.83,25.75,25.765,14347,0
AMGR.US,D,20260807,000000,26,26.07,25.87,25.9746,5294,0
AMGR.US,D,20260810,000000,26.04,26.09,25.98,26.0079,10856,0
AMGR.US,D,20260811,000000,26.06,26.08,25.93,25.94,17695,0
AMGR.US,D,20260812,000000,26.73,26.73,25.945,25.9769,61917,0
AMGR.US,D,20260813,000000,26.13,26.13,26,26.04,4024,0
AMGR.US,D,20260814,000000,25.82,25.88,25.79,25.8353,1495,0
AMGR.US,D,20260817,000000,27.88,27.91,25.8,25.8054,11429,0
AMGR.US,D,20260818,000000,25.529,25.53,25.479,25.4803,2358,0
AMGR.US,D,20260819,000000,25.42,25.515,25.42,25.4456,2278,0
AMGR.US,D,20260820,000000,25.41,25.41,25.26,25.26,2525,0
AMGR.US,D,20260821,000000,25.3,25.41,25.3,25.3688,3496,0
AMGR.US,D,20260824,000000,25.25,25.25,25.12,25.1504,2222,0
