<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMOD.US,D,20211028,000000,388.8,389.6,388.8,388.8,503.5,0
AMOD.US,D,20211029,000000,389.6,391.2,389.2,390,155.525,0
AMOD.US,D,20211101,000000,390,390.8,388.404,390.4,251.775,0
AMOD.US,D,20211102,000000,390.4,392,388.8,390,540.875,0
AMOD.US,D,20211103,000000,390,396,388.4,390.4,3334.07,0
AMOD.US,D,20211104,000000,390,390.4,390,390,16242.8,0
AMOD.US,D,20211105,000000,390.8,390.8,389.6,390,1345.5,0
AMOD.US,D,20211108,000000,390.8,390.8,389.6,390.8,496.725,0
AMOD.US,D,20211109,000000,400,400,390,390,109.125,0
AMOD.US,D,20211110,000000,389.6,391.196,389.6,390.4,152.4,0
AMOD.US,D,20211111,000000,390,390,390,390,2.6,0
AMOD.US,D,20211112,000000,390.4,390.8,390.4,390.8,283.575,0
AMOD.US,D,20211115,000000,389.6,390.8,389.6,390.8,431.85,0
AMOD.US,D,20211116,000000,390.8,391.2,390.8,391.2,21.925,0
AMOD.US,D,20211117,000000,388.4,391.6,388.4,391.6,1322.8,0
AMOD.US,D,20211118,000000,388.4,391.6,388.4,391.6,2646.85,0
AMOD.US,D,20211119,000000,388.8,391.2,388.8,391.2,551.375,0
AMOD.US,D,20211122,000000,391.2,392.4,390.8,392.4,6993.42,0
AMOD.US,D,20211124,000000,390,391.2,390,391.2,3377.5,0
AMOD.US,D,20211126,000000,390,390,390,390,5.55,0
AMOD.US,D,20211129,000000,392,392,390.4,391.2,19.95,0
AMOD.US,D,20211130,000000,390.8,390.8,390.8,390.8,4060,0
AMOD.US,D,20211201,000000,390,391.2,390,391.2,124.075,0
AMOD.US,D,20211202,000000,390.8,391.2,390.8,391.2,525.075,0
AMOD.US,D,20211206,000000,394,394,390.4,390.8,1259.45,0
AMOD.US,D,20211207,000000,390.8,390.8,390.8,390.8,750.05,0
AMOD.US,D,20211208,000000,394,396.8,389.6,390.8,789.425,0
AMOD.US,D,20211209,000000,390.4,390.4,390.4,390.4,9340.15,0
AMOD.US,D,20211210,000000,389.6,391.2,389.6,391.2,43.7,0
AMOD.US,D,20211213,000000,390.036,390.036,390.036,390.036,2.65,0
AMOD.US,D,20211214,000000,389.204,390,389.204,390,911.95,0
AMOD.US,D,20211215,000000,390,390,390,390,504.525,0
AMOD.US,D,20211216,000000,390,390,390,390,396.675,0
AMOD.US,D,20211221,000000,390,391.38,390,391.38,24.75,0
AMOD.US,D,20211222,000000,388.184,390,388.184,390,34.65,0
AMOD.US,D,20211227,000000,390,390,390,390,7.8,0
AMOD.US,D,20211228,000000,390,391.6,390,391.6,5.925,0
AMOD.US,D,20211229,000000,388.8,390.4,388.8,390.4,27.6,0
AMOD.US,D,20211231,000000,389.6,390.8,389.6,390.6,73.325,0
AMOD.US,D,20220103,000000,395,395,390.4,390.4,950.075,0
AMOD.US,D,20220104,000000,392,394,390,390,125.05,0
AMOD.US,D,20220105,000000,390,390,390,390,138.525,0
AMOD.US,D,20220106,000000,390,390,390,390,17.4,0
AMOD.US,D,20220107,000000,390,391.2,390,391.2,15.225,0
AMOD.US,D,20220111,000000,390,390,389.6,390,11265.3,0
AMOD.US,D,20220114,000000,389.6,389.6,389.6,389.6,2500,0
AMOD.US,D,20220118,000000,389.6,389.6,389.6,389.6,3.45,0
AMOD.US,D,20220119,000000,390.4,390.4,390.4,390.4,7.675,0
AMOD.US,D,20220120,000000,389.6,389.6,389.6,389.6,770.65,0
AMOD.US,D,20220124,000000,389.6,389.6,389.6,389.6,11.3,0
AMOD.US,D,20220125,000000,388.8,388.8,388.4,388.8,6205.05,0
AMOD.US,D,20220126,000000,388.8,388.8,388.8,388.8,60.125,0
AMOD.US,D,20220127,000000,388.8,389,387.6,387.6,2963.27,0
AMOD.US,D,20220128,000000,389.6,389.6,389.6,389.6,2.65,0
AMOD.US,D,20220131,000000,388.4,388.4,388.4,388.4,1390.5,0
AMOD.US,D,20220202,000000,389.2,389.2,389.2,389.2,5000,0
