<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANSC.US,D,20240104,000000,10.07,10.09,10.07,10.09,252829,0
ANSC.US,D,20240105,000000,10.07,10.1,10.07,10.08,213195,0
ANSC.US,D,20240108,000000,10.1,10.11,10.09,10.09,25035,0
ANSC.US,D,20240109,000000,10.1,10.1,10.09,10.1,17297,0
ANSC.US,D,20240110,000000,10.1,10.1,10.1,10.1,221,0
ANSC.US,D,20240111,000000,10.1,10.11,10.1,10.1,10928,0
ANSC.US,D,20240112,000000,10.09,10.11,10.09,10.11,55530,0
ANSC.US,D,20240116,000000,10.105,10.12,10.1,10.1,249235,0
ANSC.US,D,20240117,000000,10.11,10.12,10.1,10.1,5302,0
ANSC.US,D,20240118,000000,10.1,10.1,10.1,10.1,500337,0
ANSC.US,D,20240119,000000,10.1,10.12,10.1,10.11,46286,0
ANSC.US,D,20240122,000000,10.12,10.13,10.12,10.13,23332,0
ANSC.US,D,20240123,000000,10.13,10.13,10.13,10.13,25003,0
ANSC.US,D,20240124,000000,10.1382,10.1382,10.12,10.12,211,0
ANSC.US,D,20240130,000000,10.14,10.14,10.13,10.13,51232,0
ANSC.US,D,20240131,000000,10.13,10.14,10.12,10.14,22608,0
ANSC.US,D,20240201,000000,10.13,10.13,10.13,10.13,36504,0
ANSC.US,D,20240202,000000,10.13,10.135,10.13,10.13,32030,0
ANSC.US,D,20240206,000000,10.135,10.14,10.135,10.14,6365,0
ANSC.US,D,20240207,000000,10.14,10.14,10.13,10.14,84067,0
ANSC.US,D,20240208,000000,10.13,10.14,10.13,10.14,255681,0
ANSC.US,D,20240209,000000,10.135,10.14,10.13,10.14,4127,0
ANSC.US,D,20240213,000000,10.13,10.14,10.13,10.14,5374,0
ANSC.US,D,20240216,000000,10.1224,10.14,10.1224,10.14,87839,0
ANSC.US,D,20240220,000000,10.13,10.14,10.13,10.14,27425,0
ANSC.US,D,20240221,000000,10.14,10.145,10.13,10.13,343878,0
ANSC.US,D,20240222,000000,10.13,10.14,10.13,10.14,34665,0
ANSC.US,D,20240226,000000,10.142,10.15,10.142,10.15,31079,0
ANSC.US,D,20240227,000000,10.15,10.15,10.14,10.15,1561472,0
ANSC.US,D,20240228,000000,10.14,10.14,10.12,10.13,2001186,0
ANSC.US,D,20240229,000000,10.13,10.14,10.12,10.14,2076848,0
ANSC.US,D,20240301,000000,10.145,10.145,10.1407,10.1407,24731,0
ANSC.US,D,20240304,000000,10.14,10.14,10.13,10.14,18823,0
ANSC.US,D,20240305,000000,10.1422,10.1422,10.14,10.14,16501,0
ANSC.US,D,20240306,000000,10.14,10.15,10.14,10.15,126385,0
ANSC.US,D,20240307,000000,10.15,10.15,10.15,10.15,25003,0
ANSC.US,D,20240308,000000,10.15,10.16,10.13,10.1575,285726,0
ANSC.US,D,20240311,000000,10.15,10.15,10.15,10.15,2707,0
ANSC.US,D,20240312,000000,10.155,10.16,10.15,10.15,22053,0
ANSC.US,D,20240313,000000,10.155,10.155,10.155,10.155,4925,0
ANSC.US,D,20240314,000000,10.15,10.16,10.15,10.15,348491,0
ANSC.US,D,20240315,000000,10.16,10.16,10.16,10.16,4538,0
ANSC.US,D,20240318,000000,10.15,10.16,10.1433,10.16,336473,0
ANSC.US,D,20240319,000000,10.16,10.16,10.15,10.15,48775,0
ANSC.US,D,20240320,000000,10.14,10.17,10.14,10.16,29086,0
ANSC.US,D,20240321,000000,10.155,10.17,10.155,10.17,14168,0
ANSC.US,D,20240325,000000,10.165,10.17,10.16,10.16,137402,0
ANSC.US,D,20240326,000000,10.16,10.17,10.16,10.17,51985,0
ANSC.US,D,20240327,000000,10.16,10.17,10.16,10.17,75722,0
ANSC.US,D,20240328,000000,10.17,10.17,10.15,10.155,26152,0
ANSC.US,D,20240401,000000,10.16,10.1611,10.16,10.16,11243,0
ANSC.US,D,20240402,000000,10.16,10.16,10.16,10.16,956,0
ANSC.US,D,20240403,000000,10.165,10.17,10.165,10.17,30623,0
ANSC.US,D,20240404,000000,10.1664,10.185,10.1664,10.185,248527,0
ANSC.US,D,20240405,000000,10.19,10.1901,10.17,10.17,23255,0
ANSC.US,D,20240408,000000,10.1744,10.19,10.1714,10.19,62196,0
ANSC.US,D,20240409,000000,10.185,10.195,10.18,10.19,57595,0
ANSC.US,D,20240410,000000,10.18,10.2,10.18,10.19,58703,0
ANSC.US,D,20240411,000000,10.2,10.205,10.19,10.2,35266,0
ANSC.US,D,20240412,000000,10.21,10.21,10.205,10.21,8536,0
ANSC.US,D,20240415,000000,10.1996,10.22,10.1996,10.215,20056,0
ANSC.US,D,20240416,000000,10.22,10.22,10.21,10.21,993,0
ANSC.US,D,20240417,000000,10.22,10.22,10.22,10.22,134,0
ANSC.US,D,20240418,000000,10.22,10.22,10.21,10.22,100991,0
ANSC.US,D,20240419,000000,10.201,10.22,10.2,10.22,2270,0
ANSC.US,D,20240422,000000,10.2044,10.22,10.2044,10.21,68141,0
ANSC.US,D,20240423,000000,10.22,10.22,10.22,10.22,6005,0
ANSC.US,D,20240424,000000,10.22,10.22,10.22,10.22,51779,0
ANSC.US,D,20240425,000000,10.22,10.22,10.215,10.215,49400,0
ANSC.US,D,20240426,000000,10.22,10.225,10.21,10.225,33327,0
