<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APURR.US,D,20260610,000000,0.22,0.23,0.21,0.22,3272822,0
APURR.US,D,20260611,000000,0.23,0.23,0.21,0.2121,86364,0
APURR.US,D,20260612,000000,0.21,0.2164,0.21,0.21,294529,0
APURR.US,D,20260615,000000,0.212,0.212,0.122,0.16,144436,0
APURR.US,D,20260616,000000,0.1699,0.1701,0.162,0.1701,20814,0
APURR.US,D,20260617,000000,0.2123,0.22,0.172,0.2157,5146,0
APURR.US,D,20260618,000000,0.2192,0.22,0.1601,0.22,5939,0
APURR.US,D,20260622,000000,0.21,0.21,0.21,0.21,213,0
APURR.US,D,20260623,000000,0.21,0.21,0.21,0.21,500,0
APURR.US,D,20260624,000000,0.16001,0.16001,0.16001,0.16001,738,0
APURR.US,D,20260702,000000,0.17,0.17,0.17,0.17,100,0
APURR.US,D,20260706,000000,0.22,0.22,0.1707,0.1707,602,0
APURR.US,D,20260707,000000,0.2119,0.2119,0.1704,0.1704,1380,0
APURR.US,D,20260708,000000,0.1879,0.1879,0.1825,0.1879,812,0
APURR.US,D,20260709,000000,0.1806,0.19,0.17,0.1702,64905,0
APURR.US,D,20260713,000000,0.1923,0.21,0.1923,0.1923,1573,0
APURR.US,D,20260714,000000,0.1961,0.2,0.1922,0.1922,28556,0
APURR.US,D,20260715,000000,0.195,0.2,0.1937,0.195,207101,0
APURR.US,D,20260720,000000,0.1922,0.1922,0.1739,0.19,49433,0
APURR.US,D,20260722,000000,0.19,0.19,0.19,0.19,373,0
APURR.US,D,20260723,000000,0.1993,0.1993,0.1993,0.1993,368,0
APURR.US,D,20260731,000000,0.1735,0.22,0.1735,0.2108,648,0
APURR.US,D,20260805,000000,0.2166,0.22,0.2166,0.22,200,0
APURR.US,D,20260813,000000,0.1824,0.1824,0.1802,0.1802,500,0
APURR.US,D,20260818,000000,0.19,0.19,0.19,0.19,333,0
APURR.US,D,20260821,000000,0.1901,0.2556,0.1842,0.2013,17352,0
