<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARBK.US,D,20210923,000000,3242.16,3816.72,3132,3618,43655.5,0
ARBK.US,D,20210924,000000,3650.4,4175.28,3479.76,3585.6,17718.7,0
ARBK.US,D,20210927,000000,3743.95,3744.21,3378.24,3672,7897.74,0
ARBK.US,D,20210928,000000,3656.88,3656.88,3276.72,3328.56,5588.07,0
ARBK.US,D,20210929,000000,3470.45,3489.54,3294,3326.4,2187.95,0
ARBK.US,D,20210930,000000,3365.28,3492.72,3294,3456,2538.95,0
ARBK.US,D,20211001,000000,3564,3653.64,3458.16,3561.84,3759.04,0
ARBK.US,D,20211004,000000,3484.08,3585.6,3382.56,3484.08,2165.15,0
ARBK.US,D,20211005,000000,3484.08,3602.88,3425.76,3514.32,2146.62,0
ARBK.US,D,20211006,000000,3603.07,3732.48,3456,3525.12,3381.98,0
ARBK.US,D,20211007,000000,3471.12,3564,3389.04,3540.24,1846.21,0
ARBK.US,D,20211008,000000,3464.64,3564,3316.12,3348,3620.35,0
ARBK.US,D,20211011,000000,3391.2,3438.72,3324.24,3376.08,2510.04,0
ARBK.US,D,20211012,000000,3367.44,3396.47,3228.12,3291.84,1716.4,0
ARBK.US,D,20211013,000000,3293.4,3376.08,3232.44,3332.88,1248.19,0
ARBK.US,D,20211014,000000,3434.12,3434.12,3268.08,3369.6,1226.75,0
ARBK.US,D,20211015,000000,3466.8,3715.2,3358.8,3654.72,3991.94,0
ARBK.US,D,20211018,000000,3650.4,3983.04,3579.12,3721.68,5373.17,0
ARBK.US,D,20211019,000000,3790.8,4045.68,3743.28,3851.28,3018.43,0
ARBK.US,D,20211020,000000,3829.68,3948.48,3812.4,3896.64,2517.64,0
ARBK.US,D,20211021,000000,4101.84,4356.7,3944.16,4052.16,4991.58,0
ARBK.US,D,20211022,000000,4015.44,4039.2,3633.12,3676.32,2760.64,0
ARBK.US,D,20211025,000000,3682.8,4037.04,3682.8,3942,3469.57,0
ARBK.US,D,20211026,000000,3749.76,3790.8,3611.52,3626.64,2741.43,0
ARBK.US,D,20211027,000000,3564,3581.28,3328.56,3412.8,2445.94,0
ARBK.US,D,20211028,000000,3447.36,3656.88,3417.12,3512.16,2728.85,0
ARBK.US,D,20211029,000000,3548.88,3672,3516.48,3639.6,1274.41,0
ARBK.US,D,20211101,000000,3761.45,3978.72,3738.96,3849.12,4913.21,0
ARBK.US,D,20211102,000000,3909.6,3995.68,3726,3881.52,3978.12,0
ARBK.US,D,20211103,000000,3682.8,3827.52,3672,3743.28,3213.99,0
ARBK.US,D,20211104,000000,3758.4,3849.12,3676.34,3738.96,2968.19,0
ARBK.US,D,20211105,000000,3639.6,3799.44,3535.92,3777.84,3539.2,0
ARBK.US,D,20211108,000000,3747.6,4071.6,3721.68,3967.92,5768.75,0
ARBK.US,D,20211109,000000,4082.4,4456.08,3885.84,4440.96,8726.23,0
ARBK.US,D,20211110,000000,4417.2,4417.2,4017.6,4123.44,4320.56,0
ARBK.US,D,20211111,000000,4104,4248.72,3952.8,4216.32,2402.57,0
ARBK.US,D,20211112,000000,4011.12,4158.99,3980.88,4095.36,2435.4,0
ARBK.US,D,20211115,000000,4170.96,4192.11,3837.11,3909.6,2920.87,0
ARBK.US,D,20211116,000000,4048.01,4361.04,4013.3,4315.68,8711.2,0
ARBK.US,D,20211117,000000,4276.8,4536,4028.4,4170.96,4672.41,0
