<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARCLU.US,D,20260430,000000,10.02,10.03,10.01,10.02,988900,0
ARCLU.US,D,20260501,000000,10.02,10.03,10.005,10.01,357439,0
ARCLU.US,D,20260504,000000,10.04,10.04,10.015,10.015,27075,0
ARCLU.US,D,20260505,000000,10.04,10.04,10.02,10.02,92620,0
ARCLU.US,D,20260506,000000,10.03,10.03,10.0201,10.0201,819,0
ARCLU.US,D,20260507,000000,10.02,10.02,10.02,10.02,8154,0
ARCLU.US,D,20260508,000000,10.02,10.02,10.015,10.02,310122,0
ARCLU.US,D,20260511,000000,10.02,10.03,10.02,10.03,5368,0
ARCLU.US,D,20260514,000000,10.03,10.04,10.03,10.04,222,0
ARCLU.US,D,20260515,000000,10.03,10.04,10.03,10.035,559114,0
ARCLU.US,D,20260519,000000,10.04,10.045,10.04,10.045,25152,0
ARCLU.US,D,20260520,000000,10.06,10.06,10.06,10.06,139,0
ARCLU.US,D,20260521,000000,10.06,10.06,10.06,10.06,240,0
ARCLU.US,D,20260522,000000,10.055,10.06,10.055,10.06,10000,0
ARCLU.US,D,20260526,000000,10.075,10.08,10.075,10.08,32857,0
ARCLU.US,D,20260527,000000,10.09,10.12,10.09,10.12,62618,0
ARCLU.US,D,20260528,000000,10.13,10.13,10.13,10.13,30397,0
ARCLU.US,D,20260529,000000,10.18,10.22,10.18,10.22,9776,0
ARCLU.US,D,20260602,000000,10.22,10.22,10.2,10.2,25004,0
ARCLU.US,D,20260609,000000,10.21,10.21,10.2,10.2,10300,0
ARCLU.US,D,20260610,000000,10.21,10.21,10.21,10.21,5004,0
ARCLU.US,D,20260611,000000,10.29,10.5,10.29,10.5,1000,0
ARCLU.US,D,20260612,000000,10.1999,10.2,10.1999,10.2,1374,0
ARCLU.US,D,20260615,000000,10.33,10.33,10.33,10.33,127,0
ARCLU.US,D,20260616,000000,10.5,10.5,10.25,10.25,1506,0
ARCLU.US,D,20260622,000000,10.28,10.28,10.2,10.2,2800,0
ARCLU.US,D,20260623,000000,10.25,10.25,10.23,10.23,727,0
ARCLU.US,D,20260625,000000,10.21,10.22,10.2,10.21,10893,0
ARCLU.US,D,20260721,000000,10.22,10.22,10.2,10.2,1480,0
ARCLU.US,D,20260817,000000,10.2,10.2,10.18,10.19,13267,0
ARCLU.US,D,20260818,000000,10.2,10.22,10.2,10.2,11092,0
ARCLU.US,D,20260819,000000,10.22,10.22,10.191,10.22,949,0
ARCLU.US,D,20260820,000000,10.24,10.24,10.24,10.24,130,0
ARCLU.US,D,20260821,000000,10.25,10.25,10.24,10.24,1214,0
ARCLU.US,D,20260824,000000,10.2,10.2,10.19,10.19,6354,0
