<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASLE.US,D,20190301,000000,9.76,9.8299,9.7,9.8299,4305,0
ASLE.US,D,20190307,000000,9.8,9.8,9.8,9.8,107,0
ASLE.US,D,20190314,000000,9.76,9.77,9.76,9.77,878006,0
ASLE.US,D,20190315,000000,9.81,9.81,9.77,9.77,203000,0
ASLE.US,D,20190319,000000,9.8,9.8,9.77,9.77,35000,0
ASLE.US,D,20190320,000000,9.786,9.786,9.77,9.77,37058,0
ASLE.US,D,20190321,000000,9.77,9.78,9.77,9.77,200100,0
ASLE.US,D,20190325,000000,9.77,9.77,9.77,9.77,2501,0
ASLE.US,D,20190326,000000,9.77,9.79,9.77,9.78,359866,0
ASLE.US,D,20190327,000000,9.75,9.75,9.75,9.75,1114,0
ASLE.US,D,20190328,000000,9.76,9.76,9.7596,9.76,2560,0
ASLE.US,D,20190329,000000,9.78,9.8,9.7782,9.8,3505,0
ASLE.US,D,20190401,000000,9.79,9.79,9.79,9.79,1012,0
ASLE.US,D,20190403,000000,9.78,9.8,9.78,9.8,21002,0
ASLE.US,D,20190404,000000,9.75,9.8,9.75,9.8,20400,0
ASLE.US,D,20190405,000000,9.78,9.795,9.78,9.79,253776,0
ASLE.US,D,20190408,000000,9.77,9.79,9.77,9.79,33025,0
ASLE.US,D,20190410,000000,9.77,9.77,9.77,9.77,48600,0
ASLE.US,D,20190416,000000,9.78,9.78,9.78,9.78,2075,0
ASLE.US,D,20190418,000000,9.79,9.8,9.78,9.79,286865,0
ASLE.US,D,20190422,000000,9.82,9.82,9.82,9.82,501,0
ASLE.US,D,20190424,000000,9.82,9.82,9.82,9.82,504,0
ASLE.US,D,20190425,000000,9.82,9.83,9.82,9.83,5600,0
ASLE.US,D,20190426,000000,9.79,9.79,9.77,9.77,947,0
ASLE.US,D,20190503,000000,9.8,9.8,9.8,9.8,1000,0
ASLE.US,D,20190506,000000,9.78,9.86,9.78,9.86,150906,0
ASLE.US,D,20190507,000000,9.88,9.88,9.85,9.85,900,0
ASLE.US,D,20190510,000000,9.84,9.85,9.83,9.85,50301,0
ASLE.US,D,20190513,000000,9.85,9.851,9.85,9.851,5005,0
ASLE.US,D,20190514,000000,9.85,9.85,9.84,9.85,484,0
ASLE.US,D,20190515,000000,9.84,9.87,9.84,9.87,5326,0
ASLE.US,D,20190516,000000,9.86,9.86,9.86,9.86,475,0
ASLE.US,D,20190517,000000,9.84,9.84,9.83,9.84,2174,0
ASLE.US,D,20190521,000000,9.83,9.87,9.81,9.86,129480,0
