<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBCQ.US,D,20260128,000000,9.95,9.95,9.91,9.95,17464,0
BBCQ.US,D,20260129,000000,9.91,9.94,9.91,9.94,6951,0
BBCQ.US,D,20260130,000000,9.92,9.93,9.92,9.93,737203,0
BBCQ.US,D,20260202,000000,9.95,9.95,9.95,9.95,1827,0
BBCQ.US,D,20260203,000000,9.93,9.93,9.93,9.93,100004,0
BBCQ.US,D,20260204,000000,9.92,10.05,9.92,10.05,11879,0
BBCQ.US,D,20260205,000000,9.925,9.925,9.92,9.925,11147,0
BBCQ.US,D,20260206,000000,9.935,9.935,9.92,9.92,50333,0
BBCQ.US,D,20260209,000000,9.92,9.94,9.92,9.94,500715,0
BBCQ.US,D,20260210,000000,9.96,9.96,9.96,9.96,102,0
BBCQ.US,D,20260211,000000,9.97,9.98,9.97,9.97,524994,0
BBCQ.US,D,20260212,000000,9.97,9.97,9.95,9.95,23230,0
BBCQ.US,D,20260213,000000,9.95,9.95,9.95,9.95,436,0
BBCQ.US,D,20260217,000000,9.95,9.95,9.95,9.95,55397,0
BBCQ.US,D,20260218,000000,9.95,9.95,9.95,9.95,250469,0
BBCQ.US,D,20260219,000000,9.94,9.94,9.94,9.94,238,0
BBCQ.US,D,20260224,000000,9.97,9.97,9.97,9.97,227908,0
BBCQ.US,D,20260225,000000,9.97,9.97,9.97,9.97,60229,0
BBCQ.US,D,20260226,000000,9.97,9.97,9.92,9.92,113357,0
BBCQ.US,D,20260227,000000,9.96,9.96,9.92,9.92,2307,0
BBCQ.US,D,20260302,000000,9.92,9.94,9.92,9.94,40524,0
BBCQ.US,D,20260303,000000,9.94,9.95,9.935,9.935,64081,0
BBCQ.US,D,20260304,000000,9.92,9.94,9.92,9.92,600546,0
BBCQ.US,D,20260305,000000,10.15,10.15,10.02,10.07,1652810,0
BBCQ.US,D,20260306,000000,10.04,10.07,10.04,10.05,381789,0
BBCQ.US,D,20260309,000000,10.06,10.07,10.05,10.06,449222,0
BBCQ.US,D,20260310,000000,10.05,10.15,10.04,10.1,323857,0
BBCQ.US,D,20260311,000000,10.1,10.12,10.04,10.07,87404,0
BBCQ.US,D,20260312,000000,10.09,10.09,10.04,10.04,492161,0
BBCQ.US,D,20260313,000000,10.07,10.07,10.05,10.07,94886,0
BBCQ.US,D,20260316,000000,10.05,10.07,10.05,10.07,9711,0
BBCQ.US,D,20260317,000000,10.0579,10.07,10.05,10.06,12868,0
BBCQ.US,D,20260318,000000,10.08,10.08,10.05,10.06,32193,0
BBCQ.US,D,20260319,000000,10.07,10.07,10.05,10.06,29561,0
BBCQ.US,D,20260320,000000,10.06,10.06,10.03,10.04,227554,0
BBCQ.US,D,20260323,000000,10.04,10.05,10.03,10.03,18110,0
BBCQ.US,D,20260324,000000,10.04,10.05,10.03,10.05,66906,0
BBCQ.US,D,20260325,000000,10.05,10.05,10.02,10.03,69202,0
BBCQ.US,D,20260326,000000,10.04,10.04,10.02,10.02,62633,0
BBCQ.US,D,20260327,000000,10.02,10.02,10.01,10.01,30323,0
BBCQ.US,D,20260330,000000,10.01,10.03,10.01,10.01,12119,0
BBCQ.US,D,20260331,000000,10.06,10.06,10.01,10.02,10405,0
BBCQ.US,D,20260401,000000,10.03,10.04,10.02,10.03,454523,0
BBCQ.US,D,20260402,000000,10.03,10.18,10.01,10.01,3797,0
BBCQ.US,D,20260406,000000,10.025,10.04,10.025,10.03,77898,0
BBCQ.US,D,20260407,000000,10.03,10.04,10.02,10.02,1561,0
BBCQ.US,D,20260408,000000,10.0398,10.1,10.03,10.04,115796,0
BBCQ.US,D,20260409,000000,10.05,10.25,10.035,10.14,546046,0
BBCQ.US,D,20260410,000000,10.08,10.15,10.08,10.15,260971,0
BBCQ.US,D,20260413,000000,10.11,10.17,10.11,10.17,182027,0
BBCQ.US,D,20260414,000000,10.1499,10.18,10.1496,10.175,401183,0
BBCQ.US,D,20260415,000000,10.18,10.255,10.16,10.22,624163,0
BBCQ.US,D,20260416,000000,10.25,10.2699,10.2,10.24,263020,0
BBCQ.US,D,20260417,000000,10.25,10.27,10.235,10.25,53146,0
BBCQ.US,D,20260420,000000,10.25,10.25,10.2,10.24,27505,0
BBCQ.US,D,20260421,000000,10.25,10.25,10.205,10.23,110567,0
BBCQ.US,D,20260422,000000,10.24,10.24,10.22,10.23,375498,0
BBCQ.US,D,20260423,000000,10.24,10.35,10.23,10.31,2281367,0
BBCQ.US,D,20260424,000000,10.3,10.32,10.27,10.3,171855,0
BBCQ.US,D,20260427,000000,10.3,10.3,10.28,10.295,41316,0
BBCQ.US,D,20260428,000000,10.3,10.3,10.2814,10.29,33391,0
BBCQ.US,D,20260429,000000,10.28,10.3,10.275,10.28,36661,0
BBCQ.US,D,20260430,000000,10.31,10.31,10.25,10.25,130260,0
BBCQ.US,D,20260501,000000,10.34,10.34,10.27,10.285,54828,0
BBCQ.US,D,20260504,000000,10.27,10.28,10.24,10.25,339019,0
BBCQ.US,D,20260505,000000,10.29,10.29,10.25,10.27,56700,0
BBCQ.US,D,20260506,000000,10.3,10.43,10.29,10.35,980446,0
BBCQ.US,D,20260507,000000,10.4,10.4,10.35,10.36,264537,0
BBCQ.US,D,20260508,000000,10.36,10.48,10.36,10.45,520205,0
BBCQ.US,D,20260511,000000,10.46,10.53,10.37,10.46,331138,0
BBCQ.US,D,20260512,000000,10.45,10.5,10.41,10.44,331897,0
BBCQ.US,D,20260513,000000,10.46,10.47,10.36,10.36,186851,0
BBCQ.US,D,20260514,000000,10.39,10.4,10.33,10.34,888238,0
BBCQ.US,D,20260515,000000,10.35,10.38,10.3,10.35,674925,0
BBCQ.US,D,20260518,000000,10.36,10.36,10.26,10.28,605778,0
BBCQ.US,D,20260519,000000,10.28,10.299,10.26,10.29,179316,0
BBCQ.US,D,20260520,000000,10.29,10.495,10.29,10.42,1158198,0
BBCQ.US,D,20260521,000000,10.42,10.692,10.41,10.6,1000880,0
BBCQ.US,D,20260522,000000,10.69,10.87,10.58,10.71,925700,0
BBCQ.US,D,20260526,000000,10.69,10.72,10.65,10.66,371599,0
BBCQ.US,D,20260527,000000,10.65,10.72,10.47,10.56,175546,0
BBCQ.US,D,20260528,000000,10.62,10.65,10.455,10.55,338749,0
BBCQ.US,D,20260529,000000,10.63,10.6983,10.52,10.59,633728,0
BBCQ.US,D,20260601,000000,10.64,10.66,10.52,10.6,676848,0
BBCQ.US,D,20260602,000000,10.63,10.86,10.56,10.82,1481902,0
BBCQ.US,D,20260603,000000,10.85,11.1899,10.75,11.13,1467492,0
BBCQ.US,D,20260604,000000,11.01,11.26,10.8,10.81,517381,0
BBCQ.US,D,20260605,000000,10.8,10.925,10.45,10.53,784846,0
BBCQ.US,D,20260608,000000,10.58,10.63,10.425,10.44,336795,0
BBCQ.US,D,20260609,000000,10.5,10.5,10.34,10.4,179199,0
BBCQ.US,D,20260610,000000,10.5,10.5,10.35,10.35,181617,0
BBCQ.US,D,20260611,000000,10.4,10.42,10.36,10.38,62077,0
BBCQ.US,D,20260612,000000,10.38,10.42,10.35,10.35,122290,0
BBCQ.US,D,20260615,000000,10.42,10.56,10.4,10.51,270908,0
BBCQ.US,D,20260616,000000,10.5,10.5,10.35,10.35,286839,0
BBCQ.US,D,20260617,000000,10.38,10.45,10.358,10.36,78511,0
BBCQ.US,D,20260618,000000,10.37,10.4,10.35,10.36,32158,0
BBCQ.US,D,20260622,000000,10.38,10.45,10.35,10.39,134717,0
BBCQ.US,D,20260623,000000,10.41,10.5,10.35,10.4,112799,0
BBCQ.US,D,20260624,000000,10.44,10.44,10.35,10.35,147007,0
BBCQ.US,D,20260625,000000,10.37,10.39,10.29,10.32,58378,0
BBCQ.US,D,20260626,000000,10.34,10.39,10.32,10.32,32361,0
BBCQ.US,D,20260629,000000,10.38,10.38,10.3,10.3,73337,0
BBCQ.US,D,20260630,000000,10.37,10.37,10.32,10.32,50982,0
BBCQ.US,D,20260701,000000,10.38,10.42,10.35,10.39,172237,0
BBCQ.US,D,20260702,000000,10.41,10.4334,10.37,10.38,84816,0
BBCQ.US,D,20260706,000000,10.44,10.44,10.37,10.4,82841,0
BBCQ.US,D,20260707,000000,10.38,10.4,10.3,10.32,214516,0
BBCQ.US,D,20260708,000000,10.3,10.37,10.27,10.31,46293,0
BBCQ.US,D,20260709,000000,10.28,10.29,10.26,10.27,34177,0
BBCQ.US,D,20260710,000000,10.27,10.36,10.2611,10.35,68405,0
BBCQ.US,D,20260713,000000,10.35,10.35,10.31,10.32,66967,0
BBCQ.US,D,20260714,000000,10.35,10.35,10.3,10.35,30306,0
BBCQ.US,D,20260715,000000,10.31,10.31,10.29,10.29,11887,0
BBCQ.US,D,20260716,000000,10.31,10.31,10.27,10.29,283963,0
BBCQ.US,D,20260717,000000,10.3,10.4,10.28,10.32,112813,0
BBCQ.US,D,20260720,000000,10.32,10.34,10.28,10.29,38982,0
BBCQ.US,D,20260721,000000,10.31,10.34,10.3,10.31,15637,0
BBCQ.US,D,20260722,000000,10.29,10.3343,10.28,10.28,206493,0
BBCQ.US,D,20260723,000000,10.31,10.32,10.25,10.255,107322,0
BBCQ.US,D,20260724,000000,10.29,10.29,10.22,10.25,89817,0
BBCQ.US,D,20260727,000000,10.23,10.24,10.21,10.21,331034,0
