<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CGCFU.US,D,20260625,000000,9.95,10,9.95,10,11926610,0
CGCFU.US,D,20260626,000000,9.99,10,9.98,9.98,1282791,0
CGCFU.US,D,20260629,000000,10,10,9.98,9.99,51760,0
CGCFU.US,D,20260630,000000,10.03,10.03,9.99,10,94694,0
CGCFU.US,D,20260701,000000,9.95,10.04,9.95,9.96,166049,0
CGCFU.US,D,20260702,000000,10.01,10.01,9.95,9.95,153417,0
CGCFU.US,D,20260706,000000,10.0299,10.0299,9.93,9.93,240827,0
CGCFU.US,D,20260707,000000,10,10,9.93,9.94,81293,0
CGCFU.US,D,20260708,000000,9.9552,9.975,9.94,9.95,73966,0
CGCFU.US,D,20260709,000000,10,10,9.95,9.95,110934,0
CGCFU.US,D,20260710,000000,9.95,9.95,9.95,9.95,196,0
CGCFU.US,D,20260713,000000,9.96,9.96,9.96,9.96,337,0
CGCFU.US,D,20260714,000000,10,10,9.95,9.95,16206,0
CGCFU.US,D,20260715,000000,9.95,9.96,9.95,9.95,53587,0
CGCFU.US,D,20260716,000000,9.95,9.96,9.95,9.96,393,0
CGCFU.US,D,20260717,000000,9.95,9.97,9.95,9.97,3975,0
CGCFU.US,D,20260721,000000,9.975,9.975,9.975,9.975,1000,0
CGCFU.US,D,20260722,000000,9.95,9.9625,9.95,9.95,1418,0
CGCFU.US,D,20260723,000000,10,10,9.96,9.9604,6175,0
CGCFU.US,D,20260727,000000,9.99,9.99,9.95,9.965,4976,0
CGCFU.US,D,20260728,000000,10,10,9.965,9.965,12037,0
CGCFU.US,D,20260729,000000,10,10,9.965,9.965,1126,0
CGCFU.US,D,20260730,000000,9.95,9.97,9.95,9.97,13771,0
CGCFU.US,D,20260731,000000,10,10,9.98,9.98,1582,0
CGCFU.US,D,20260803,000000,9.9828,9.9828,9.9828,9.9828,1138,0
CGCFU.US,D,20260805,000000,10,10,10,10,90601,0
CGCFU.US,D,20260810,000000,9.97,9.97,9.97,9.97,1051,0
CGCFU.US,D,20260812,000000,9.98,9.98,9.98,9.98,1010,0
CGCFU.US,D,20260814,000000,9.98,9.99,9.975,9.98,49448,0
CGCFU.US,D,20260817,000000,9.97,10,9.96,10,18856,0
CGCFU.US,D,20260819,000000,10,10,9.98,9.98,30687,0
CGCFU.US,D,20260821,000000,10,10,10,10,297,0
