<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIGL.US,D,20250422,000000,4.4,4.88,3.63,4.21,2658724,0
CIGL.US,D,20250423,000000,4.12,4.45,3.88,4.35,175034,0
CIGL.US,D,20250424,000000,4.15,4.4,3.9614,4.11,112550,0
CIGL.US,D,20250425,000000,4.12,4.19,4,4.18,43009,0
CIGL.US,D,20250428,000000,4.15,4.3,4.05,4.135,13270,0
CIGL.US,D,20250429,000000,4.15,4.29,4.1001,4.15,25622,0
CIGL.US,D,20250430,000000,4.2233,4.3,4.175,4.2,19619,0
CIGL.US,D,20250501,000000,4.15,4.26,4.15,4.2,20648,0
CIGL.US,D,20250502,000000,4.15,4.2637,4.1015,4.17,9268,0
CIGL.US,D,20250505,000000,4.25,4.3,4.2,4.2245,2334,0
CIGL.US,D,20250506,000000,4.26,4.42,4.11,4.4,31111,0
CIGL.US,D,20250507,000000,4.95,7.27,4.67,6.94,356656,0
CIGL.US,D,20250508,000000,6.79,6.9239,5.7501,6.67,35077,0
CIGL.US,D,20250509,000000,6.67,6.67,6.4,6.465,19344,0
CIGL.US,D,20250512,000000,6.43,6.69,6.42,6.68,5437,0
CIGL.US,D,20250513,000000,6.59,6.59,5.86,6.18,26118,0
CIGL.US,D,20250514,000000,6,6.51,5.52,6.48,22305,0
CIGL.US,D,20250515,000000,6.44,6.59,6.33,6.33,1654,0
CIGL.US,D,20250516,000000,6.41,6.89,6.41,6.89,7895,0
CIGL.US,D,20250519,000000,6.43,6.63,6.23,6.59,51612,0
CIGL.US,D,20250520,000000,6.49,6.89,6.23,6.42,36455,0
CIGL.US,D,20250521,000000,6.5,6.575,6.06,6.06,10114,0
CIGL.US,D,20250522,000000,6.07,6.35,6.07,6.35,5264,0
CIGL.US,D,20250523,000000,6.22,6.25,5.73,5.9786,5543,0
CIGL.US,D,20250527,000000,5.95,6,5,5.53,23704,0
CIGL.US,D,20250528,000000,5.59,5.59,5.21,5.3,7962,0
CIGL.US,D,20250529,000000,5.32,5.88,5.32,5.5,29030,0
CIGL.US,D,20250530,000000,5.9334,6.3,5.55,5.62,9840,0
CIGL.US,D,20250602,000000,5.59,6.15,5.57,6.0875,10689,0
CIGL.US,D,20250603,000000,6.15,6.15,5.7662,5.8,9344,0
CIGL.US,D,20250604,000000,5.7,6.1,5.4,5.4,7696,0
CIGL.US,D,20250605,000000,5.475,5.8,5.475,5.54,11276,0
CIGL.US,D,20250606,000000,5.38,6.23,5.36,5.95,18201,0
CIGL.US,D,20250609,000000,5.77,6.47,5.5,6.47,54831,0
CIGL.US,D,20250610,000000,6.0897,7.23,5.48,6.92,45566,0
CIGL.US,D,20250611,000000,6.71,7.8,6.3,7.35,26085,0
CIGL.US,D,20250612,000000,7.68,7.68,6.66,6.85,8953,0
CIGL.US,D,20250613,000000,6,6.9,6,6.56,1034,0
CIGL.US,D,20250616,000000,6.1,6.45,6.1,6.45,592,0
CIGL.US,D,20250617,000000,6.72,6.74,6.52,6.52,2163,0
CIGL.US,D,20250618,000000,6.52,6.52,6.52,6.52,534,0
CIGL.US,D,20250620,000000,5.86,6.59,5.535,6.59,60117,0
CIGL.US,D,20250623,000000,6.84,8.7967,6.3796,8.09,122515,0
CIGL.US,D,20250624,000000,8,8.94,7.52,8.78,216571,0
