<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CXII.US,D,20260617,000000,10.1,10.11,10.09,10.09,9263,0
CXII.US,D,20260618,000000,10.08,10.08,10.05,10.05,3427,0
CXII.US,D,20260622,000000,10.06,10.09,10.06,10.09,2534,0
CXII.US,D,20260623,000000,10.05,10.05,10.05,10.05,1238,0
CXII.US,D,20260624,000000,10.35,10.45,10.15,10.4,411180,0
CXII.US,D,20260625,000000,10.4,10.42,10.25,10.39,138903,0
CXII.US,D,20260626,000000,10.39,10.52,10.29,10.44,87446,0
CXII.US,D,20260629,000000,10.44,10.66,10.3301,10.43,185014,0
CXII.US,D,20260630,000000,10.65,10.84,10.55,10.65,244624,0
CXII.US,D,20260701,000000,10.7,10.8,10.6501,10.79,742833,0
CXII.US,D,20260702,000000,10.74,10.82,10.615,10.75,118671,0
CXII.US,D,20260706,000000,10.8,10.8585,10.77,10.8,4784,0
CXII.US,D,20260707,000000,10.77,10.77,10.67,10.77,2102,0
CXII.US,D,20260708,000000,10.74,10.75,10.65,10.7,3367,0
CXII.US,D,20260709,000000,10.65,10.77,10.65,10.72,215398,0
CXII.US,D,20260710,000000,10.67,10.67,10.65,10.65,967,0
CXII.US,D,20260713,000000,10.6391,10.71,10.5936,10.65,101911,0
CXII.US,D,20260714,000000,10.6,10.7,10.6,10.7,751,0
CXII.US,D,20260715,000000,10.65,10.7,10.65,10.7,80550,0
CXII.US,D,20260716,000000,10.67,10.68,10.67,10.68,5170,0
CXII.US,D,20260717,000000,10.75,10.75,10.74,10.74,5081,0
CXII.US,D,20260720,000000,10.71,10.71,10.71,10.71,719,0
CXII.US,D,20260721,000000,10.7099,10.85,10.68,10.85,656682,0
CXII.US,D,20260722,000000,10.78,10.78,10.78,10.78,229,0
CXII.US,D,20260724,000000,10.7,10.85,10.65,10.8499,30157,0
CXII.US,D,20260727,000000,10.9,10.9,10.75,10.75,1894,0
CXII.US,D,20260728,000000,10.65,10.8,10.65,10.65,136511,0
CXII.US,D,20260729,000000,10.68,10.84,10.36,10.62,56165,0
CXII.US,D,20260730,000000,10.6,10.73,10.575,10.575,231388,0
CXII.US,D,20260731,000000,10.58,10.7,10.58,10.6,103240,0
CXII.US,D,20260803,000000,10.73,10.78,10.65,10.72,51305,0
CXII.US,D,20260804,000000,10.75,10.75,10.65,10.65,3160,0
CXII.US,D,20260805,000000,10.9,10.9,10.7,10.705,6282,0
CXII.US,D,20260807,000000,10.72,10.7218,10.72,10.7218,1434,0
CXII.US,D,20260811,000000,10.8,10.8,10.73,10.73,678,0
CXII.US,D,20260812,000000,10.88,10.89,10.71,10.71,2175,0
CXII.US,D,20260814,000000,10.765,10.81,10.755,10.755,6050,0
CXII.US,D,20260817,000000,10.72,10.76,10.71,10.76,11370,0
CXII.US,D,20260818,000000,10.81,10.8873,10.71,10.79,2915,0
CXII.US,D,20260819,000000,10.8,10.8,10.7,10.71,6396,0
CXII.US,D,20260820,000000,10.9,10.9,10.71,10.8,1860,0
CXII.US,D,20260821,000000,10.76,10.78,10.7,10.72,96059,0
CXII.US,D,20260824,000000,10.785,10.815,10.73,10.74,389460,0
