<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFNS.US,D,20200723,000000,7000,7000,6964.29,6971.42,82.565,0
DFNS.US,D,20200724,000000,6964.29,7057.14,6964.29,7007.14,32.501,0
DFNS.US,D,20200727,000000,7000,7007.79,7000,7007.79,35.966,0
DFNS.US,D,20200728,000000,7007.14,7007.14,7000,7000,0.7797999999999999,0
DFNS.US,D,20200729,000000,7035.71,7035.71,7035.71,7035.71,0.56,0
DFNS.US,D,20200730,000000,7000,7075,7000,7000,26.3718,0
DFNS.US,D,20200731,000000,7000,7007.14,6964.29,6978.58,103.7414,0
DFNS.US,D,20200803,000000,7085.71,7085.71,6985.71,6985.71,1.7234,0
DFNS.US,D,20200804,000000,7003.58,7007.08,6985.71,6985.71,22.517599999999998,0
DFNS.US,D,20200805,000000,6978.58,7000,6978.58,7000,1.925,0
DFNS.US,D,20200806,000000,6985.71,6985.71,6978.58,6978.58,1.547,0
DFNS.US,D,20200807,000000,7000,7007.14,6978.58,7000,25.7516,0
DFNS.US,D,20200810,000000,6985.71,6985.71,6985.71,6985.71,0.7854,0
DFNS.US,D,20200811,000000,7000,7000,7000,7000,4.0628,0
DFNS.US,D,20200812,000000,7046.42,7046.42,7046.42,7046.42,0.2506,0
DFNS.US,D,20200814,000000,6992.86,7107.14,6992.86,7107.14,8.2278,0
DFNS.US,D,20200817,000000,7107.14,7107.14,7014.29,7014.29,5.115600000000001,0
DFNS.US,D,20200818,000000,7042.86,7042.86,7035.71,7035.71,1.834,0
DFNS.US,D,20200819,000000,7000,7000,6992.86,6992.86,0.2968,0
DFNS.US,D,20200820,000000,7000,7000,6964.29,6978.58,14.345799999999999,0
DFNS.US,D,20200821,000000,6992.86,7007.14,6992.42,7007.14,11.893,0
DFNS.US,D,20200824,000000,6992.86,7007.14,6978.58,6978.58,45.332,0
DFNS.US,D,20200825,000000,7035.71,7035.71,6978.58,7007.14,5.7540000000000004,0
DFNS.US,D,20200826,000000,7007.14,7007.14,7007.14,7007.14,0.63,0
DFNS.US,D,20200828,000000,6978.58,7007.14,6964.29,6964.29,21.854,0
DFNS.US,D,20200831,000000,7028.58,7028.58,7028.58,7028.58,3.2521999999999998,0
DFNS.US,D,20200902,000000,6971.42,6985.71,6971.42,6985.71,12.7568,0
DFNS.US,D,20200903,000000,7014.29,7014.29,6971.42,6978.58,272.027,0
DFNS.US,D,20200904,000000,7021.42,7021.42,6978.58,6986.36,31.696,0
DFNS.US,D,20200908,000000,7007.14,7014.29,7007.14,7007.14,18.627,0
DFNS.US,D,20200909,000000,7028.58,7028.58,6978.58,6985.71,5.7484,0
DFNS.US,D,20200910,000000,7014.29,7036.21,7014.29,7036.21,0.707,0
DFNS.US,D,20200911,000000,6978.58,6978.58,6978.58,6978.58,0.14,0
DFNS.US,D,20200914,000000,7000,7000,7000,7000,0.5992000000000001,0
DFNS.US,D,20200915,000000,6992.86,6992.86,6978.58,6978.58,6.868399999999999,0
DFNS.US,D,20200916,000000,6985.71,7028.58,6971.42,6978.58,14.305200000000001,0
DFNS.US,D,20200917,000000,6971.42,6978.58,6964.29,6978.58,18.6326,0
DFNS.US,D,20200918,000000,7000,7000,7000,7000,81.0754,0
DFNS.US,D,20200921,000000,7000,7021.42,7000,7007.14,1.1396,0
DFNS.US,D,20200922,000000,7007.14,7007.14,6964.29,6964.29,3.2228000000000003,0
DFNS.US,D,20200923,000000,6978.58,6978.58,6964.29,6971.42,11.0446,0
DFNS.US,D,20200924,000000,6978.58,6978.58,6964.29,6971.42,1.4014000000000002,0
DFNS.US,D,20200925,000000,6964.29,6964.29,6964.29,6964.29,5.2192,0
DFNS.US,D,20200928,000000,6971.42,6999.5,6964.29,6981.21,2.2694,0
DFNS.US,D,20201002,000000,6985,7007.14,6985,7007.14,1.6856,0
DFNS.US,D,20201005,000000,7007.14,7011.42,7000,7005,15.829799999999999,0
DFNS.US,D,20201006,000000,7007.14,7007.14,7000,7007.14,6.0200000000000005,0
DFNS.US,D,20201007,000000,7007.14,7010.71,7000,7000,40.5776,0
DFNS.US,D,20201008,000000,7010.71,7021.42,7000,7007.14,10.1696,0
DFNS.US,D,20201012,000000,7000.08,7010.71,7000.08,7010.71,0.8512000000000001,0
DFNS.US,D,20201013,000000,7010.71,7028.58,7010.71,7021.42,7.667800000000001,0
DFNS.US,D,20201015,000000,7007.14,7078.58,7000,7000,33.4558,0
DFNS.US,D,20201019,000000,7000,7000,7000,7000,0.5992000000000001,0
DFNS.US,D,20201020,000000,7021.42,7021.42,7021.42,7021.42,3.0058000000000002,0
DFNS.US,D,20201021,000000,7000,7000,7000,7000,15.563799999999999,0
DFNS.US,D,20201022,000000,6992.86,6992.86,6985.71,6985.71,1.2362,0
DFNS.US,D,20201023,000000,7000,7000,7000,7000,1.449,0
DFNS.US,D,20201026,000000,7000,7000,6985.71,6995.29,25.7768,0
DFNS.US,D,20201028,000000,6985.71,6985.71,6985.71,6985.71,0.2912,0
DFNS.US,D,20201029,000000,6985.71,6985.71,6985.71,6985.71,1.5428,0
DFNS.US,D,20201030,000000,6985.71,7027.08,6985.71,6985.71,35.49,0
DFNS.US,D,20201102,000000,6978.58,6978.58,6964.29,6964.29,68.06660000000001,0
DFNS.US,D,20201110,000000,7007.14,7007.14,6995.58,6995.58,7.1414,0
DFNS.US,D,20201116,000000,6992.86,7000,6985.71,6992.86,9.5592,0
DFNS.US,D,20201117,000000,7000,7000,7000,7000,0.5726,0
DFNS.US,D,20201118,000000,7007.14,7007.14,7007.14,7007.14,0.14,0
DFNS.US,D,20201119,000000,7000,7014.29,7000,7014.29,8.4,0
DFNS.US,D,20201120,000000,7028.58,7028.58,7014.29,7014.29,7.140000000000001,0
DFNS.US,D,20201123,000000,7017.14,7021.42,7014.29,7021.42,2.3814,0
DFNS.US,D,20201124,000000,7014.29,7021.42,7007.14,7007.14,321.79,0
DFNS.US,D,20201125,000000,7042.86,7042.86,7007.14,7007.14,2.324,0
