<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRCT.US,D,20220214,000000,726,800.8,585.2,587.4,10854.42273812715,0
DRCT.US,D,20220215,000000,572,583,534.6,550,2697.6909117886003,0
DRCT.US,D,20220216,000000,576.4,591.292,519.2,532.4,5429.54091452045,0
DRCT.US,D,20220217,000000,519.2,523.6,442.2,457.6,3573.7500035737503,0
DRCT.US,D,20220218,000000,464.2,770,423.5,437.8,24332.2091152413,0
DRCT.US,D,20220222,000000,418,433.4,396,404.8,1594.7181834129,0
DRCT.US,D,20220223,000000,404.8,415.8,365.002,376.2,1196.7909102877002,0
DRCT.US,D,20220224,000000,332.2,367.4,310.2,352,1762.1136381257502,0
DRCT.US,D,20220225,000000,354.2,371.8,334.4,341,614.86818243305,0
DRCT.US,D,20220228,000000,325.6,356.4,323.422,356.4,968.4500009684501,0
DRCT.US,D,20220301,000000,359.7,359.7,332.2,334.4,825.5818190074001,0
DRCT.US,D,20220302,000000,332.2,345.4,330,338.8,522.090909613,0
DRCT.US,D,20220303,000000,343.2,343.2,314.6,319,500.64545504610004,0
DRCT.US,D,20220304,000000,308,319,301.4,319,364.3818185462,0
DRCT.US,D,20220307,000000,314.6,319.726,277.2,286,753.5636371172001,0
DRCT.US,D,20220308,000000,277.2,286,259.6,264,2637.96818445615,0
DRCT.US,D,20220309,000000,517,803,409.2,547.8,480813.21866263147,0
DRCT.US,D,20220310,000000,477.4,550,437.8,525.8,38382.2000383822,0
DRCT.US,D,20220311,000000,506,651.2,499.42,598.4,23434.690932525602,0
DRCT.US,D,20220314,000000,598.4,737,553.036,627,36022.709126931804,0
DRCT.US,D,20220315,000000,627,682,572,591.8,8388.322735661051,0
DRCT.US,D,20220316,000000,569.8,578.268,457.6,481.8,5053.5181868717,0
DRCT.US,D,20220317,000000,462,519.2,462,473,2408.2000024082004,0
DRCT.US,D,20220318,000000,462,479.6,424.6,433.4,3413.5590943226503,0
DRCT.US,D,20220321,000000,429,448.8,389.422,426.8,2612.1409117030503,0
DRCT.US,D,20220322,000000,424.6,429,407.22,426.8,995.8954555413501,0
DRCT.US,D,20220323,000000,413.6,481.8,413.6,466.4,2496.909093406,0
DRCT.US,D,20220324,000000,457.6,545.6,453.2,534.6,2445.5636388092003,0
DRCT.US,D,20220325,000000,530.2,600.6,506,587.4,2100.7363657371,0
DRCT.US,D,20220328,000000,587.4,591.8,506,506,2760.25000276025,0
DRCT.US,D,20220329,000000,512.6,578.6,512.6,567.6,24816.295479361754,0
DRCT.US,D,20220330,000000,1036.2,1207.8,902,910.8,582168.9960367145,0
DRCT.US,D,20220331,000000,849.2,990,803,959.2,27231.2091181403,0
DRCT.US,D,20220401,000000,941.6,1045,882.2,932.8,18213.56820003175,0
DRCT.US,D,20220404,000000,919.6,941.6,770,807.4,5009.34091410025,0
DRCT.US,D,20220405,000000,792,836,697.664,706.2,5139.4454596849,0
DRCT.US,D,20220406,000000,706.2,743.6,633.6,655.6,3285.0181851032003,0
DRCT.US,D,20220407,000000,642.4,701.8,629.2,651.2,3206.1181850243,0
DRCT.US,D,20220408,000000,653.4,666.6,622.6,629.2,1622.4000016224002,0
DRCT.US,D,20220411,000000,631.4,668.8,611.6,611.6,1260.46818307865,0
DRCT.US,D,20220412,000000,616,638,565.4,580.8,1107.55000110755,0
DRCT.US,D,20220413,000000,613.8,629.2,567.6,574.2,724.5727279973,0
DRCT.US,D,20220414,000000,598.4,598.4,532.4,539,1065.0454556105,0
DRCT.US,D,20220418,000000,536.8,556.6,488.4,497.2,1369.8772740971501,0
DRCT.US,D,20220419,000000,506,523.6,495,501.6,847.0590917561501,0
DRCT.US,D,20220420,000000,536.8,536.8,512.6,521.4,665.5636370292001,0
DRCT.US,D,20220421,000000,521.4,528,492.8,497.2,504.75909141385006,0
DRCT.US,D,20220422,000000,497.2,521.4,484,486.2,503.99545504945,0
DRCT.US,D,20220425,000000,492.8,506,479.6,497.2,283.04090937395,0
DRCT.US,D,20220426,000000,497.2,506,479.6,484,362.36363672600004,0
DRCT.US,D,20220427,000000,475.2,569.8,473,556.6,1613.6863652500501,0
DRCT.US,D,20220428,000000,589.6,589.6,528,545.6,379.0272731063,0
DRCT.US,D,20220429,000000,572,572,479.6,492.8,714.9454552604001,0
DRCT.US,D,20220502,000000,486.2,521.024,486.2,497.2,246.6090911557,0
DRCT.US,D,20220503,000000,497.2,569.8,497.2,554.4,1220.61363758425,0
DRCT.US,D,20220504,000000,556.6,613.8,550,568.7,1616.5636379802002,0
DRCT.US,D,20220505,000000,563.2,579.26,516.888,530.2,697.1181825153001,0
DRCT.US,D,20220506,000000,517,545.6,495,506,594.89545514035,0
DRCT.US,D,20220509,000000,495,523.6,495,495,623.18636425955,0
DRCT.US,D,20220510,000000,495,512.6,435.6,462,1199.4636375631,0
DRCT.US,D,20220511,000000,468.6,473,446.6,457.6,344.89545489035004,0
DRCT.US,D,20220512,000000,448.8,547.8,442.2,539,1171.6272738989,0
DRCT.US,D,20220513,000000,451,506,420.2,440,2237.06818405525,0
DRCT.US,D,20220516,000000,435.6,448.272,398.178,424.6,668.63181885045,0
DRCT.US,D,20220517,000000,407,415.8,338.8,391.6,838.89545538435,0
DRCT.US,D,20220518,000000,424.6,424.6,371.8,371.8,348.3909094393,0
DRCT.US,D,20220519,000000,399.52,399.52,354.2,371.8,230.21363659385003,0
DRCT.US,D,20220520,000000,378.4,382.8,352,354.2,262.77727299005005,0
DRCT.US,D,20220523,000000,365.2,369.6,336.6,369.6,247.31818206550003,0
DRCT.US,D,20220524,000000,358.6,363,338.8,345.4,624.2409097151501,0
DRCT.US,D,20220525,000000,347.6,376.2,343.2,347.6,146.50454560105,0
DRCT.US,D,20220526,000000,341,365.2,341,360.8,68.12272734085,0
DRCT.US,D,20220527,000000,341,356.4,341,356.4,344.86818216305005,0
DRCT.US,D,20220531,000000,350.9,411.4,349.8,385,444.45454589900004,0
DRCT.US,D,20220601,000000,387.2,424.6,387.2,398.2,597.0363642334,0
DRCT.US,D,20220602,000000,387.2,402.6,352,374,914.1272736414,0
DRCT.US,D,20220603,000000,400.4,407,374,402.6,425.74090951665005,0
DRCT.US,D,20220606,000000,400.4,407,378.4,393.8,359.52727308680005,0
DRCT.US,D,20220607,000000,393.8,393.8,347.6,356.4,757.7636371214,0
DRCT.US,D,20220608,000000,354.904,364.936,345.4,352,291.5727275643,0
DRCT.US,D,20220609,000000,352,371.118,332.2,356.378,328.27272760100004,0
DRCT.US,D,20220610,000000,336.6,365.2,321.222,349.8,745.1954552906501,0
DRCT.US,D,20220613,000000,330,350.042,314.6,321.2,529.1727278019,0
DRCT.US,D,20220614,000000,332.2,333.3,303.6,310.2,455.85909136495,0
DRCT.US,D,20220615,000000,312.4,320.584,292.6,308,171.95000017195002,0
DRCT.US,D,20220616,000000,288.2,308,284.9,297,168.1454547136,0
DRCT.US,D,20220617,000000,305.8,311.806,284.636,303.6,279.4454548249,0
DRCT.US,D,20220621,000000,299.2,316.778,297,297,315.05000031505,0
DRCT.US,D,20220622,000000,321.2,321.2,272.8,277.2,574.7090914838001,0
DRCT.US,D,20220623,000000,290.4,292.468,277.2,281.6,178.45909108755,0
DRCT.US,D,20220624,000000,288.2,301.4,286,292.6,290.46818210865,0
DRCT.US,D,20220627,000000,286,297.264,281.6,283.8,316.89090940780005,0
DRCT.US,D,20220628,000000,279.4,290.4,277.2,279.4,160.62272743335,0
DRCT.US,D,20220629,000000,275,275,255.2,266.2,197.60000019760002,0
DRCT.US,D,20220630,000000,268.4,286,264.418,281.6,217.52272749025002,0
DRCT.US,D,20220701,000000,288.178,288.2,268.422,281.6,137.55000013755,0
DRCT.US,D,20220705,000000,259.6,292.6,259.6,292.6,232.98636386935001,0
DRCT.US,D,20220706,000000,299.2,299.2,283.206,288.2,131.81363649545,0
DRCT.US,D,20220707,000000,292.6,316.778,289.3,301.4,248.48636388485002,0
DRCT.US,D,20220708,000000,301.4,313.676,294.8,299.2,88.21363645185001,0
DRCT.US,D,20220711,000000,297,314.6,292.6,292.6,63.404545517950005,0
DRCT.US,D,20220712,000000,312.4,316.8,295.284,314.6,516.38636415275,0
DRCT.US,D,20220713,000000,316.8,349.8,303.622,339.9,766.9681825851501,0
DRCT.US,D,20220714,000000,347.6,349.8,316.8,338.8,213.22727294050003,0
