<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDHL.US,D,20250417,000000,73.6,79.84,67.2,67.2,304978,0
EDHL.US,D,20250421,000000,64,69.8304,60.32,64.32,73509.9375,0
EDHL.US,D,20250422,000000,60.8,66.5936,56.688,62.88,35190.375,0
EDHL.US,D,20250423,000000,61.12,64.16,60.8,62.4,6705,0
EDHL.US,D,20250424,000000,60.8,64,60.8,61.12,8467.375,0
EDHL.US,D,20250425,000000,60.8,63.4368,56.64,57.44,11867.75,0
EDHL.US,D,20250428,000000,58.08,68,56.08,67.84,26603.9375,0
EDHL.US,D,20250429,000000,64.3248,67.2,61.44,61.44,11103.5625,0
EDHL.US,D,20250430,000000,61.44,62.88,58.56,62.88,8749.9375,0
EDHL.US,D,20250501,000000,61.4672,63.04,60,61.84,2181.5625,0
EDHL.US,D,20250502,000000,60.8,63.5264,60.48,63.04,3389.9375,0
EDHL.US,D,20250505,000000,62.88,62.88,61.12,61.6,1043.5,0
EDHL.US,D,20250506,000000,61.76,63.68,60.8,62.88,4506.9375,0
EDHL.US,D,20250507,000000,63.2,64.96,62.4,63.12,6215.0625,0
EDHL.US,D,20250508,000000,63.7424,65.44,62.88,64.48,3846.5625,0
EDHL.US,D,20250509,000000,63.68,66,62.9552,65.12,2318.1875,0
EDHL.US,D,20250512,000000,64.32,66.72,63.52,63.68,2391.125,0
EDHL.US,D,20250513,000000,64,64,60.5696,62.72,3457.9375,0
EDHL.US,D,20250514,000000,63.2,63.9872,62.4,63.68,2228.3125,0
EDHL.US,D,20250515,000000,62.72,68.64,62.72,66.88,14812.125,0
EDHL.US,D,20250516,000000,64.32,67.36,63.84,65.28,4966.6875,0
EDHL.US,D,20250519,000000,64.64,66.4,61.44,65.28,5982.25,0
EDHL.US,D,20250520,000000,63.68,68.0576,62.64,67.04,3894.75,0
EDHL.US,D,20250521,000000,67.2,68.4608,63.84,65.6,749.25,0
EDHL.US,D,20250522,000000,65.12,65.44,63.8432,65.44,635.75,0
EDHL.US,D,20250523,000000,61.6,68,61.6,67.04,1540.375,0
EDHL.US,D,20250527,000000,65.6,65.6,64.96,65.28,277.25,0
EDHL.US,D,20250528,000000,65.6,68.32,65.3936,67.84,2937.4375,0
EDHL.US,D,20250529,000000,67.2,72,67.2,70.4,1083.5,0
EDHL.US,D,20250530,000000,71.44,71.44,70.08,70.24,515.75,0
EDHL.US,D,20250602,000000,69.28,77.6,67.68,75.68,13343.8125,0
EDHL.US,D,20250603,000000,74.56,76.8,70.4,76.8,9225.875,0
EDHL.US,D,20250604,000000,76.8,80,68.96,72.64,5067.375,0
EDHL.US,D,20250605,000000,72.64,73.6,68.8608,72.48,902.4375,0
EDHL.US,D,20250606,000000,69.44,74.56,69.12,71.2,330.1875,0
EDHL.US,D,20250609,000000,66.664,72.8,66.664,69.28,2738.125,0
EDHL.US,D,20250610,000000,68,78.72,66.56,77.12,45955.5625,0
EDHL.US,D,20250611,000000,76.8,84.8,69.44,81.6,58618.25,0
EDHL.US,D,20250612,000000,81.6,81.6,77.9232,80,9241.875,0
EDHL.US,D,20250613,000000,79.68,83.04,77.7616,82.56,5795.125,0
EDHL.US,D,20250616,000000,82.08,83.2,80.32,80.48,5890.8125,0
EDHL.US,D,20250617,000000,78.4,83.992,75.2,82.88,41957.125,0
EDHL.US,D,20250618,000000,82.88,96.96,81.6032,94.56,115016.8125,0
EDHL.US,D,20250620,000000,94.56,100,92,99.52,26970.3125,0
EDHL.US,D,20250623,000000,97.12,101.6,92.8,94.08,124338.6875,0
EDHL.US,D,20250624,000000,94.88,97.28,91.2,96.64,66613.8125,0
EDHL.US,D,20250625,000000,97.12,97.12,76,92.64,132012.25,0
EDHL.US,D,20250626,000000,93.12,94.88,83.2,93.76,78528.875,0
EDHL.US,D,20250627,000000,100.478,106.24,96,96.48,190941.5,0
EDHL.US,D,20250630,000000,94.4,106.56,93.088,95.84,41918.3125,0
EDHL.US,D,20250701,000000,95.36,104.624,93.28,98.24,58804.4375,0
EDHL.US,D,20250702,000000,99.52,100.96,92.96,96.48,134253.625,0
EDHL.US,D,20250703,000000,99.52,101.44,93.6,98.24,244788.3125,0
EDHL.US,D,20250707,000000,98.4,110.08,95.36,97.28,343547.1875,0
EDHL.US,D,20250708,000000,97.76,108.48,97.6,100.32,575052.5625,0
EDHL.US,D,20250709,000000,98.88,100.16,96.96,97.92,161479.5,0
EDHL.US,D,20250710,000000,96.8,102.24,90.56,91.52,268288.75,0
EDHL.US,D,20250711,000000,89.6,100.64,65.28,68.8,528691.75,0
EDHL.US,D,20250714,000000,16.8,16.8,10.72,14.6064,1097787,0
EDHL.US,D,20250715,000000,13.9176,13.9184,11.2448,11.648,220148.5625,0
EDHL.US,D,20250716,000000,11.52,11.6144,9.5984,10.3568,264813.875,0
EDHL.US,D,20250717,000000,9.6656,10.952,9.632,10.8,98369.375,0
EDHL.US,D,20250718,000000,10.4016,12.64,10.4,11.92,137128.875,0
EDHL.US,D,20250721,000000,11.92,12.784,11.76,12.0016,79155.4375,0
EDHL.US,D,20250722,000000,11.968,12,11.52,11.688,28756.8125,0
EDHL.US,D,20250723,000000,11.68,12.32,11.52,11.52,25116.1875,0
EDHL.US,D,20250724,000000,11.84,12.64,11.6896,12.6208,40346.5,0
EDHL.US,D,20250725,000000,12.752,12.752,12,12.0064,18390.625,0
