<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURK.US,D,20240913,000000,10.03,10.04,10.03,10.03,128723,0
EURK.US,D,20240916,000000,10.025,10.04,10.025,10.03,167691,0
EURK.US,D,20240917,000000,10.03,10.04,10.03,10.03,242312,0
EURK.US,D,20240918,000000,10.03,10.035,10.03,10.035,3445,0
EURK.US,D,20240919,000000,10.04,10.04,10.03,10.03,531172,0
EURK.US,D,20240920,000000,10.035,10.04,10.03,10.035,213136,0
EURK.US,D,20240923,000000,10.04,10.05,10.04,10.04,902808,0
EURK.US,D,20240924,000000,10.04,10.05,10.04,10.05,619921,0
EURK.US,D,20240925,000000,10.04,10.04,10.04,10.04,906,0
EURK.US,D,20240927,000000,10.04,10.04,10.04,10.04,2627,0
EURK.US,D,20240930,000000,10.06,10.06,10.06,10.06,698,0
EURK.US,D,20241001,000000,10.05,10.065,10.04,10.05,122206,0
EURK.US,D,20241002,000000,10.07,10.07,10.07,10.07,1396,0
EURK.US,D,20241008,000000,10.0652,10.0652,10.0652,10.0652,1373,0
EURK.US,D,20241011,000000,10.06,10.06,10.06,10.06,19472,0
EURK.US,D,20241014,000000,10.069,10.07,10.06,10.07,6623,0
EURK.US,D,20241015,000000,10.07,10.07,10.0699,10.0699,306,0
EURK.US,D,20241016,000000,10.06,10.09,10.06,10.075,4323,0
EURK.US,D,20241021,000000,10.0785,10.09,10.07,10.09,13127,0
EURK.US,D,20241023,000000,10.0732,10.0732,10.0732,10.0732,2500,0
EURK.US,D,20241024,000000,10.075301,10.09,10.07,10.08,25249,0
EURK.US,D,20241104,000000,10.1,10.1,10.1,10.1,150000,0
EURK.US,D,20241108,000000,10.11,10.11,10.1,10.1,18030,0
EURK.US,D,20241115,000000,10.12,10.13,10.11,10.1232,17537,0
EURK.US,D,20241118,000000,10.13,10.13,10.1199,10.1202,154632,0
EURK.US,D,20241120,000000,10.12,10.12,10.12,10.12,2306,0
EURK.US,D,20241121,000000,10.12,10.13,10.12,10.12,12136,0
EURK.US,D,20241122,000000,10.12,10.12,10.12,10.12,21509,0
EURK.US,D,20241125,000000,10.11,10.13,10.11,10.11,11664,0
EURK.US,D,20241126,000000,10.12,10.12,10.12,10.12,2398,0
EURK.US,D,20241127,000000,10.12,10.12,10.12,10.12,3119,0
EURK.US,D,20241129,000000,10.12,10.13,10.12,10.12,18501,0
EURK.US,D,20241202,000000,10.13,10.13,10.13,10.13,300103,0
EURK.US,D,20241203,000000,10.13,10.135,10.13,10.13,8000,0
EURK.US,D,20241204,000000,10.13,10.1328,10.13,10.13,88095,0
EURK.US,D,20241205,000000,10.13,10.145,10.13,10.14,162104,0
EURK.US,D,20241206,000000,10.13,10.13,10.13,10.13,216,0
EURK.US,D,20241209,000000,10.14,10.145,10.14,10.14,48002,0
EURK.US,D,20241210,000000,10.13,10.13,10.13,10.13,216,0
EURK.US,D,20241211,000000,10.14,10.15,10.14,10.14,89485,0
EURK.US,D,20241212,000000,10.14,10.14,10.14,10.14,30300,0
EURK.US,D,20241213,000000,10.155,10.155,10.14,10.155,84000,0
EURK.US,D,20241216,000000,10.15,10.16,10.15,10.15,793,0
EURK.US,D,20241218,000000,10.15,10.15,10.145,10.15,13513,0
EURK.US,D,20241219,000000,10.15,10.16,10.14,10.14,46833,0
EURK.US,D,20241220,000000,10.14,10.14,10.14,10.14,228,0
EURK.US,D,20241223,000000,10.16,10.16,10.15,10.15,150000,0
EURK.US,D,20241224,000000,10.15,10.15,10.15,10.15,2500,0
EURK.US,D,20241230,000000,10.15,10.15,10.15,10.15,8202,0
EURK.US,D,20250102,000000,10.16,10.16,10.15,10.16,110600,0
EURK.US,D,20250103,000000,10.16,10.16,10.16,10.16,50300,0
EURK.US,D,20250107,000000,10.16,10.1644,10.16,10.1644,2234,0
EURK.US,D,20250110,000000,10.1684,10.1684,10.16,10.16,3032,0
EURK.US,D,20250113,000000,10.16,10.16,10.16,10.16,103,0
EURK.US,D,20250115,000000,10.175,10.175,10.15,10.17,527,0
EURK.US,D,20250116,000000,10.17,10.17,10.17,10.17,101,0
EURK.US,D,20250117,000000,10.18,10.18,10.17,10.17,3041,0
EURK.US,D,20250123,000000,10.197,10.197,10.18,10.18,8933,0
EURK.US,D,20250124,000000,10.18,10.18,10.18,10.18,119,0
EURK.US,D,20250127,000000,10.18,10.18,10.18,10.18,105,0
EURK.US,D,20250128,000000,10.18,10.18,10.18,10.18,180,0
EURK.US,D,20250131,000000,10.19,10.19,10.19,10.19,1318,0
EURK.US,D,20250203,000000,10.19,10.1962,10.19,10.19,735,0
EURK.US,D,20250204,000000,10.2,10.2,10.195,10.2,1967,0
EURK.US,D,20250205,000000,10.2,10.2,10.2,10.2,2153,0
EURK.US,D,20250210,000000,10.2,10.2,10.2,10.2,1907,0
EURK.US,D,20250211,000000,10.21,10.21,10.2,10.21,317600,0
EURK.US,D,20250224,000000,10.25,10.25,10.25,10.25,100001,0
EURK.US,D,20250227,000000,10.2465,10.2465,10.2465,10.2465,409,0
EURK.US,D,20250303,000000,10.25,10.25,10.25,10.25,1007,0
EURK.US,D,20250304,000000,10.25,10.25,10.25,10.25,265100,0
EURK.US,D,20250307,000000,10.27,10.27,10.27,10.27,940,0
EURK.US,D,20250318,000000,10.28,10.28,10.28,10.28,529,0
EURK.US,D,20250325,000000,10.31,10.31,10.31,10.31,297,0
EURK.US,D,20250326,000000,10.33,10.33,10.33,10.33,307,0
EURK.US,D,20250328,000000,10.28,10.28,10.28,10.28,100,0
EURK.US,D,20250401,000000,10.32,10.32,10.32,10.32,101101,0
EURK.US,D,20250402,000000,10.32,10.32,10.315,10.32,22587,0
EURK.US,D,20250403,000000,10.31,10.33,10.3,10.33,1607,0
EURK.US,D,20250404,000000,10.33,10.33,10.32,10.32,40141,0
EURK.US,D,20250407,000000,10.32,10.33,10.31,10.33,1495,0
EURK.US,D,20250408,000000,10.32,10.32,10.32,10.32,60152,0
EURK.US,D,20250409,000000,10.31,10.31,10.31,10.31,446,0
EURK.US,D,20250411,000000,10.31,10.33,10.31,10.33,3174,0
EURK.US,D,20250415,000000,10.37,10.37,10.335,10.34,2414,0
EURK.US,D,20250416,000000,10.33,10.35,10.33,10.35,1827,0
EURK.US,D,20250417,000000,10.33,10.33,10.33,10.33,808,0
EURK.US,D,20250421,000000,10.35,10.36,10.35,10.36,606,0
EURK.US,D,20250424,000000,10.3496,10.35,10.3496,10.35,1164,0
EURK.US,D,20250425,000000,10.34,10.36,10.34,10.36,13226,0
EURK.US,D,20250428,000000,10.33,10.33,10.33,10.33,607,0
EURK.US,D,20250429,000000,10.33,10.3301,10.33,10.3301,407,0
EURK.US,D,20250430,000000,10.33,10.33,10.33,10.33,804,0
EURK.US,D,20250501,000000,10.36,10.36,10.36,10.36,7200,0
EURK.US,D,20250502,000000,10.37,10.4,10.37,10.4,767,0
EURK.US,D,20250507,000000,10.41,10.41,10.41,10.41,196,0
EURK.US,D,20250513,000000,10.36,10.36,10.36,10.36,415392,0
EURK.US,D,20250515,000000,10.38,10.38,10.36,10.36,16493,0
EURK.US,D,20250521,000000,10.36,10.36,10.36,10.36,189,0
EURK.US,D,20250523,000000,10.38,10.38,10.38,10.38,150087,0
EURK.US,D,20250527,000000,10.405,10.405,10.405,10.405,801,0
EURK.US,D,20250528,000000,10.403,10.403,10.403,10.403,103,0
EURK.US,D,20250529,000000,10.36,10.37,10.34,10.37,134308,0
EURK.US,D,20250530,000000,10.38,10.38,10.38,10.38,42040,0
EURK.US,D,20250605,000000,10.3809,10.39,10.3809,10.39,491,0
EURK.US,D,20250606,000000,10.395,10.4,10.395,10.4,8611,0
EURK.US,D,20250610,000000,10.38,10.38,10.38,10.38,26961,0
EURK.US,D,20250611,000000,10.39,10.39,10.38,10.38,727,0
EURK.US,D,20250613,000000,10.39,10.39,10.39,10.39,3105,0
EURK.US,D,20250616,000000,10.39,10.39,10.37,10.39,17828,0
EURK.US,D,20250618,000000,10.53,10.53,10.53,10.53,612,0
EURK.US,D,20250620,000000,10.37,10.37,10.35,10.36,104116,0
EURK.US,D,20250623,000000,10.3,10.3,10.3,10.3,492,0
EURK.US,D,20250624,000000,10.31,10.47,10.31,10.33,789,0
EURK.US,D,20250625,000000,10.48,10.48,10.48,10.48,501,0
EURK.US,D,20250626,000000,10.41,10.45,10.41,10.4499,3486,0
EURK.US,D,20250627,000000,10.425,10.45,10.425,10.425,737,0
EURK.US,D,20250702,000000,10.5,10.62,10.5,10.53,159287,0
EURK.US,D,20250703,000000,10.57,10.57,10.52,10.55,44446,0
EURK.US,D,20250707,000000,10.54,10.56,10.54,10.54,93119,0
EURK.US,D,20250708,000000,10.57,10.57,10.54,10.56,124271,0
EURK.US,D,20250710,000000,10.56,10.56,10.56,10.56,6622,0
EURK.US,D,20250714,000000,10.7,10.7,10.54,10.62,851,0
EURK.US,D,20250716,000000,10.83,10.83,10.62,10.62,49347,0
EURK.US,D,20250717,000000,10.675,10.675,10.65,10.65,1384,0
EURK.US,D,20250718,000000,10.6,10.6,10.59,10.59,1400,0
EURK.US,D,20250721,000000,10.59,10.62,10.59,10.62,2166,0
EURK.US,D,20250723,000000,10.57,10.57,10.57,10.57,220,0
EURK.US,D,20250724,000000,10.59,10.59,10.59,10.59,549,0
EURK.US,D,20250730,000000,10.59,10.59,10.59,10.59,461,0
EURK.US,D,20250801,000000,10.65,10.65,10.65,10.65,105,0
EURK.US,D,20250805,000000,10.6,10.63,10.6,10.63,2811,0
EURK.US,D,20250811,000000,10.63,10.63,10.63,10.63,101,0
EURK.US,D,20250813,000000,10.6,10.6,10.6,10.6,350,0
EURK.US,D,20250815,000000,10.63,10.6555,10.63,10.65,4691,0
EURK.US,D,20250825,000000,10.65,10.65,10.65,10.65,1905,0
EURK.US,D,20250826,000000,10.65,10.65,10.65,10.65,1880,0
EURK.US,D,20250827,000000,10.65,10.65,10.65,10.65,2321,0
EURK.US,D,20250828,000000,10.65,10.65,10.65,10.65,3428,0
EURK.US,D,20250903,000000,10.65,10.65,10.65,10.65,245,0
EURK.US,D,20250905,000000,10.68,10.69,10.68,10.68,688,0
EURK.US,D,20250909,000000,10.725,10.725,10.725,10.725,119,0
EURK.US,D,20250922,000000,10.68,10.68,10.68,10.68,102,0
EURK.US,D,20250925,000000,10.7,10.7287,10.7,10.7,51590,0
EURK.US,D,20250926,000000,10.7265,10.7265,10.7,10.7,1600,0
EURK.US,D,20250929,000000,10.7519,10.7519,10.7519,10.7519,264,0
EURK.US,D,20250930,000000,10.69,10.691,10.69,10.691,502,0
EURK.US,D,20251001,000000,10.691,10.7,10.691,10.7,1243,0
EURK.US,D,20251002,000000,10.7,10.7,10.7,10.7,496,0
EURK.US,D,20251003,000000,10.7,10.7,10.7,10.7,761,0
EURK.US,D,20251006,000000,10.7,10.7,10.7,10.7,499,0
EURK.US,D,20251007,000000,10.72,10.72,10.7,10.7,1743,0
EURK.US,D,20251008,000000,10.71,10.72,10.71,10.72,7509,0
EURK.US,D,20251009,000000,10.755,10.755,10.74,10.75,1675,0
EURK.US,D,20251010,000000,10.71,10.71,10.71,10.71,562,0
EURK.US,D,20251014,000000,10.74,10.8,10.74,10.8,1634,0
EURK.US,D,20251016,000000,10.8,10.8,10.8,10.8,3099,0
EURK.US,D,20251021,000000,10.82,10.82,10.82,10.82,108,0
EURK.US,D,20251103,000000,10.78,10.8,10.77,10.8,25286,0
EURK.US,D,20251104,000000,10.78,10.8,10.78,10.8,1821,0
EURK.US,D,20251106,000000,10.8,10.89,10.8,10.89,1948,0
EURK.US,D,20251107,000000,10.88,10.89,10.88,10.89,6948,0
EURK.US,D,20251111,000000,10.8,10.8,10.8,10.8,1519,0
EURK.US,D,20251113,000000,10.81,10.81,10.81,10.81,5035,0
EURK.US,D,20251114,000000,10.843,10.843,10.843,10.843,131,0
EURK.US,D,20251121,000000,10.866,10.866,10.866,10.866,114,0
EURK.US,D,20251126,000000,10.86,10.86,10.86,10.86,111,0
EURK.US,D,20251201,000000,10.87,10.87,10.85,10.85,11198,0
EURK.US,D,20251203,000000,10.87,10.87,10.87,10.87,6577,0
EURK.US,D,20251204,000000,10.87,10.87,10.87,10.87,8005,0
EURK.US,D,20251208,000000,10.89,10.89,10.89,10.89,234,0
EURK.US,D,20251209,000000,10.87,10.89,10.87,10.89,8180,0
EURK.US,D,20251210,000000,10.95,11.2,10.91,11,9307,0
EURK.US,D,20251215,000000,11,11,10.95,10.95,1718,0
EURK.US,D,20251216,000000,10.91,10.91,10.9,10.9,1553,0
EURK.US,D,20251230,000000,10.92,10.92,10.92,10.92,140,0
EURK.US,D,20260115,000000,11.17,11.17,11.15,11.17,6621,0
EURK.US,D,20260120,000000,11.12,11.15,11.1,11.12,2236,0
EURK.US,D,20260121,000000,11.13,11.13,11.13,11.13,491,0
EURK.US,D,20260122,000000,11.12,11.14,11.12,11.14,3038,0
EURK.US,D,20260123,000000,11.15,11.15,11.15,11.15,3715,0
EURK.US,D,20260129,000000,11.17,11.17,11.17,11.17,2102,0
EURK.US,D,20260130,000000,11.17,11.17,11.17,11.17,2015,0
EURK.US,D,20260202,000000,11.02,11.17,11.02,11.17,4072,0
EURK.US,D,20260203,000000,11.17,11.17,11.17,11.17,2053,0
EURK.US,D,20260205,000000,11.2,11.28,11.2,11.28,5040,0
EURK.US,D,20260206,000000,11.09,11.09,11.09,11.09,100,0
EURK.US,D,20260209,000000,11.08,11.08,11.08,11.08,106,0
EURK.US,D,20260211,000000,11.1855,11.1855,11.1855,11.1855,100,0
EURK.US,D,20260212,000000,11.18,11.2,11.12,11.2,1922,0
EURK.US,D,20260213,000000,11.2,11.21,11.2,11.2,2008,0
EURK.US,D,20260217,000000,11.19,11.21,11.19,11.2,2052,0
EURK.US,D,20260218,000000,11.2,11.2,11.2,11.2,2002,0
EURK.US,D,20260220,000000,11.21,11.21,11.2,11.2,1918,0
EURK.US,D,20260223,000000,11.2,11.2,11.2,11.2,839,0
EURK.US,D,20260226,000000,11.21,11.21,11.1,11.1,10000,0
EURK.US,D,20260304,000000,11.15,11.15,11.15,11.15,175,0
EURK.US,D,20260305,000000,11.21,11.21,11.21,11.21,175,0
EURK.US,D,20260309,000000,11.25,11.25,11.25,11.25,394,0
EURK.US,D,20260310,000000,11.25,11.25,11.25,11.25,12,0
EURK.US,D,20260311,000000,11.25,11.26,11.25,11.25,5803,0
EURK.US,D,20260312,000000,11.26,11.26,11.25,11.25,3006,0
EURK.US,D,20260313,000000,11.26,11.26,11.25,11.25,5000,0
EURK.US,D,20260317,000000,11.16,11.16,11.16,11.16,1847,0
EURK.US,D,20260323,000000,11.17,11.17,11.16,11.16,7831,0
EURK.US,D,20260324,000000,11.23,11.23,11.23,11.23,125029,0
EURK.US,D,20260326,000000,11.3,11.3,11.3,11.3,263,0
EURK.US,D,20260327,000000,11.29,11.3,11.29,11.3,2006,0
EURK.US,D,20260330,000000,11.29,11.34,11.29,11.34,6224,0
EURK.US,D,20260331,000000,11.34,11.34,11.19,11.34,7257,0
EURK.US,D,20260401,000000,11.35,11.35,11.34,11.35,1842,0
EURK.US,D,20260402,000000,11.34,11.36,11.34,11.36,2065,0
EURK.US,D,20260407,000000,11.36,11.36,11.3,11.3,2790,0
EURK.US,D,20260408,000000,11.31,11.31,11.3,11.3,5114,0
EURK.US,D,20260414,000000,11.31,11.31,11.27,11.3,1505,0
EURK.US,D,20260421,000000,11.28,11.28,11.28,11.28,200,0
EURK.US,D,20260504,000000,11.325,11.36,11.31,11.36,4009,0
EURK.US,D,20260507,000000,11.36,11.36,11.36,11.36,395,0
EURK.US,D,20260508,000000,11.37,11.37,11.37,11.37,140,0
EURK.US,D,20260511,000000,11.38,11.4,11.32,11.32,6301,0
EURK.US,D,20260513,000000,11.95,12.66,11.3201,11.51,6861,0
EURK.US,D,20260514,000000,11.4,11.52,11.4,11.52,2008,0
EURK.US,D,20260515,000000,11.4,11.5,11.32,11.5,2617,0
EURK.US,D,20260518,000000,11.5,11.5,11.5,11.5,2041,0
EURK.US,D,20260519,000000,11.5,11.5,11.5,11.5,2001,0
EURK.US,D,20260520,000000,11.5,11.5,11.5,11.5,2000,0
EURK.US,D,20260521,000000,11.5,11.5,11.5,11.5,2000,0
EURK.US,D,20260602,000000,11.4,11.4,11.4,11.4,270,0
EURK.US,D,20260603,000000,11.4,11.4,11.4,11.4,3802,0
EURK.US,D,20260608,000000,11.4,11.4,11.4,11.4,5002,0
EURK.US,D,20260609,000000,11.44,11.44,11.44,11.44,400,0
EURK.US,D,20260610,000000,11.39,11.5,11.38,11.5,546,0
EURK.US,D,20260612,000000,11.39,11.5,11.39,11.5,912,0
EURK.US,D,20260616,000000,11.44,11.44,11.44,11.44,225947,0
EURK.US,D,20260618,000000,11.44,11.44,11.44,11.44,98351,0
EURK.US,D,20260622,000000,11.4,11.45,11.4,11.4278,24152,0
EURK.US,D,20260623,000000,11.4353,11.44,11.4353,11.44,249063,0
EURK.US,D,20260624,000000,11.43,11.44,11.32,11.44,5865,0
EURK.US,D,20260625,000000,12,12,12,12,122,0
EURK.US,D,20260626,000000,11.06,11.99,11.06,11.99,290,0
EURK.US,D,20260629,000000,11.8001,11.95,11.8001,11.95,1806,0
EURK.US,D,20260630,000000,12.65,14.28,11.36,11.99,13728,0
EURK.US,D,20260701,000000,11.8,12,11.31,11.45,4983,0
EURK.US,D,20260702,000000,12.155,12.155,11.31,11.41,4165,0
EURK.US,D,20260706,000000,11.4,12.25,11.4,11.4301,20738,0
EURK.US,D,20260707,000000,11.53,11.735,11.52,11.735,6507,0
EURK.US,D,20260708,000000,11.58,11.95,11.58,11.875,5796,0
EURK.US,D,20260709,000000,12.93,12.93,12.1,12.1,4390,0
