<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCUV.US,D,20210831,000000,1600,1848,1229.33,1360,5371.27,0
FCUV.US,D,20210901,000000,1658.67,6528,1520,5141.32,152746,0
FCUV.US,D,20210902,000000,5712,6733.32,4410.68,4776,144908,0
FCUV.US,D,20210903,000000,4602.88,4746.4,3464,3722.67,21475.2,0
FCUV.US,D,20210907,000000,3618.67,4650.68,3591.73,3909.33,14315.9,0
FCUV.US,D,20210908,000000,3890.67,4370.68,3602.67,3981.33,7314.85,0
FCUV.US,D,20210909,000000,3981.33,4341.32,3834.69,3949.33,5357.22,0
FCUV.US,D,20210910,000000,4000,4200,3621.33,3864,2881.58,0
FCUV.US,D,20210913,000000,3789.33,3834.67,3477.33,3522.67,1129.31,0
FCUV.US,D,20210914,000000,3520,3586.67,2626.67,2640,1888.3,0
FCUV.US,D,20210915,000000,2736,3424,2613.33,2986.67,11271.6,0
FCUV.US,D,20210916,000000,2858.67,3818.67,2854.67,3400,3791.1,0
FCUV.US,D,20210917,000000,3397.33,3520,3160,3434.67,1696.33,0
FCUV.US,D,20210920,000000,3205.33,3315.55,2986.67,3085.33,876.003,0
FCUV.US,D,20210921,000000,3213.33,3266.67,2906.67,2909.33,1173,0
FCUV.US,D,20210922,000000,2944,3133.31,2858.67,2906.67,647.253,0
FCUV.US,D,20210923,000000,2866.67,2999.71,2808,2861.33,630.903,0
FCUV.US,D,20210924,000000,3042.67,3461.33,2938.67,3016,7784.23,0
FCUV.US,D,20210927,000000,2944,3000,2722.67,2816,1602.77,0
FCUV.US,D,20210928,000000,2816,2916.56,2698.67,2840,1393.51,0
FCUV.US,D,20210929,000000,2736,2773.33,2400,2413.33,1551.5,0
FCUV.US,D,20210930,000000,2453.33,2504,2232,2309.33,1355.88,0
FCUV.US,D,20211001,000000,2309.33,2309.33,2008,2066.67,1923.09,0
FCUV.US,D,20211004,000000,2104,2581.33,2066.67,2261.33,9021.37,0
FCUV.US,D,20211005,000000,2269.33,2346.67,2090.67,2197.33,2480.77,0
FCUV.US,D,20211006,000000,2109.33,2202.67,2048,2106.67,1242.35,0
FCUV.US,D,20211007,000000,2141.33,2173.33,2069.33,2101.33,715.031,0
FCUV.US,D,20211008,000000,2125.33,2224,1962.77,2002.67,908.951,0
FCUV.US,D,20211011,000000,1968,2224,1954.67,2085.33,834.836,0
FCUV.US,D,20211012,000000,2066.67,2450.67,2001.07,2189.33,3382.11,0
FCUV.US,D,20211013,000000,2226.67,2626.67,2202.67,2357.33,4803.54,0
FCUV.US,D,20211014,000000,2309.33,2797.33,2160,2360,4466.67,0
FCUV.US,D,20211015,000000,2298.67,2362.67,2194.77,2240,618.888,0
FCUV.US,D,20211018,000000,2194.67,2266.67,2138.67,2184,626.272,0
FCUV.US,D,20211019,000000,2186.67,2229.33,2141.33,2160,255.562,0
FCUV.US,D,20211020,000000,2186.67,2272,2133.33,2146.67,754.286,0
FCUV.US,D,20211021,000000,2157.33,2207.09,2138.67,2173.33,386.771,0
FCUV.US,D,20211022,000000,2146.67,2154.64,2034.67,2096,815.797,0
FCUV.US,D,20211025,000000,2050.67,2104,2026.67,2053.33,249.562,0
FCUV.US,D,20211026,000000,2048,2086.75,2034.67,2072,561.36,0
FCUV.US,D,20211027,000000,2072,2088,2026.67,2053.33,281.741,0
FCUV.US,D,20211028,000000,2045.33,2056,2013.33,2029.33,117.731,0
