<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FERAR.US,D,20250421,000000,0.2,0.2,0.19,0.19,415000,0
FERAR.US,D,20250422,000000,0.188,0.188,0.18,0.18,300,0
FERAR.US,D,20250423,000000,0.18,0.19,0.17,0.17,851304,0
FERAR.US,D,20250424,000000,0.19,0.1913,0.19,0.1913,70304,0
FERAR.US,D,20250425,000000,0.19,0.19,0.19,0.19,150000,0
FERAR.US,D,20250430,000000,0.18,0.18,0.18,0.18,59000,0
FERAR.US,D,20250502,000000,0.18,0.18,0.18,0.18,1000,0
FERAR.US,D,20250507,000000,0.19,0.19,0.19,0.19,100000,0
FERAR.US,D,20250508,000000,0.18,0.19,0.18,0.19,34792,0
FERAR.US,D,20250514,000000,0.19,0.19,0.19,0.19,100000,0
FERAR.US,D,20250515,000000,0.19,0.19,0.19,0.19,1000,0
FERAR.US,D,20250516,000000,0.2,0.2,0.2,0.2,3000,0
FERAR.US,D,20250519,000000,0.2,0.2,0.2,0.2,250000,0
FERAR.US,D,20250521,000000,0.2,0.2,0.2,0.2,100000,0
FERAR.US,D,20250522,000000,0.21,0.21,0.21,0.21,150000,0
FERAR.US,D,20250527,000000,0.234,0.24,0.215,0.215,97500,0
FERAR.US,D,20250528,000000,0.22,0.2275,0.21,0.2275,405302,0
FERAR.US,D,20250529,000000,0.23,0.23,0.23,0.23,1114,0
FERAR.US,D,20250530,000000,0.226,0.25,0.226,0.25,3602,0
FERAR.US,D,20250603,000000,0.25,0.25,0.21001,0.21001,1742,0
FERAR.US,D,20250604,000000,0.218686,0.24,0.218686,0.2399,16942,0
FERAR.US,D,20250605,000000,0.2399,0.24,0.2283,0.24,4527,0
FERAR.US,D,20250606,000000,0.24,0.2499,0.24,0.2499,42127,0
FERAR.US,D,20250609,000000,0.25,0.25,0.25,0.25,102900,0
FERAR.US,D,20250610,000000,0.2501,0.2772,0.2501,0.2744,28500,0
FERAR.US,D,20250617,000000,0.251,0.251,0.251,0.251,1038,0
FERAR.US,D,20250618,000000,0.2511,0.2511,0.251,0.251,11562,0
FERAR.US,D,20250620,000000,0.2663,0.2709,0.2663,0.2708,15100,0
FERAR.US,D,20250623,000000,0.28,0.285,0.28,0.28,11000,0
FERAR.US,D,20250624,000000,0.27,0.32,0.27,0.27,172900,0
FERAR.US,D,20250625,000000,0.275,0.2785,0.275,0.2775,19424,0
FERAR.US,D,20250626,000000,0.28,0.3,0.28,0.2813,113700,0
FERAR.US,D,20250703,000000,0.2593,0.27,0.2593,0.27,12036,0
FERAR.US,D,20250707,000000,0.2798,0.28,0.2704,0.28,62262,0
FERAR.US,D,20250708,000000,0.2591,0.265,0.2532,0.2616,118093,0
FERAR.US,D,20250711,000000,0.27,0.29,0.27,0.29,8332,0
FERAR.US,D,20250714,000000,0.30999,0.30999,0.2827,0.2828,1106,0
FERAR.US,D,20250715,000000,0.2643,0.28,0.2643,0.28,423,0
FERAR.US,D,20250716,000000,0.2693,0.28,0.26,0.28,557,0
FERAR.US,D,20250717,000000,0.2533,0.28,0.2532,0.28,775,0
FERAR.US,D,20250718,000000,0.26,0.28,0.2532,0.278,3858,0
FERAR.US,D,20250722,000000,0.28,0.28,0.28,0.28,286,0
FERAR.US,D,20250723,000000,0.25321,0.28,0.2532,0.28,1808,0
FERAR.US,D,20250724,000000,0.26,0.28,0.26,0.28,507,0
FERAR.US,D,20250725,000000,0.28,0.28,0.2661,0.2661,2703,0
FERAR.US,D,20250729,000000,0.28,0.28,0.26665,0.26665,65651,0
FERAR.US,D,20250731,000000,0.2647,0.27,0.2532,0.27,636,0
FERAR.US,D,20250801,000000,0.2647,0.2647,0.2647,0.2647,155,0
FERAR.US,D,20250805,000000,0.27,0.27,0.27,0.27,100,0
FERAR.US,D,20250806,000000,0.2603,0.2603,0.2603,0.2603,400,0
FERAR.US,D,20250807,000000,0.28,0.28,0.2677,0.2677,485,0
FERAR.US,D,20250811,000000,0.2533,0.27,0.2532,0.27,10562,0
FERAR.US,D,20250812,000000,0.215,0.215,0.14,0.14,11962,0
FERAR.US,D,20250813,000000,0.25,0.25,0.2,0.225,3622,0
FERAR.US,D,20250814,000000,0.244,0.25,0.235,0.25,21734,0
FERAR.US,D,20250815,000000,0.25,0.28,0.2253,0.2799,41851,0
FERAR.US,D,20250818,000000,0.2299,0.28,0.2299,0.28,5500,0
FERAR.US,D,20250819,000000,0.25,0.25,0.21505,0.25,41454,0
