<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLX.US,D,20241004,000000,16.5,21.9499,16.5,18.01,1378635,0
FLX.US,D,20241007,000000,16.86,17.31,16,16.49,408213,0
FLX.US,D,20241008,000000,14.95,15.3,14.5101,15,218691,0
FLX.US,D,20241009,000000,14.95,14.96,12.52,12.95,204299,0
FLX.US,D,20241010,000000,12.8,14.1999,11.4651,12.4,175181,0
FLX.US,D,20241011,000000,12.53,13.001,11.5,12.45,101897,0
FLX.US,D,20241014,000000,12.76,13.6842,12,12.63,93461,0
FLX.US,D,20241015,000000,12.11,13.49,11.7,12.86,69250,0
FLX.US,D,20241016,000000,13.26,14.79,12.066,14.56,139540,0
FLX.US,D,20241017,000000,14.47,15.49,13.6,14.97,99585,0
FLX.US,D,20241018,000000,15.5475,15.6899,14.28,15.1,33231,0
FLX.US,D,20241021,000000,14.52,14.8,13.52,14.4,139316,0
FLX.US,D,20241022,000000,14.52,14.53,13.83,13.93,60641,0
FLX.US,D,20241023,000000,13.61,14.464,13.5,13.8,87872,0
FLX.US,D,20241024,000000,13.9,14.245,13.09,13.6,92614,0
FLX.US,D,20241025,000000,13.16,13.64,13.045,13.26,45742,0
FLX.US,D,20241028,000000,13.22,14.35,13.01,13.99,40662,0
FLX.US,D,20241029,000000,13.57,14.21,13.54,13.96,28814,0
FLX.US,D,20241030,000000,13.56,13.87,13,13.36,10818,0
FLX.US,D,20241031,000000,13.49,13.49,12.62,12.94,17654,0
FLX.US,D,20241101,000000,13.36,14.19,13.17,13.97,86730,0
FLX.US,D,20241104,000000,14.5,14.5,13.8,14.3,11135,0
FLX.US,D,20241105,000000,14.3,14.3,12.6,12.87,50956,0
FLX.US,D,20241106,000000,12.5,12.58,11.55,12.11,30684,0
FLX.US,D,20241107,000000,12.5,12.5,11.9,12.17,20570,0
FLX.US,D,20241108,000000,12.15,12.3177,11.8,11.99,7659,0
FLX.US,D,20241111,000000,11.83,11.9783,11.56,11.79,7459,0
FLX.US,D,20241112,000000,11.55,11.77,10.81,10.81,54321,0
FLX.US,D,20241113,000000,10.74,11.155,10.74,10.99,2731,0
FLX.US,D,20241114,000000,11,11,8.72,9.12,72846,0
FLX.US,D,20241115,000000,9.31,9.65,9.0297,9.1225,3930,0
FLX.US,D,20241118,000000,9.05,9.22,8.035,8.84,27874,0
FLX.US,D,20241119,000000,9.11,9.5931,8.7,8.7,15861,0
FLX.US,D,20241120,000000,8.44,8.8379,7.525,8.13,31440,0
FLX.US,D,20241121,000000,8.11,8.594,8,8.05,12107,0
FLX.US,D,20241122,000000,8.05,8.05,7.5,7.95,8251,0
FLX.US,D,20241125,000000,7.7,8.0815,6.77,7.04,38209,0
FLX.US,D,20241126,000000,7.2,7.62,6.89,7.13,13580,0
FLX.US,D,20241127,000000,7.48,7.48,6.5001,7,11819,0
FLX.US,D,20241129,000000,6.9,7.35,6.69,6.75,7531,0
FLX.US,D,20241202,000000,7,8.88,7,7.3501,58286,0
FLX.US,D,20241203,000000,7.7,8.9,7.61,8.13,42453,0
FLX.US,D,20241204,000000,8.33,9.22,8.33,9.06,36152,0
FLX.US,D,20241205,000000,9.02,10.4,8.32,9.9301,34946,0
FLX.US,D,20241206,000000,10.165,10.79,10,10.65,20617,0
FLX.US,D,20241209,000000,10.88,11.73,10.755,10.77,26708,0
FLX.US,D,20241210,000000,10.35,10.43,9.36,9.36,14200,0
FLX.US,D,20241211,000000,9.175,9.3,8.42,8.894,16978,0
FLX.US,D,20241212,000000,9.325,9.34,8.73,8.975,5929,0
FLX.US,D,20241213,000000,8.97,9.78,8.85,9.6442,19671,0
FLX.US,D,20241216,000000,9.26,9.77,9,9.02,25758,0
FLX.US,D,20241217,000000,9.2,9.2045,8.4,8.6999,11806,0
FLX.US,D,20241218,000000,8.41,8.89,8.41,8.72,18203,0
FLX.US,D,20241219,000000,8.85,8.85,7.65,7.7712,15908,0
FLX.US,D,20241220,000000,8.01,8.4,7.97,8.03,5938,0
FLX.US,D,20241223,000000,8.02,8.3477,7.5,8.19,7943,0
FLX.US,D,20241224,000000,8.06,8.06,8.06,8.06,607,0
FLX.US,D,20241226,000000,7.5177,8,7.45,7.93,19170,0
FLX.US,D,20241227,000000,7.9497,8.2097,7.8,8.1595,6860,0
FLX.US,D,20241230,000000,8,8.2,7.9,8.2,6780,0
FLX.US,D,20241231,000000,7.98,8.34,7.5295,8.31,15364,0
FLX.US,D,20250102,000000,8.46,8.8047,7.91,8.3,8106,0
FLX.US,D,20250103,000000,8.59,8.71,8.4068,8.63,8524,0
FLX.US,D,20250106,000000,8.36,8.5,7.8,8,73801,0
FLX.US,D,20250107,000000,8.3,8.57,7.82,8.514,52936,0
FLX.US,D,20250108,000000,7.93,8.15,7.5,7.9513,10371,0
FLX.US,D,20250110,000000,7.6504,7.86,7.6425,7.77,3570,0
FLX.US,D,20250113,000000,7.7,8.4,7.46,8.4,10826,0
FLX.US,D,20250114,000000,8.05,8.19,7.61,8.02,23675,0
FLX.US,D,20250115,000000,7.83,8.7995,7.8,7.975,8982,0
FLX.US,D,20250116,000000,8.02,8.23,7.46,8.21,6362,0
FLX.US,D,20250117,000000,7.935,8.1291,7.55,7.96,9672,0
FLX.US,D,20250121,000000,7.62,8.61,7.4,8.61,15721,0
FLX.US,D,20250122,000000,8.79,8.8196,7.9194,8.18,32284,0
FLX.US,D,20250123,000000,7.94,8.29,7.73,8.27,23458,0
FLX.US,D,20250124,000000,7.9,8.28,7.6801,8.28,12347,0
FLX.US,D,20250127,000000,8.02,8.07,7.5807,8.02,13038,0
FLX.US,D,20250128,000000,7.785,8,7.53,8,4579,0
FLX.US,D,20250129,000000,7.63,7.96,7.47,7.96,14975,0
FLX.US,D,20250130,000000,7.64,8.11,7.59,8.11,13313,0
FLX.US,D,20250131,000000,7.79,7.79,7.5,7.69,4032,0
FLX.US,D,20250203,000000,7.8,9,7.8,8.92,22831,0
FLX.US,D,20250204,000000,8.59,8.75,8.1,8.75,7424,0
FLX.US,D,20250205,000000,7.7451,8.8,7.7451,8.69,18355,0
FLX.US,D,20250206,000000,8.4,8.88,7.84,8.75,31272,0
FLX.US,D,20250207,000000,8.45,8.9,8.165,8.9,18086,0
FLX.US,D,20250210,000000,8.55,9.04,8.55,8.9407,9287,0
FLX.US,D,20250211,000000,8.75,8.9994,8.3,8.78,14279,0
FLX.US,D,20250212,000000,8.525,8.929,8.525,8.91,8972,0
FLX.US,D,20250213,000000,8.82,8.9,8.67,8.89,3032,0
FLX.US,D,20250214,000000,8.425,8.89,8.32,8.7,9439,0
FLX.US,D,20250218,000000,8.95,9.1107,8.5,9.1107,10174,0
FLX.US,D,20250219,000000,9.2,9.48,8.62,9.47,12045,0
FLX.US,D,20250220,000000,9.49,9.49,8.673,9.2441,14561,0
FLX.US,D,20250221,000000,8.662,9.279,8.66,8.68,12292,0
FLX.US,D,20250224,000000,8.61,8.98,8.3,8.98,10285,0
FLX.US,D,20250225,000000,8.4,8.8097,8.18,8.3,12127,0
FLX.US,D,20250226,000000,8.5,8.87,8.45,8.81,9140,0
FLX.US,D,20250227,000000,8.4,8.8,8.25,8.8,6872,0
FLX.US,D,20250228,000000,8.5,8.5,8.17,8.47,4148,0
FLX.US,D,20250303,000000,8.25,8.49,8,8.48,12108,0
FLX.US,D,20250304,000000,8.32,8.96,8.0796,8.96,6157,0
FLX.US,D,20250305,000000,8.45,8.94,8.45,8.93,6414,0
FLX.US,D,20250306,000000,8.6,9,8.0935,8.86,10618,0
FLX.US,D,20250307,000000,8.08,8.8,8.08,8.555,3006,0
FLX.US,D,20250310,000000,8.41,9.2,8.41,9.2,7286,0
FLX.US,D,20250311,000000,8.9,9.01,8.66,8.705,6589,0
FLX.US,D,20250312,000000,8.75,8.8,8.45,8.77,4246,0
FLX.US,D,20250313,000000,8.55,8.67,8.2523,8.2523,4798,0
FLX.US,D,20250317,000000,8.08,8.08,7.5367,7.99,7085,0
FLX.US,D,20250318,000000,7.81,7.98,7.6142,7.98,3157,0
FLX.US,D,20250319,000000,8,8.1,7.79,7.79,4343,0
FLX.US,D,20250320,000000,7.8,8.48,7.8,8.48,2635,0
FLX.US,D,20250321,000000,8,8,7.71,7.81,6094,0
FLX.US,D,20250324,000000,7.66,7.92,7.6182,7.75,6870,0
FLX.US,D,20250325,000000,7.8,8.0528,7.01,7.895,7584,0
FLX.US,D,20250326,000000,7.905,7.905,7.12,7.47,5991,0
FLX.US,D,20250327,000000,7.51,7.822,7.18,7.6799,6756,0
FLX.US,D,20250328,000000,7.34,7.4,7.2,7.2499,6286,0
FLX.US,D,20250331,000000,7.19,7.19,6.38,6.7,20119,0
FLX.US,D,20250401,000000,6.3,6.5999,5.11,5.2162,63339,0
FLX.US,D,20250402,000000,2.1,3.5,2.01,2.245,722975,0
FLX.US,D,20250403,000000,2.38,2.5,2.25,2.5,196861,0
FLX.US,D,20250404,000000,2.26,2.75,2.2001,2.69,142751,0
FLX.US,D,20250407,000000,2.69,2.69,2.42,2.5,65560,0
FLX.US,D,20250408,000000,2.5287,2.5813,2.3,2.33,29237,0
FLX.US,D,20250409,000000,2.19,2.41,2.19,2.23,36834,0
FLX.US,D,20250410,000000,2.35,2.45,2.25,2.34,33203,0
FLX.US,D,20250411,000000,2.2231,2.4165,2.2231,2.4165,17596,0
FLX.US,D,20250414,000000,2.2391,2.39,2.2101,2.3,9219,0
FLX.US,D,20250415,000000,2.3,2.3,2.2,2.24,13869,0
FLX.US,D,20250416,000000,2.24,2.24,2.11,2.21,8101,0
FLX.US,D,20250417,000000,2.23,2.28,2.16,2.16,2741,0
FLX.US,D,20250421,000000,2.3,2.3,2.2,2.24,26425,0
FLX.US,D,20250422,000000,2.25,2.35,2.1,2.25,25658,0
FLX.US,D,20250423,000000,2.28,2.35,2.28,2.28,18861,0
FLX.US,D,20250424,000000,2.307,2.4,2.307,2.35,18584,0
FLX.US,D,20250425,000000,2.385,2.385,2.25,2.2899,27974,0
