<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRNM.US,D,20260721,000000,11.69,14.22,11.4806,13.01,577783,0
FRNM.US,D,20260722,000000,13,14.26,12.2505,13.14,705889,0
FRNM.US,D,20260723,000000,13.06,13.525,11.8,12.2,763681,0
FRNM.US,D,20260724,000000,12.23,12.28,10.6,11.24,574875,0
FRNM.US,D,20260727,000000,11.81,11.81,10.64,11.38,1449224,0
FRNM.US,D,20260728,000000,11.34,11.7608,10.37,10.77,759926,0
FRNM.US,D,20260729,000000,10.82,10.84,9.97,10.06,595419,0
FRNM.US,D,20260730,000000,10.14,10.4318,9.98,9.99,582105,0
FRNM.US,D,20260731,000000,10.5,11.48,10.5,11.15,1264439,0
FRNM.US,D,20260803,000000,11.15,11.52,10.86,11.01,755295,0
FRNM.US,D,20260804,000000,11.2,11.43,10.71,10.91,600045,0
FRNM.US,D,20260805,000000,10.83,11.36,10.76,10.91,1226537,0
FRNM.US,D,20260806,000000,11.1,11.4,10.85,10.91,357933,0
FRNM.US,D,20260807,000000,10.9,11.29,10.9,11.15,548629,0
FRNM.US,D,20260810,000000,11.15,11.946,11.041,11.62,899375,0
FRNM.US,D,20260811,000000,11.72,12.3,11.52,12,1060687,0
FRNM.US,D,20260812,000000,12,12.04,11.43,11.55,1407601,0
FRNM.US,D,20260813,000000,11.73,11.89,11.4,11.61,611513,0
FRNM.US,D,20260814,000000,11.7,11.95,11.43,11.56,775653,0
FRNM.US,D,20260817,000000,11.5,13.17,11.49,13,1893350,0
FRNM.US,D,20260818,000000,12.92,13.67,12.76,13.45,1549223,0
FRNM.US,D,20260819,000000,13.14,13.99,13.14,13.63,840131,0
FRNM.US,D,20260820,000000,13.63,13.9,13.41,13.51,909758,0
FRNM.US,D,20260821,000000,13.33,14.13,13.33,13.81,735071,0
FRNM.US,D,20260824,000000,13.69,13.88,13.3501,13.78,426166,0
