<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FUFU.US,D,20240304,000000,12.29,18.32,11.9,13.13,7585689,0
FUFU.US,D,20240305,000000,11.39,11.4,8,10.04,599334,0
FUFU.US,D,20240306,000000,9.6,10.3,8.19,8.5,145142,0
FUFU.US,D,20240307,000000,8.11,8.6699,6.38,6.6105,401220,0
FUFU.US,D,20240308,000000,6.56,6.647,5.65,6,197019,0
FUFU.US,D,20240311,000000,6.02,6.4,5.5501,5.72,122215,0
FUFU.US,D,20240312,000000,5.85,5.88,4.6,4.77,116023,0
FUFU.US,D,20240313,000000,4.9,5.1998,4.3211,4.78,168462,0
FUFU.US,D,20240314,000000,4.48,4.6899,4.26,4.42,40418,0
FUFU.US,D,20240315,000000,4.3,4.4,4.04,4.3999,147876,0
FUFU.US,D,20240318,000000,4.19,4.5,3.8056,4.08,196396,0
FUFU.US,D,20240319,000000,4.35,5.45,4.02,5.4,617694,0
FUFU.US,D,20240320,000000,5.6,5.6,4.4,4.89,260367,0
FUFU.US,D,20240321,000000,4.75,5.25,4.6001,5.05,175434,0
FUFU.US,D,20240322,000000,5.06,5.0806,4.6501,4.72,122327,0
FUFU.US,D,20240325,000000,4.76,5.55,4.76,5.4,177403,0
FUFU.US,D,20240326,000000,5.4,5.5,4.9,4.99,103372,0
FUFU.US,D,20240327,000000,5.1,5.2,4.9,4.97,61859,0
FUFU.US,D,20240328,000000,5.05,5.12,4.85,4.9431,78037,0
FUFU.US,D,20240401,000000,4.8,4.9099,4.1,4.34,101393,0
FUFU.US,D,20240402,000000,4.21,4.51,4.1,4.31,97637,0
FUFU.US,D,20240403,000000,4.3,4.4999,4.22,4.3,17042,0
FUFU.US,D,20240404,000000,4.31,4.43,4.1297,4.17,65079,0
FUFU.US,D,20240405,000000,4.15,4.39,4,4.13,49232,0
FUFU.US,D,20240408,000000,4.18,4.37,4.1,4.15,41160,0
FUFU.US,D,20240409,000000,4.15,4.3,3.965,3.99,171104,0
FUFU.US,D,20240410,000000,4.05,4.3999,4,4.35,121426,0
FUFU.US,D,20240411,000000,4.5,4.52,3.9,4.29,427820,0
FUFU.US,D,20240412,000000,4.1,4.27,3.87,3.87,165190,0
FUFU.US,D,20240415,000000,4,4.1045,3.39,3.41,129997,0
FUFU.US,D,20240416,000000,3.58,3.6,2.32,2.82,228566,0
FUFU.US,D,20240417,000000,2.95,2.9941,2.5758,2.84,27323,0
FUFU.US,D,20240418,000000,2.81,3.21,2.81,3,76265,0
FUFU.US,D,20240419,000000,3.07,3.55,2.71,3.01,162110,0
FUFU.US,D,20240422,000000,3.17,3.29,2.86,2.87,47751,0
FUFU.US,D,20240423,000000,2.9,3.0399,2.52,2.74,261771,0
FUFU.US,D,20240424,000000,2.84,3.0499,2.75,2.97,45739,0
FUFU.US,D,20240425,000000,2.98,3.2799,2.8,3.02,215339,0
FUFU.US,D,20240426,000000,3.16,3.3299,2.96,3.09,188601,0
FUFU.US,D,20240429,000000,3.05,3.35,3.05,3.09,68213,0
FUFU.US,D,20240430,000000,3.265,3.3,2.6943,2.8299,96130,0
FUFU.US,D,20240501,000000,2.76,3.18,2.73,2.8,249090,0
FUFU.US,D,20240502,000000,2.84,2.9426,2.65,2.87,163773,0
FUFU.US,D,20240503,000000,2.97,3.0999,2.8,2.81,82361,0
FUFU.US,D,20240506,000000,2.82,3.0183,2.555,2.63,205305,0
FUFU.US,D,20240507,000000,2.6006,2.7999,2.5,2.65,198945,0
FUFU.US,D,20240508,000000,2.76,3.05,2.6701,2.86,118485,0
FUFU.US,D,20240509,000000,2.88,3.3,2.87,3.15,188592,0
FUFU.US,D,20240510,000000,3.27,3.3997,2.8,2.96,116062,0
FUFU.US,D,20240513,000000,2.88,3.06,2.88,2.96,55726,0
FUFU.US,D,20240514,000000,2.92,3.02,2.8,2.87,54177,0
FUFU.US,D,20240515,000000,2.98,3.46,2.89,3.45,198450,0
FUFU.US,D,20240516,000000,3.21,3.7,3.1901,3.47,162531,0
FUFU.US,D,20240517,000000,3.37,3.63,3.3,3.53,97364,0
FUFU.US,D,20240520,000000,3.63,3.655,3.3,3.4,101270,0
FUFU.US,D,20240521,000000,3.54,4,3.41,3.7,281213,0
FUFU.US,D,20240522,000000,3.73,3.83,3.42,3.51,122451,0
FUFU.US,D,20240523,000000,3.41,3.525,3.2257,3.36,67017,0
FUFU.US,D,20240524,000000,3.27,3.5399,3.27,3.38,32976,0
FUFU.US,D,20240528,000000,3.45,3.7,3.31,3.52,61929,0
FUFU.US,D,20240529,000000,3.5,3.6466,3.43,3.5,87479,0
FUFU.US,D,20240530,000000,3.51,3.5827,3.36,3.48,65382,0
FUFU.US,D,20240531,000000,3.41,3.5799,3.275,3.31,59321,0
FUFU.US,D,20240603,000000,3.4,3.5492,3.37,3.42,30894,0
FUFU.US,D,20240604,000000,3.4485,4,3.42,3.87,158372,0
FUFU.US,D,20240605,000000,3.95,4.03,3.59,3.69,80410,0
FUFU.US,D,20240606,000000,3.59,3.865,3.57,3.65,62317,0
FUFU.US,D,20240607,000000,4,4,3.5401,3.72,208456,0
FUFU.US,D,20240610,000000,3.98,3.98,3.45,3.57,112615,0
FUFU.US,D,20240611,000000,3.56,3.56,3,3.17,140680,0
FUFU.US,D,20240612,000000,3.22,3.75,3.2,3.66,223544,0
FUFU.US,D,20240613,000000,3.57,3.9605,3.57,3.89,119587,0
FUFU.US,D,20240614,000000,3.77,4,3.6,3.84,82367,0
FUFU.US,D,20240617,000000,3.95,3.95,3.64,3.69,30952,0
FUFU.US,D,20240618,000000,3.7,3.76,3.5,3.5,30844,0
FUFU.US,D,20240620,000000,3.54,3.9,3.54,3.9,78894,0
