<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMM.US,D,20231010,000000,3750,4575,3450,3825,5182.533359246,0
GMM.US,D,20231011,000000,3615,3959.92,3480,3900,732.8400036642,0
GMM.US,D,20231012,000000,3412.5,3705,3412.5,3555,244.7866678906,0
GMM.US,D,20231013,000000,3495,3900,3495,3757.5,242.18533454426,0
GMM.US,D,20231016,000000,3765,3982.5,3532.5,3742.5,239.23600119618,0
GMM.US,D,20231017,000000,3630,3810,3427.5,3690.08,311.39600155698,0
GMM.US,D,20231018,000000,3637.5,3825,3570,3690,238.8800011944,0
GMM.US,D,20231019,000000,3607.5,4275,3607.5,4200,414.08800207044,0
GMM.US,D,20231020,000000,3967.5,4125,3840,4125,187.32800093664,0
GMM.US,D,20231023,000000,3922.5,5580,3922.5,4837.5,283.09600141548,0
GMM.US,D,20231024,000000,4837.5,6037.5,4747.5,5527.5,120.05600060028,0
GMM.US,D,20231025,000000,5467.5,5961.75,5145,5655,58.02266695677999,0
GMM.US,D,20231026,000000,5272.5,7350,5246.85,7125.05,295.29733480982,0
GMM.US,D,20231027,000000,7050,8025,6765,7935,318.17466825754,0
GMM.US,D,20231030,000000,8130,11602.5,7425,10275,2225.96934446318,0
GMM.US,D,20231031,000000,9577.5,10125,7845,8070,248.60533457636,0
GMM.US,D,20231101,000000,7650,8587.5,7508.25,8152.5,220.53733443602,0
GMM.US,D,20231102,000000,7920,9555,7852.5,9135,137.44933402057998,0
GMM.US,D,20231103,000000,9150,9513.75,8715,9063.75,106.14133386404,0
GMM.US,D,20231106,000000,9067.5,10920,9067.5,10687.5,267.87066800601997,0
GMM.US,D,20231107,000000,10815,10875,8887.5,9772.5,183.46533425066,0
GMM.US,D,20231108,000000,9465,9465,5482.5,7807.5,389.34933528007997,0
GMM.US,D,20231109,000000,8122.5,8895,7215,8175,268.31466800824,0
GMM.US,D,20231110,000000,8025,10467.4,8025,10132.5,99.19333382929999,0
GMM.US,D,20231113,000000,10207.5,10349.9,9090,9562.5,78.49200039246,0
GMM.US,D,20231114,000000,9345,9900,9000,9810,40.73466687034,0
GMM.US,D,20231115,000000,9607.5,11250,9607.5,10860,217.29866775316,0
GMM.US,D,20231116,000000,11250,11250,9847.5,10260,69.87866701606,0
GMM.US,D,20231117,000000,10230,11010,9090.15,9817.5,89.10400044552,0
GMM.US,D,20231120,000000,9015,10125,9015,10012.5,133.61866733476,0
GMM.US,D,20231121,000000,9562.5,10365,9090,9930,132.58533399626,0
GMM.US,D,20231122,000000,10005,10867.5,9832.5,10117.5,159.26400079632,0
GMM.US,D,20231124,000000,10042.5,11137.5,9937.5,11025,353.3000017665,0
GMM.US,D,20231127,000000,11137.5,11137.5,9397.5,10260,355.80133511234004,0
GMM.US,D,20231128,000000,10125,11062.5,9757.5,10500,296.38133481524,0
GMM.US,D,20231129,000000,10597.5,11550,9075,9990,346.10400173051994,0
GMM.US,D,20231130,000000,10117.5,11099.7,9375.45,10312.5,414.19200207096003,0
GMM.US,D,20231201,000000,10492.5,10657.5,9540,9697.5,216.13466774734,0
GMM.US,D,20231204,000000,9787.5,10200,9480,9877.5,269.15200134576,0
GMM.US,D,20231205,000000,9382.5,10606.1,9382.5,10027.5,384.11600192058,0
GMM.US,D,20231206,000000,10012.5,10856.2,8595,9900,498.51200249256,0
GMM.US,D,20231207,000000,10080,10350,9487.5,9885,409.70800204854004,0
GMM.US,D,20231208,000000,9900,9975,9090,9690,373.10266853217996,0
