<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPACW.US,D,20260126,000000,0.26,0.26,0.2501,0.26,857,0
GPACW.US,D,20260127,000000,0.26,0.28,0.25,0.25,44326,0
GPACW.US,D,20260128,000000,0.2999,0.2999,0.23,0.23,172949,0
GPACW.US,D,20260129,000000,0.23,0.23,0.23,0.23,624,0
GPACW.US,D,20260130,000000,0.24,0.2481,0.24,0.24,1901,0
GPACW.US,D,20260203,000000,0.25,0.25,0.25,0.25,200,0
GPACW.US,D,20260204,000000,0.245,0.245,0.245,0.245,100,0
GPACW.US,D,20260205,000000,0.25,0.25,0.2394,0.2394,21870,0
GPACW.US,D,20260210,000000,0.24,0.24,0.24,0.24,29320,0
GPACW.US,D,20260211,000000,0.24,0.246,0.24,0.246,29700,0
GPACW.US,D,20260212,000000,0.24,0.2478,0.24,0.2478,8100,0
GPACW.US,D,20260213,000000,0.24,0.24,0.24,0.24,36000,0
GPACW.US,D,20260218,000000,0.25,0.25,0.24,0.24,75400,0
GPACW.US,D,20260224,000000,0.24,0.24,0.24,0.24,2500,0
GPACW.US,D,20260225,000000,0.24,0.24,0.232,0.232,5450,0
GPACW.US,D,20260227,000000,0.24,0.24,0.235,0.2376,11741,0
GPACW.US,D,20260303,000000,0.2441,0.2441,0.2441,0.2441,186,0
GPACW.US,D,20260304,000000,0.24,0.24,0.24,0.24,6000,0
GPACW.US,D,20260305,000000,0.2601,0.3415,0.2601,0.3127,2060,0
GPACW.US,D,20260306,000000,0.25,0.29,0.25,0.25,50100,0
GPACW.US,D,20260309,000000,0.25,0.27,0.25,0.27,4100,0
GPACW.US,D,20260313,000000,0.25,0.2501,0.25,0.25,20000,0
GPACW.US,D,20260316,000000,0.25,0.25,0.25,0.25,150140,0
GPACW.US,D,20260320,000000,0.25,0.25,0.25,0.25,100000,0
GPACW.US,D,20260323,000000,0.24,0.25,0.24,0.25,7050,0
GPACW.US,D,20260326,000000,0.25,0.25,0.24005,0.24005,17660,0
GPACW.US,D,20260408,000000,0.24005,0.25,0.24,0.25,224244,0
GPACW.US,D,20260409,000000,0.24005,0.26,0.24005,0.26,34215,0
GPACW.US,D,20260410,000000,0.24005,0.24005,0.24005,0.24005,15785,0
GPACW.US,D,20260413,000000,0.25255,0.26,0.25255,0.26,18380,0
GPACW.US,D,20260420,000000,0.2603,0.2604,0.2603,0.2604,2600,0
GPACW.US,D,20260428,000000,0.28,0.29,0.28,0.29,700,0
GPACW.US,D,20260429,000000,0.27515,0.27515,0.27515,0.27515,4124,0
GPACW.US,D,20260515,000000,0.2899,0.2899,0.2899,0.2899,100,0
GPACW.US,D,20260518,000000,0.2751,0.2751,0.2751,0.2751,100,0
GPACW.US,D,20260519,000000,0.28,0.28,0.28,0.28,504,0
GPACW.US,D,20260520,000000,0.28,0.28,0.28,0.28,1000,0
GPACW.US,D,20260527,000000,0.28,0.28,0.28,0.28,200,0
GPACW.US,D,20260528,000000,0.29,0.29,0.29,0.29,1793,0
GPACW.US,D,20260529,000000,0.26,0.29,0.26,0.28,463235,0
GPACW.US,D,20260623,000000,0.26,0.26,0.26,0.26,100,0
GPACW.US,D,20260702,000000,0.26,0.3,0.26,0.3,30279,0
GPACW.US,D,20260706,000000,0.292,0.3,0.292,0.3,1200,0
GPACW.US,D,20260708,000000,0.2944,0.3,0.2944,0.3,1200,0
GPACW.US,D,20260709,000000,0.3,0.3,0.27,0.27,88650,0
GPACW.US,D,20260713,000000,0.28,0.28,0.28,0.28,15200,0
GPACW.US,D,20260721,000000,0.28,0.2801,0.28,0.2801,1000,0
GPACW.US,D,20260722,000000,0.28,0.28,0.28,0.28,200,0
GPACW.US,D,20260724,000000,0.28,0.28,0.28,0.28,13174,0
GPACW.US,D,20260729,000000,0.2701,0.2701,0.2701,0.2701,3500,0
GPACW.US,D,20260803,000000,0.28,0.28,0.28,0.28,100000,0
GPACW.US,D,20260812,000000,0.2551,0.2701,0.2551,0.2701,4000,0
GPACW.US,D,20260813,000000,0.2401,0.2541,0.24,0.2541,2350,0
GPACW.US,D,20260817,000000,0.24,0.24,0.2399,0.2399,700,0
GPACW.US,D,20260820,000000,0.24,0.24,0.24,0.24,431,0
