<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCIC.US,D,20260330,000000,9.91,9.91,9.87,9.87,34547,0
HCIC.US,D,20260331,000000,9.8,9.83,9.79,9.83,28064,0
HCIC.US,D,20260402,000000,9.81,9.82,9.8,9.82,150483,0
HCIC.US,D,20260406,000000,9.82,9.83,9.82,9.82,51616,0
HCIC.US,D,20260407,000000,9.85,9.85,9.82,9.82,491,0
HCIC.US,D,20260408,000000,9.83,9.84,9.83,9.83,5904,0
HCIC.US,D,20260409,000000,9.84,9.84,9.83,9.83,10432,0
HCIC.US,D,20260410,000000,9.84,9.84,9.835,9.84,453,0
HCIC.US,D,20260413,000000,9.84,9.84,9.82,9.82,136836,0
HCIC.US,D,20260414,000000,9.84,9.84,9.82,9.82,1360,0
HCIC.US,D,20260415,000000,9.84,9.84,9.82,9.82,266,0
HCIC.US,D,20260416,000000,9.849,9.85,9.83,9.84,52040,0
HCIC.US,D,20260420,000000,9.84,9.85,9.83,9.84,322736,0
HCIC.US,D,20260421,000000,9.83,9.85,9.83,9.85,35712,0
HCIC.US,D,20260422,000000,9.88,9.88,9.88,9.88,104,0
HCIC.US,D,20260423,000000,9.88,9.88,9.85,9.88,135877,0
HCIC.US,D,20260424,000000,9.89,9.89,9.89,9.89,101,0
HCIC.US,D,20260427,000000,9.89,9.89,9.89,9.89,104,0
HCIC.US,D,20260428,000000,9.88,9.89,9.87,9.89,64900,0
HCIC.US,D,20260429,000000,9.88,9.88,9.88,9.88,157,0
HCIC.US,D,20260430,000000,9.875,9.875,9.87,9.87,25130,0
HCIC.US,D,20260504,000000,9.87,9.88,9.87,9.88,127062,0
HCIC.US,D,20260505,000000,9.88,9.88,9.88,9.88,2003,0
HCIC.US,D,20260506,000000,9.88,9.88,9.87,9.87,76101,0
HCIC.US,D,20260507,000000,9.88,9.88,9.875,9.88,2502,0
HCIC.US,D,20260511,000000,9.88,9.88,9.88,9.88,21691,0
HCIC.US,D,20260512,000000,9.88,9.88,9.88,9.88,26388,0
HCIC.US,D,20260519,000000,9.89,9.89,9.89,9.89,420,0
HCIC.US,D,20260520,000000,9.89,9.89,9.89,9.89,323,0
HCIC.US,D,20260521,000000,9.89,9.89,9.885,9.89,2192,0
HCIC.US,D,20260522,000000,9.9,9.9,9.88,9.88,7821,0
HCIC.US,D,20260526,000000,9.88,9.89,9.88,9.89,25439,0
HCIC.US,D,20260527,000000,9.88,9.88,9.88,9.88,197,0
HCIC.US,D,20260528,000000,9.88,9.88,9.88,9.88,130,0
HCIC.US,D,20260529,000000,9.89,9.89,9.8799,9.88,15294,0
HCIC.US,D,20260601,000000,9.9,9.91,9.89,9.91,7167,0
HCIC.US,D,20260602,000000,9.9,9.9,9.9,9.9,145,0
HCIC.US,D,20260603,000000,9.9,9.9,9.9,9.9,5719,0
HCIC.US,D,20260604,000000,9.9,9.9,9.9,9.9,218,0
HCIC.US,D,20260605,000000,9.9,9.9,9.9,9.9,38811,0
HCIC.US,D,20260608,000000,9.9,9.9,9.9,9.9,239,0
HCIC.US,D,20260609,000000,9.9,9.9,9.9,9.9,102,0
HCIC.US,D,20260610,000000,9.9,9.9,9.9,9.9,184,0
HCIC.US,D,20260611,000000,9.9,9.9,9.9,9.9,242,0
HCIC.US,D,20260615,000000,9.93,9.93,9.93,9.93,138,0
HCIC.US,D,20260616,000000,9.93,9.93,9.93,9.93,50102,0
HCIC.US,D,20260617,000000,9.93,9.93,9.93,9.93,18417,0
HCIC.US,D,20260618,000000,9.93,9.93,9.93,9.93,7129,0
HCIC.US,D,20260622,000000,9.93,9.93,9.93,9.93,7359,0
HCIC.US,D,20260623,000000,9.95,9.95,9.95,9.95,161,0
HCIC.US,D,20260624,000000,9.95,9.95,9.93,9.93,2054,0
HCIC.US,D,20260625,000000,9.93,9.97,9.93,9.97,3228,0
HCIC.US,D,20260626,000000,9.945,9.945,9.94,9.94,3102,0
HCIC.US,D,20260630,000000,9.93,9.93,9.93,9.93,54522,0
HCIC.US,D,20260701,000000,9.97,9.975,9.94,9.94,10496,0
HCIC.US,D,20260702,000000,9.98,10.005,9.98,10,125867,0
HCIC.US,D,20260708,000000,9.95,9.97,9.94,9.94,6076,0
HCIC.US,D,20260709,000000,9.95,9.98,9.95,9.98,7737,0
HCIC.US,D,20260715,000000,9.98,9.98,9.98,9.98,12428,0
HCIC.US,D,20260716,000000,9.98,9.98,9.97,9.97,3523,0
HCIC.US,D,20260728,000000,9.97,9.97,9.97,9.97,624,0
HCIC.US,D,20260730,000000,9.98,9.98,9.98,9.98,2005,0
HCIC.US,D,20260803,000000,9.98,9.98,9.98,9.98,636,0
HCIC.US,D,20260807,000000,9.99,9.99,9.99,9.99,71770,0
HCIC.US,D,20260810,000000,9.99,9.99,9.99,9.99,3975,0
HCIC.US,D,20260814,000000,10,10,9.995,10,1845,0
HCIC.US,D,20260818,000000,10,10,10,10,5012,0
HCIC.US,D,20260819,000000,10,10,10,10,200833,0
HCIC.US,D,20260821,000000,10.005,10.02,10,10.01,29736,0
HCIC.US,D,20260824,000000,10,10.01,10,10,15969,0
