<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HERE.US,D,20230125,000000,13.7,13.79,12.0001,12.52,1165895,0
HERE.US,D,20230126,000000,12.5,13.43,12,12.56,167378,0
HERE.US,D,20230127,000000,12.45,12.8299,12.3,12.6,119866,0
HERE.US,D,20230130,000000,12.24,12.565,12,12.53,55041,0
HERE.US,D,20230131,000000,12.4,12.6,12.26,12.6,18840,0
HERE.US,D,20230201,000000,12.2784,12.59,12.2784,12.5,31065,0
HERE.US,D,20230202,000000,12.42,12.545,12.25,12.5,29094,0
HERE.US,D,20230203,000000,12.3001,12.525,12.3001,12.36,20820,0
HERE.US,D,20230206,000000,12.1,12.5,12.0601,12.48,40329,0
HERE.US,D,20230207,000000,12.2,12.45,12.1,12.3,29749,0
HERE.US,D,20230208,000000,12.2,12.3,12.0027,12.09,37850,0
HERE.US,D,20230209,000000,12.15,12.7,12.1068,12.7,28278,0
HERE.US,D,20230210,000000,12.5,12.5,12.25,12.4,9581,0
HERE.US,D,20230213,000000,12.3,12.9,12.2,12.7,24890,0
HERE.US,D,20230214,000000,12.5,13.15,12.32,13.15,23208,0
HERE.US,D,20230215,000000,13,13.05,12.6,12.71,11648,0
HERE.US,D,20230216,000000,12.57,13.14,12.57,12.8,7280,0
HERE.US,D,20230217,000000,12.71,12.71,12.28,12.36,5736,0
HERE.US,D,20230221,000000,12.34,12.35,12,12.22,10829,0
HERE.US,D,20230222,000000,12.25,13.2,12.25,12.39,17611,0
HERE.US,D,20230223,000000,12.36,12.888,12.36,12.5,7216,0
HERE.US,D,20230224,000000,12.1664,12.328,12,12.21,11510,0
HERE.US,D,20230227,000000,12.2,13.095,12.2,12.45,41565,0
HERE.US,D,20230228,000000,12.3,12.3,12.2,12.2,1760,0
HERE.US,D,20230301,000000,12.113,12.5,12.0508,12.5,2788,0
HERE.US,D,20230302,000000,12.2052,12.2052,12.1801,12.1801,566,0
HERE.US,D,20230303,000000,12.15,12.8504,11.0937,12.4615,24402,0
HERE.US,D,20230307,000000,12.25,12.25,11.8,12.1999,7897,0
HERE.US,D,20230308,000000,12.19,12.93,12.1,12.72,29163,0
HERE.US,D,20230309,000000,12.47,12.5,12.26,12.26,2484,0
HERE.US,D,20230310,000000,12.3203,12.3203,11.99,11.99,2971,0
HERE.US,D,20230313,000000,12.0001,12.06,12.0001,12.02,2925,0
HERE.US,D,20230314,000000,12.11,12.4,12,12.4,2559,0
HERE.US,D,20230315,000000,12.0518,12.32,12,12,611,0
HERE.US,D,20230316,000000,12.02,12.02,12.02,12.02,1336,0
HERE.US,D,20230320,000000,11.8001,11.8001,11.8001,11.8001,140,0
HERE.US,D,20230321,000000,11.62,12.7,11.62,12.6999,16826,0
HERE.US,D,20230322,000000,12.12,12.12,12.11,12.112,550,0
HERE.US,D,20230323,000000,12.17,12.17,12.17,12.17,495,0
HERE.US,D,20230324,000000,12.3001,12.3001,12.3,12.3,677,0
HERE.US,D,20230327,000000,12.2,12.5,12.2,12.2012,1998,0
HERE.US,D,20230328,000000,12.14,12.14,12.1,12.1,889,0
HERE.US,D,20230329,000000,11.9,11.95,11.53,11.7,3944,0
HERE.US,D,20230330,000000,11.5,11.5,11.4435,11.4435,1147,0
HERE.US,D,20230331,000000,11.44,12,11.0901,11.98,9478,0
HERE.US,D,20230403,000000,11.3,11.5,11.1017,11.5,1549,0
HERE.US,D,20230404,000000,11.18,11.5,11.18,11.46,806,0
HERE.US,D,20230406,000000,11.28,11.45,11.1,11.45,1265,0
HERE.US,D,20230410,000000,11.5,11.5,11.46,11.5,728,0
HERE.US,D,20230411,000000,11.5,11.5,11.5,11.5,472,0
HERE.US,D,20230414,000000,11.01,11.01,10.57,10.57,1525,0
HERE.US,D,20230418,000000,9.89,11.5,9.89,11.26,14646,0
HERE.US,D,20230419,000000,11.2,11.2,10.95,11,956,0
HERE.US,D,20230420,000000,10.99,10.99,10.93,10.93,711,0
HERE.US,D,20230421,000000,11.45,12.45,10.9,10.9,6510,0
HERE.US,D,20230424,000000,11,11.69,11,11.5,1115,0
HERE.US,D,20230425,000000,10.57,11.46,10.235,10.6,5309,0
HERE.US,D,20230426,000000,10.6,11.2,10.56,10.56,3508,0
HERE.US,D,20230427,000000,10.76,10.76,10.76,10.76,1002,0
HERE.US,D,20230428,000000,10.8,12,10.8,12,1698,0
HERE.US,D,20230501,000000,11.99,12,11.99,12,760,0
HERE.US,D,20230502,000000,12,12,12,12,340,0
HERE.US,D,20230503,000000,11.91,11.91,11.91,11.91,175,0
HERE.US,D,20230504,000000,11.45,11.45,10.91,10.91,463,0
HERE.US,D,20230508,000000,10.5,10.5,10.5,10.5,826,0
HERE.US,D,20230509,000000,10.45,10.46,10.35,10.35,545,0
HERE.US,D,20230510,000000,10.01,10.3,10.01,10.3,11323,0
HERE.US,D,20230511,000000,10,10,9.8651,9.8651,403,0
HERE.US,D,20230512,000000,9.76,11.5,9.45,9.5,19760,0
HERE.US,D,20230515,000000,9,9,8.75,8.75,15700,0
HERE.US,D,20230516,000000,7.85,8.75,7.5544,8.5,4172,0
HERE.US,D,20230518,000000,7.63,7.66,6.66,6.9925,3193,0
HERE.US,D,20230519,000000,7.04,7.75,7.04,7.75,7341,0
HERE.US,D,20230522,000000,7.72,7.75,7.41,7.41,7815,0
HERE.US,D,20230523,000000,7.5395,9.002,7.5395,8.25,9869,0
HERE.US,D,20230524,000000,9,28.9899,9,19,1169898,0
HERE.US,D,20230525,000000,11.57,13.4992,9.72,11.08,316394,0
HERE.US,D,20230526,000000,10.31,11.3929,9.6,10,81989,0
HERE.US,D,20230530,000000,9.9285,10.4874,7.22,9.11,119733,0
HERE.US,D,20230531,000000,8.71,9.8,8.39,8.6,62457,0
HERE.US,D,20230601,000000,11.99,13.91,10,10.06,1108336,0
HERE.US,D,20230602,000000,10.11,10.56,8.65,9.08,71342,0
HERE.US,D,20230605,000000,8.8,9.4033,8.8,8.87,20585,0
HERE.US,D,20230606,000000,9.01,9.01,8.36,8.75,30836,0
HERE.US,D,20230607,000000,8.58,9.5,8.55,8.7,54078,0
HERE.US,D,20230608,000000,8.62,9,8.5,8.98,12520,0
HERE.US,D,20230609,000000,9.25,9.25,8.66,8.66,15044,0
HERE.US,D,20230612,000000,8.49,9.16,8.2024,8.6,39650,0
HERE.US,D,20230613,000000,8.8,8.965,8.5,8.87,23747,0
HERE.US,D,20230614,000000,8.89,9.364,8.5818,9.1,27724,0
HERE.US,D,20230615,000000,8.76,9.179,8.76,8.96,2783,0
HERE.US,D,20230616,000000,8.7,9.23,8.67,9.09,6864,0
HERE.US,D,20230620,000000,8.502,9.251,8.41,8.9,10321,0
HERE.US,D,20230621,000000,9.1799,9.1799,8.6722,8.87,7174,0
HERE.US,D,20230622,000000,8.9,9.07,8.11,8.61,16254,0
HERE.US,D,20230623,000000,8.6,8.98,8.345,8.55,5700,0
HERE.US,D,20230626,000000,8.59,9.19,8.1103,8.57,16314,0
