<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IALT.US,D,20251211,000000,25.1,25.14,24.97,25.135,24427,0
IALT.US,D,20251212,000000,25.11,25.12,24.97,25.02,11317,0
IALT.US,D,20251215,000000,25.08,25.08,25.0418,25.0743,16495,0
IALT.US,D,20251216,000000,25.07,25.11,25.05,25.105,7012,0
IALT.US,D,20251217,000000,25.09,25.09,24.995,25.025,16470,0
IALT.US,D,20251218,000000,25.0352,25.075,25.0352,25.06,6280,0
IALT.US,D,20251219,000000,25.0599,25.17,25.0599,25.165,24311,0
IALT.US,D,20251222,000000,25.2988,25.355,25.283,25.355,24660,0
IALT.US,D,20251223,000000,25.314,25.36,25.3113,25.3401,980,0
IALT.US,D,20251224,000000,25.396,25.45,25.3816,25.445,1794,0
IALT.US,D,20251226,000000,25.41,25.4151,25.4,25.4151,2112,0
IALT.US,D,20251229,000000,25.35,25.37,25.35,25.365,6757,0
IALT.US,D,20251230,000000,25.31,25.36,25.26,25.295,24381,0
IALT.US,D,20251231,000000,25.315,25.3299,25.3,25.305,4497,0
IALT.US,D,20260102,000000,25.4,25.49,25.325,25.375,9339,0
IALT.US,D,20260105,000000,25.51,25.72,25.4815,25.71,158656,0
IALT.US,D,20260106,000000,26.01,26.01,25.6805,25.785,42460,0
IALT.US,D,20260107,000000,25.68,25.88,25.68,25.835,51746,0
IALT.US,D,20260108,000000,26.15,26.15,25.71,25.7749,116470,0
IALT.US,D,20260109,000000,25.79,25.86,25.75,25.79,13671,0
IALT.US,D,20260112,000000,25.8,25.94,25.792,25.875,21629,0
IALT.US,D,20260113,000000,25.95,25.96,25.8101,25.885,25289,0
IALT.US,D,20260114,000000,25.896,25.96,25.82,25.9041,25531,0
IALT.US,D,20260115,000000,25.86,25.9,25.8162,25.89,73767,0
IALT.US,D,20260116,000000,25.88,25.89,25.78,25.8347,19633,0
IALT.US,D,20260120,000000,25.74,25.78,25.65,25.695,34090,0
IALT.US,D,20260121,000000,25.58,25.91,25.58,25.8846,13798,0
IALT.US,D,20260122,000000,25.84,25.87,25.7222,25.77,7194,0
IALT.US,D,20260123,000000,25.66,25.82,25.66,25.795,14078,0
IALT.US,D,20260126,000000,25.827,25.88,25.809,25.855,12128,0
IALT.US,D,20260127,000000,25.73,25.98,25.73,25.96,6618,0
IALT.US,D,20260128,000000,26,26.03,25.8595,25.9828,7835,0
IALT.US,D,20260129,000000,26.2,26.2,25.9,26.1038,9826,0
IALT.US,D,20260130,000000,25.98,26.08,25.91,25.91,59757,0
IALT.US,D,20260202,000000,25.85,25.96,25.835,25.955,40321,0
IALT.US,D,20260203,000000,26.19,26.265,26.09,26.1966,276218,0
IALT.US,D,20260204,000000,26.135,26.2299,25.91,26.005,66337,0
IALT.US,D,20260205,000000,25.9,25.98,25.81,25.86,23415,0
IALT.US,D,20260206,000000,26.16,26.2264,26.07,26.21,26588,0
IALT.US,D,20260209,000000,26.11,26.25,26.0585,26.206,13195,0
IALT.US,D,20260210,000000,26.31,26.31,26.2,26.2492,9848,0
IALT.US,D,20260211,000000,26.3,26.3,26.19,26.245,29448,0
IALT.US,D,20260212,000000,26.25,26.36,26.08,26.1046,10166,0
IALT.US,D,20260213,000000,26.09,26.15,25.985,26.0903,21196,0
IALT.US,D,20260217,000000,26.6,26.6,25.92,26.05,231318,0
IALT.US,D,20260218,000000,26.05,26.18,26.025,26.1196,77835,0
IALT.US,D,20260219,000000,26.09,26.26,26.08,26.15,49196,0
IALT.US,D,20260220,000000,26.13,26.34,26.09,26.29,31018,0
IALT.US,D,20260223,000000,26.23,26.26,26.1,26.2049,58200,0
IALT.US,D,20260224,000000,26.29,26.41,26.2706,26.38,43700,0
IALT.US,D,20260225,000000,26.4,26.48,26.4,26.457,86300,0
IALT.US,D,20260226,000000,26.44,26.44,26.3,26.408,15985,0
IALT.US,D,20260227,000000,26.19,26.38,26.19,26.3561,52069,0
IALT.US,D,20260302,000000,26.36,26.6648,26.32,26.605,90398,0
IALT.US,D,20260303,000000,26.34,26.51,26.2,26.48,48637,0
IALT.US,D,20260304,000000,26.54,26.72,26.495,26.63,48416,0
IALT.US,D,20260305,000000,26.46,26.52,26.34,26.51,49399,0
IALT.US,D,20260306,000000,26.32,26.77,26.32,26.65,73607,0
IALT.US,D,20260309,000000,26.59,26.78,26.57,26.76,25075,0
IALT.US,D,20260310,000000,26.94,27.14,26.71,26.885,272010,0
IALT.US,D,20260311,000000,26.74,26.74,26.565,26.6447,50122,0
IALT.US,D,20260312,000000,26.64,26.7,26.52,26.615,23551,0
IALT.US,D,20260313,000000,26.68,26.72,26.52,26.585,61389,0
IALT.US,D,20260316,000000,26.75,26.7875,26.67,26.73,65141,0
IALT.US,D,20260317,000000,26.89,26.9201,26.78,26.8915,29171,0
IALT.US,D,20260318,000000,26.54,26.82,26.54,26.815,122624,0
IALT.US,D,20260319,000000,26.58,26.99,26.58,26.93,88876,0
IALT.US,D,20260320,000000,26.85,27.01,26.8,26.9762,89870,0
IALT.US,D,20260323,000000,27.09,27.18,26.93,26.9971,129134,0
IALT.US,D,20260324,000000,26.86,27.25,26.825,27.155,60338,0
IALT.US,D,20260325,000000,27.33,27.33,27.15,27.2087,48867,0
IALT.US,D,20260326,000000,27.31,27.37,27.04,27.0692,206868,0
IALT.US,D,20260327,000000,27.01,27.1281,27.008,27.0964,47737,0
IALT.US,D,20260330,000000,27.185,27.19,27.0001,27.045,100928,0
IALT.US,D,20260331,000000,27.085,27.3287,27.04,27.2663,83224,0
IALT.US,D,20260401,000000,27.46,27.5,27.26,27.42,225333,0
IALT.US,D,20260402,000000,27.25,27.45,27.22,27.4415,64522,0
IALT.US,D,20260406,000000,27.54,27.54,27.3,27.3803,132477,0
IALT.US,D,20260407,000000,27.39,27.4,27.27,27.3755,44175,0
