<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMNN.US,D,20050225,000000,81352.2,86898.9,81352.2,85050,2.3,0
IMNN.US,D,20050228,000000,85050,88747.8,81352.2,85050,1.6099999999999999,0
IMNN.US,D,20050301,000000,83201,83201,81352.2,83201,0.7666658999999999,0
IMNN.US,D,20050302,000000,83201,85050,81352.2,83201,0.84333295,0
IMNN.US,D,20050303,000000,83201,88747.8,77654.3,79503.2,4.9833295,0
IMNN.US,D,20050304,000000,77654.3,83201,72107.6,75805.4,5.75,0
IMNN.US,D,20050307,000000,77654.3,79503.2,64711.9,66560.9,7.896659,0
IMNN.US,D,20050308,000000,64711.9,70258.7,61014.1,68409.7,6.976658999999999,0
IMNN.US,D,20050309,000000,68409.7,72107.6,66560.9,70258.7,3.6799999999999997,0
IMNN.US,D,20050310,000000,68409.7,75805.4,66560.9,70258.7,2.07,0
IMNN.US,D,20050311,000000,68409.7,72107.6,68409.7,70258.7,1.916659,0
IMNN.US,D,20050314,000000,70258.7,70258.7,64711.9,66560.9,1.686659,0
IMNN.US,D,20050315,000000,64711.9,72107.6,64711.9,68409.7,2.6066589999999996,0
IMNN.US,D,20050316,000000,66560.9,66560.9,61014.1,62863,3.6033294999999996,0
IMNN.US,D,20050317,000000,64711.9,64711.9,57316.3,61630.4,2.3,0
IMNN.US,D,20050318,000000,61014.1,64711.9,61014.1,62863,1.6099999999999999,0
IMNN.US,D,20050321,000000,64711.9,66560.9,61014.1,64711.9,1.5333294999999998,0
IMNN.US,D,20050322,000000,64711.9,68409.7,64711.9,66560.9,1.38,0
IMNN.US,D,20050323,000000,68409.7,72107.6,64711.9,68409.7,1.4566589999999997,0
IMNN.US,D,20050324,000000,70258.7,72107.6,66560.9,68409.7,0.9199999999999999,0
IMNN.US,D,20050328,000000,68409.7,68409.7,62863,64711.9,0.7666658999999999,0
IMNN.US,D,20050329,000000,64711.9,66560.9,61014.1,62863,0.84333295,0
IMNN.US,D,20050330,000000,64711.9,64711.9,61014.1,61014.1,1.7633295,0
IMNN.US,D,20050331,000000,61014.1,64711.9,59165.2,62863,1.15,0
IMNN.US,D,20050401,000000,62863,62863,55467.4,59165.2,2.6833295,0
