<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVSS.US,D,20251205,000000,25.3864,25.3864,25.2316,25.2316,80575,0
IVSS.US,D,20251208,000000,25.17,25.17,25.0523,25.0761,202,0
IVSS.US,D,20251209,000000,25.24,25.27,25.1915,25.1915,692,0
IVSS.US,D,20251210,000000,25.31,25.81,25.31,25.6992,2982,0
IVSS.US,D,20251211,000000,25.9,26.01,25.8696,25.9706,1861,0
IVSS.US,D,20251212,000000,25.78,25.78,25.774,25.774,400,0
IVSS.US,D,20251215,000000,25.91,25.91,25.7545,25.7545,2870,0
IVSS.US,D,20251216,000000,25.66,25.66,25.6267,25.6267,2171,0
IVSS.US,D,20251217,000000,25.62,25.6608,25.5427,25.5427,798,0
IVSS.US,D,20251218,000000,25.7,25.75,25.6204,25.6204,6208,0
IVSS.US,D,20251219,000000,25.58,25.6585,25.52,25.57,4637,0
IVSS.US,D,20251222,000000,25.77,25.87,25.7237,25.7237,9443,0
IVSS.US,D,20251223,000000,25.75,25.75,25.6028,25.6028,3001,0
IVSS.US,D,20251224,000000,25.67,25.6873,25.64,25.6873,2565,0
IVSS.US,D,20251226,000000,25.66,25.66,25.6396,25.6597,202,0
IVSS.US,D,20251229,000000,25.64,25.64,25.5698,25.5698,456,0
IVSS.US,D,20251230,000000,25.5442,25.5442,25.4367,25.4367,5538,0
IVSS.US,D,20251231,000000,25.31,25.31,25.2153,25.2153,8690,0
IVSS.US,D,20260102,000000,25.24,25.36,25.24,25.3191,4583,0
IVSS.US,D,20260105,000000,25.64,25.765,25.56,25.6375,10552,0
IVSS.US,D,20260106,000000,25.574,25.9463,25.574,25.9389,134643,0
IVSS.US,D,20260107,000000,25.82,25.88,25.74,25.835,13245,0
IVSS.US,D,20260108,000000,25.87,26.2207,25.87,26.2207,5856,0
IVSS.US,D,20260109,000000,26.2375,26.38,26.2,26.375,21306,0
IVSS.US,D,20260112,000000,26.385,26.58,26.385,26.525,10229,0
IVSS.US,D,20260113,000000,26.61,26.8099,26.48,26.5195,8108,0
IVSS.US,D,20260114,000000,26.6399,26.6399,26.53,26.6025,4818,0
IVSS.US,D,20260115,000000,26.91,26.99,26.89,26.935,13254,0
IVSS.US,D,20260116,000000,26.85,26.8899,26.7631,26.7631,11457,0
IVSS.US,D,20260120,000000,26.53,26.6206,26.42,26.4314,2777,0
IVSS.US,D,20260121,000000,26.8717,27.08,26.71,27.0463,2075,0
IVSS.US,D,20260122,000000,27.26,27.3328,27.13,27.13,1393,0
IVSS.US,D,20260123,000000,26.8981,26.8981,26.6917,26.7623,3141,0
IVSS.US,D,20260126,000000,26.87,26.87,26.7605,26.7605,1344,0
IVSS.US,D,20260127,000000,26.651,26.705,26.54,26.635,6084,0
IVSS.US,D,20260128,000000,26.75,26.75,26.5729,26.5729,1071,0
IVSS.US,D,20260129,000000,26.6575,26.8278,26.59,26.8278,5068,0
IVSS.US,D,20260130,000000,26.8,26.8,26.64,26.7453,5663,0
IVSS.US,D,20260202,000000,26.77,27.19,26.77,27.0591,20852,0
IVSS.US,D,20260203,000000,26.97,27.09,26.69,26.8439,1817,0
IVSS.US,D,20260204,000000,27.22,27.23,27.011,27.011,3474,0
IVSS.US,D,20260205,000000,27.03,27.03,26.82,26.8325,2284,0
IVSS.US,D,20260206,000000,27.34,27.5278,27.3183,27.5278,8385,0
IVSS.US,D,20260209,000000,27.49,27.5916,27.48,27.4915,5222,0
IVSS.US,D,20260210,000000,27.5181,27.5693,27.4228,27.4228,6276,0
IVSS.US,D,20260211,000000,27.4,27.41,27.3,27.4054,19056,0
IVSS.US,D,20260212,000000,27.6,27.6,26.89,26.9802,10416,0
IVSS.US,D,20260213,000000,27.33,27.3478,27.33,27.3478,2170,0
IVSS.US,D,20260217,000000,27.33,27.5,27.11,27.3923,2189,0
IVSS.US,D,20260218,000000,27.53,27.68,27.4793,27.5488,8916,0
IVSS.US,D,20260219,000000,27.44,27.48,27.37,27.4737,4172,0
IVSS.US,D,20260220,000000,27.42,27.5559,27.34,27.5559,1291,0
IVSS.US,D,20260223,000000,27.55,28.96,26.94,27.0464,2600,0
IVSS.US,D,20260224,000000,27.39,27.39,27.2896,27.3,2349,0
IVSS.US,D,20260225,000000,27.19,27.33,27.19,27.3292,607,0
IVSS.US,D,20260226,000000,27.32,27.55,27.29,27.5026,5621,0
IVSS.US,D,20260227,000000,27.07,27.16,27.03,27.1305,2638,0
IVSS.US,D,20260302,000000,26.9233,27.3269,26.9233,27.288,1124,0
IVSS.US,D,20260303,000000,26.565,27.16,26.542,27.095,3395,0
IVSS.US,D,20260304,000000,27.1282,27.25,27.1282,27.23,53654,0
IVSS.US,D,20260305,000000,27.03,27.03,26.6104,26.71,12756,0
IVSS.US,D,20260306,000000,26.14,26.16,26.03,26.1419,8721,0
IVSS.US,D,20260309,000000,25.85,26.1282,25.5881,26.1282,2852,0
IVSS.US,D,20260311,000000,26.0751,26.0884,25.93,26.0884,14206,0
IVSS.US,D,20260312,000000,25.8563,25.9302,25.6309,25.6309,3127,0
IVSS.US,D,20260313,000000,25.71,25.71,25.57,25.6181,14540,0
IVSS.US,D,20260316,000000,25.94,25.94,25.7313,25.7313,8715,0
IVSS.US,D,20260317,000000,26.07,26.07,25.8773,25.8773,2158,0
IVSS.US,D,20260318,000000,25.75,25.75,25.5858,25.5858,497,0
IVSS.US,D,20260319,000000,25.5799,25.7471,25.5799,25.7471,8266,0
IVSS.US,D,20260320,000000,25.43,25.43,25.2599,25.2659,3541,0
IVSS.US,D,20260323,000000,26.02,26.03,25.8155,25.8155,2974,0
IVSS.US,D,20260324,000000,25.87,26.21,25.8699,26.081,980,0
