<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JATT.US,D,20260417,000000,10,10.725,9.99,10.5,279382,0
JATT.US,D,20260420,000000,10.5,10.5,10.1,10.25,24774,0
JATT.US,D,20260421,000000,10.64,10.73,10.2,10.2001,42175,0
JATT.US,D,20260422,000000,10.4,10.76,10.25,10.54,94067,0
JATT.US,D,20260423,000000,10.56,10.56,10.4271,10.4271,2468,0
JATT.US,D,20260424,000000,10.6,10.67,10.49,10.5,3539,0
JATT.US,D,20260427,000000,10.9807,11,10.6,10.94,3867,0
JATT.US,D,20260428,000000,10.5,10.919,10.5,10.919,1237,0
JATT.US,D,20260429,000000,10.39,10.8,10.31,10.65,3889,0
JATT.US,D,20260430,000000,11.31,11.31,10.5,10.5,1930,0
JATT.US,D,20260501,000000,10.51,10.9759,10.51,10.9377,1672,0
JATT.US,D,20260504,000000,10.5169,10.93,10.5,10.93,1138,0
JATT.US,D,20260506,000000,10.5116,10.52,10.5,10.51,727,0
JATT.US,D,20260507,000000,10.5301,11,10.4,10.5,8717,0
JATT.US,D,20260508,000000,10.5,10.53,10.5,10.52,1642,0
JATT.US,D,20260514,000000,10.5295,10.5466,10.5295,10.5466,313,0
JATT.US,D,20260515,000000,10.5285,10.75,10.52,10.52,1646,0
JATT.US,D,20260518,000000,10.9545,10.9545,10.9545,10.9545,390,0
JATT.US,D,20260519,000000,10.9859,10.9859,10.9859,10.9859,272,0
JATT.US,D,20260522,000000,10.9,10.9,10.9,10.9,364,0
JATT.US,D,20260527,000000,10.51,10.51,10.51,10.51,598,0
JATT.US,D,20260528,000000,10.51,10.58,10,10.42,16653,0
JATT.US,D,20260529,000000,10,10.6,10,10.51,1713,0
JATT.US,D,20260601,000000,10.1,10.6,10.1,10.55,1358,0
JATT.US,D,20260602,000000,10.55,10.595,10.53,10.595,1014,0
JATT.US,D,20260603,000000,10.42,10.43,10.42,10.43,7888,0
JATT.US,D,20260604,000000,10.47,10.47,10.47,10.47,1490,0
JATT.US,D,20260605,000000,10.43,10.4301,10.43,10.43,5587,0
JATT.US,D,20260608,000000,10.37,10.48,10.32,10.48,1118,0
JATT.US,D,20260618,000000,10.49,12.01,10.45,10.75,6676,0
JATT.US,D,20260623,000000,10.345,10.4,10.345,10.4,412,0
JATT.US,D,20260624,000000,11.1,11.1,10.3,10.45,4991,0
JATT.US,D,20260625,000000,10.4404,10.4404,10.4,10.4,1451,0
JATT.US,D,20260626,000000,10.4,10.4,10.4,10.4,428,0
JATT.US,D,20260629,000000,11.21,12.25,10.5502,11.75,528605,0
JATT.US,D,20260630,000000,11.75,11.75,11,11.36,46924,0
JATT.US,D,20260701,000000,11.3,11.51,11.24,11.495,62633,0
JATT.US,D,20260702,000000,11.5,11.98,11.5,11.76,10494,0
JATT.US,D,20260706,000000,11.98,12.32,11.98,12.3,35465,0
JATT.US,D,20260707,000000,11.79,12,11.79,12,973,0
JATT.US,D,20260708,000000,12,12.63,12,12,22987,0
JATT.US,D,20260709,000000,11.8,12.24,11.15,11.6,4869,0
JATT.US,D,20260710,000000,11.5,11.5,11.5,11.5,1782,0
JATT.US,D,20260714,000000,10.8,10.93,10.5,10.76,3611,0
JATT.US,D,20260715,000000,10.6801,11.1,10.6,10.65,8784,0
JATT.US,D,20260716,000000,10.6,11.45,10.6,11,11156,0
JATT.US,D,20260717,000000,10.9,11,10.9,11,2323,0
JATT.US,D,20260721,000000,10.9877,10.9877,10.95,10.95,909,0
JATT.US,D,20260723,000000,10.94,10.94,10.91,10.91,953,0
JATT.US,D,20260724,000000,11.91,12.2,10.91,11.31,17630,0
JATT.US,D,20260727,000000,11.3881,12.205,10.91,11.14,9978,0
JATT.US,D,20260729,000000,11.53,13.43,11.31,11.5,51170,0
JATT.US,D,20260730,000000,11.52,12.575,11.52,12.3,22385,0
JATT.US,D,20260731,000000,12.2,12.4,12.06,12.06,1359,0
JATT.US,D,20260807,000000,13.52,13.8,12.5,13.08,29918,0
JATT.US,D,20260810,000000,13,13,13,13,1168,0
JATT.US,D,20260812,000000,12.85,12.85,12.85,12.85,373,0
JATT.US,D,20260813,000000,13.0008,13.22,12.3,12.5,12848,0
JATT.US,D,20260817,000000,13.3788,13.38,12.895,13.38,8632,0
JATT.US,D,20260818,000000,12.9,13.5,12.12,13.5,5583,0
JATT.US,D,20260819,000000,13,13.65,12.63,13.525,10200,0
JATT.US,D,20260820,000000,13.7,14.5,13.22,13.78,14203,0
JATT.US,D,20260821,000000,14.4,23.76,12,13.24,217020,0
JATT.US,D,20260824,000000,12.18,13.5,12.18,13.01,16433,0
