<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JOYT.US,D,20260417,000000,55.26,55.31,55.21,55.21,5970,0
JOYT.US,D,20260420,000000,55.14,55.3,55.06,55.1821,5103,0
JOYT.US,D,20260421,000000,55.14,55.32,55.125,55.125,8300,0
JOYT.US,D,20260422,000000,55.19,55.3599,55.19,55.304,8013,0
JOYT.US,D,20260423,000000,55.22,55.38,55.092,55.225,10803,0
JOYT.US,D,20260424,000000,55.32,55.35,55.1101,55.2113,13280,0
JOYT.US,D,20260427,000000,55.13,55.3586,55.13,55.3586,12471,0
JOYT.US,D,20260428,000000,55.36,55.36,55.19,55.335,8204,0
JOYT.US,D,20260429,000000,55.4,55.45,55.29,55.39,3868,0
JOYT.US,D,20260430,000000,55.4699,55.59,55.41,55.54,5214,0
JOYT.US,D,20260501,000000,55.61,55.6899,55.52,55.5485,21717,0
JOYT.US,D,20260504,000000,55.57,55.73,55.46,55.46,11462,0
JOYT.US,D,20260505,000000,55.56,55.72,55.56,55.6442,7653,0
JOYT.US,D,20260506,000000,55.83,55.95,55.68,55.905,9273,0
JOYT.US,D,20260507,000000,55.88,56,55.71,55.7465,7221,0
JOYT.US,D,20260508,000000,55.8545,55.93,55.78,55.79,8814,0
JOYT.US,D,20260511,000000,55.73,55.96,55.73,55.8593,18014,0
JOYT.US,D,20260512,000000,55.96,55.99,55.74,55.96,3383,0
JOYT.US,D,20260513,000000,56,56.4799,56,56.16,4402,0
JOYT.US,D,20260514,000000,56.31,56.37,56.2001,56.295,3229,0
JOYT.US,D,20260515,000000,56.12,56.28,56.12,56.1703,3461,0
JOYT.US,D,20260518,000000,56.24,56.24,56.075,56.1031,4202,0
JOYT.US,D,20260519,000000,55.919552,56.21,55.8901,55.9597,13230,0
JOYT.US,D,20260520,000000,56.16,56.195,56.085,56.195,7034,0
JOYT.US,D,20260521,000000,56.18,56.25,56.145,56.23,3414,0
JOYT.US,D,20260522,000000,56.3,56.42,56.26,56.2819,4968,0
JOYT.US,D,20260526,000000,56.61,59.07,56.42,56.5813,24690,0
JOYT.US,D,20260527,000000,56.59,56.73,56.59,56.7144,5131,0
JOYT.US,D,20260528,000000,56.78,56.93,56.72,56.8406,9000,0
JOYT.US,D,20260529,000000,56.96,57,56.89,56.9425,22774,0
JOYT.US,D,20260601,000000,56.94,57.16,56.94,57.105,9686,0
JOYT.US,D,20260602,000000,57.22,57.22,57.14,57.185,7764,0
JOYT.US,D,20260603,000000,57.12,57.13,57.013,57.0731,1329,0
JOYT.US,D,20260604,000000,57.042,57.17,57.042,57.132,1132,0
JOYT.US,D,20260605,000000,56.92,56.99,56.08,56.1472,51239,0
JOYT.US,D,20260608,000000,56.65,56.67,56.21,56.27,18472,0
JOYT.US,D,20260609,000000,56.49,56.53,55.3,56.1881,9861,0
JOYT.US,D,20260610,000000,56.03,56.2,55.48,55.4967,2365,0
JOYT.US,D,20260611,000000,55.72,56.23,55.44,56.2056,4666,0
JOYT.US,D,20260612,000000,56.45,56.45,56.21,56.4322,22330,0
JOYT.US,D,20260615,000000,55.5,57.3,55.5,57.2132,6227,0
JOYT.US,D,20260616,000000,57.34,57.3799,57.1691,57.1691,3831,0
JOYT.US,D,20260617,000000,57.15,57.25,56.6009,56.6009,16200,0
JOYT.US,D,20260618,000000,57.035,57.1059,57.035,57.1059,4541,0
JOYT.US,D,20260622,000000,56.9301,57.01,56.9043,56.98,1896,0
JOYT.US,D,20260623,000000,56.37,56.42,56.2772,56.2772,26396,0
JOYT.US,D,20260624,000000,56.3319,56.48,55.91,56.0415,3102,0
JOYT.US,D,20260625,000000,56.44,56.44,55.9605,55.9605,2006,0
JOYT.US,D,20260626,000000,55.64,56.06,55.62,56.0066,3760,0
JOYT.US,D,20260629,000000,56.39,56.4716,56.39,56.4716,1909,0
JOYT.US,D,20260630,000000,56.48,56.846,56.48,56.846,2076,0
JOYT.US,D,20260701,000000,56.704,57.06,56.704,56.8371,1047,0
JOYT.US,D,20260702,000000,56.9,57.26,56.74,56.9155,8465,0
JOYT.US,D,20260706,000000,57.26,57.3,57.2,57.3,2449,0
JOYT.US,D,20260707,000000,57.11,57.28,57.105,57.24,3607,0
JOYT.US,D,20260708,000000,57.011,57.1788,56.8001,57.1788,4062,0
