<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KOYNU.US,D,20250827,000000,10.03,10.03,10,10,13580372,0
KOYNU.US,D,20250828,000000,10.02,10.05,10.02,10.05,1763072,0
KOYNU.US,D,20250829,000000,10.05,10.065,10.045,10.06,469149,0
KOYNU.US,D,20250902,000000,10.05,10.07,10.05,10.055,623339,0
KOYNU.US,D,20250903,000000,10.05,10.06,10.0346,10.04,554908,0
KOYNU.US,D,20250904,000000,10.041,10.05,10.02,10.03,265284,0
KOYNU.US,D,20250905,000000,10.04,10.04,10.03,10.035,164776,0
KOYNU.US,D,20250908,000000,10.03,10.04,10.025,10.03,60590,0
KOYNU.US,D,20250909,000000,10.035,10.04,10.03,10.04,88402,0
KOYNU.US,D,20250910,000000,10.03,10.035,10.025,10.03,101147,0
KOYNU.US,D,20250911,000000,10.03,10.05,10.03,10.05,96867,0
KOYNU.US,D,20250912,000000,10.05,10.05,10.04,10.05,396396,0
KOYNU.US,D,20250915,000000,10.05,10.05,10.0407,10.045,11031,0
KOYNU.US,D,20250916,000000,10.04,10.05,10.04,10.05,61086,0
KOYNU.US,D,20250917,000000,10.06,10.11,10.05,10.075,325554,0
KOYNU.US,D,20250918,000000,10.0966,10.12,10.07,10.1,376897,0
KOYNU.US,D,20250919,000000,10.1046,10.15,10.1046,10.14,281859,0
KOYNU.US,D,20250922,000000,10.14,10.15,10.13,10.135,58032,0
KOYNU.US,D,20250923,000000,10.19,10.19,10.12,10.12,24259,0
KOYNU.US,D,20250924,000000,10.18,10.19,10.12,10.13,3721,0
KOYNU.US,D,20250925,000000,10.1301,10.1461,10.125,10.14,76134,0
KOYNU.US,D,20250926,000000,10.11,10.13,10.11,10.13,63784,0
KOYNU.US,D,20250929,000000,10.1,10.1307,10.1,10.11,20402,0
KOYNU.US,D,20250930,000000,10.1,10.1266,10.09,10.1,20648,0
KOYNU.US,D,20251001,000000,10.09,10.1115,10.08,10.08,15457,0
KOYNU.US,D,20251002,000000,10.1001,10.1041,10.085,10.09,1176,0
KOYNU.US,D,20251003,000000,10.1001,10.1001,10.09,10.09,376,0
KOYNU.US,D,20251006,000000,10.1,10.5,10.1,10.1803,11721,0
KOYNU.US,D,20251007,000000,10.27,10.27,10.11,10.15,14751,0
KOYNU.US,D,20251008,000000,10.41,10.41,10.11,10.13,90993,0
KOYNU.US,D,20251009,000000,10.13,10.328,10.13,10.17,68023,0
KOYNU.US,D,20251010,000000,10.15,10.2268,10.14,10.2175,51785,0
KOYNU.US,D,20251013,000000,10.14,10.245,10.14,10.18,22052,0
KOYNU.US,D,20251014,000000,10.25,10.25,10.155,10.17,801,0
KOYNU.US,D,20251015,000000,10.21,10.2946,10.18,10.19,40107,0
KOYNU.US,D,20251016,000000,10.2,10.2628,10.19,10.2,5609,0
KOYNU.US,D,20251017,000000,10.19,10.2,10.19,10.2,372,0
KOYNU.US,D,20251020,000000,10.202,10.3163,10.2,10.2,11124,0
KOYNU.US,D,20251021,000000,10.255,10.2628,10.2,10.21,18281,0
KOYNU.US,D,20251022,000000,10.2201,10.2628,10.2046,10.21,24239,0
KOYNU.US,D,20251023,000000,10.21,10.2568,10.21,10.215,30082,0
KOYNU.US,D,20251024,000000,10.2084,10.22,10.2,10.22,10379,0
KOYNU.US,D,20251027,000000,10.22,10.2407,10.22,10.22,3761,0
KOYNU.US,D,20251028,000000,10.2001,10.256,10.2,10.2,7176,0
KOYNU.US,D,20251029,000000,10.22,10.22,10.2,10.2,29847,0
KOYNU.US,D,20251030,000000,10.2,10.23,10.2,10.2,25620,0
KOYNU.US,D,20251031,000000,10.21,10.2201,10.21,10.2201,683,0
KOYNU.US,D,20251103,000000,10.21,10.22,10.21,10.22,1040,0
KOYNU.US,D,20251105,000000,10.21,10.21,10.21,10.21,494,0
KOYNU.US,D,20251110,000000,10.2,10.2207,10.2,10.2207,1138,0
KOYNU.US,D,20251112,000000,10.23,10.23,10.22,10.23,4220,0
KOYNU.US,D,20251113,000000,10.23,10.3217,10.1893,10.3217,4850,0
KOYNU.US,D,20251114,000000,10.6,10.6,10.2,10.21,28140,0
KOYNU.US,D,20251117,000000,10.21,10.21,10.17,10.17,10715,0
KOYNU.US,D,20251118,000000,10.18,10.2225,10.175,10.19,35568,0
KOYNU.US,D,20251119,000000,10.2071,10.2161,10.19,10.19,8312,0
KOYNU.US,D,20251120,000000,10.2,10.211,10.2,10.211,1901,0
KOYNU.US,D,20251121,000000,10.2,10.2001,10.2,10.2,1031,0
KOYNU.US,D,20251124,000000,10.18,10.18,10.18,10.18,1401,0
KOYNU.US,D,20251125,000000,10.2014,10.2014,10.18,10.18,403,0
KOYNU.US,D,20251126,000000,10.18,10.1801,10.18,10.1801,210,0
KOYNU.US,D,20251128,000000,10.18,10.18,10.18,10.18,513,0
KOYNU.US,D,20251201,000000,10.16,10.3352,10.16,10.25,98003,0
KOYNU.US,D,20251202,000000,10.22,10.235,10.2,10.2,742,0
KOYNU.US,D,20251203,000000,10.2001,10.21,10.2,10.2,2223,0
KOYNU.US,D,20251204,000000,10.219,10.219,10.15,10.17,8077,0
KOYNU.US,D,20251205,000000,10.1801,10.2126,10.15,10.15,9419,0
KOYNU.US,D,20251208,000000,10.15,10.15,10.15,10.15,154,0
KOYNU.US,D,20251209,000000,10.15,10.15,10.14,10.14,1188,0
KOYNU.US,D,20251210,000000,10.15,10.15,10.15,10.15,143,0
KOYNU.US,D,20251211,000000,10.15,10.15,10.15,10.15,390,0
KOYNU.US,D,20251212,000000,10.15,10.15,10.14,10.14,2870,0
KOYNU.US,D,20251215,000000,10.14,10.1401,10.14,10.1401,2372,0
KOYNU.US,D,20251216,000000,10.1536,10.1536,10.12,10.12,16126,0
KOYNU.US,D,20251217,000000,10.25,10.25,10.15,10.15,2104,0
KOYNU.US,D,20251218,000000,10.14,10.14,10.12,10.12,6541,0
KOYNU.US,D,20251219,000000,10.13,10.13,10.12,10.12,3508,0
KOYNU.US,D,20251229,000000,10.12,10.12,10.12,10.12,1957,0
KOYNU.US,D,20251230,000000,10.14,10.14,10.14,10.14,1196,0
KOYNU.US,D,20251231,000000,10.12,10.12,10.12,10.12,487,0
KOYNU.US,D,20260102,000000,10.12,10.12,10.12,10.12,2563,0
KOYNU.US,D,20260105,000000,10.12,10.125,10.115,10.125,31419,0
KOYNU.US,D,20260106,000000,10.11,10.11,10.11,10.11,342,0
KOYNU.US,D,20260107,000000,10.1118,10.1118,10.1118,10.1118,100,0
KOYNU.US,D,20260108,000000,10.11,10.1101,10.11,10.1101,347,0
KOYNU.US,D,20260109,000000,10.11,10.11,10.11,10.11,125,0
KOYNU.US,D,20260112,000000,10.14,10.18,10.12,10.18,16387,0
KOYNU.US,D,20260113,000000,10.18,10.18,10.13,10.15,12412,0
KOYNU.US,D,20260114,000000,10.16,10.17,10.13,10.1301,1727,0
KOYNU.US,D,20260115,000000,10.17,10.17,10.17,10.17,220,0
KOYNU.US,D,20260120,000000,10.15,10.15,10.13,10.1301,14425,0
KOYNU.US,D,20260121,000000,10.15,10.1501,10.145,10.1501,9738,0
KOYNU.US,D,20260122,000000,10.17,10.17,10.17,10.17,130,0
KOYNU.US,D,20260126,000000,10.17,10.17,10.145,10.155,10464,0
KOYNU.US,D,20260127,000000,10.1,10.17,10.1,10.16,3015,0
KOYNU.US,D,20260128,000000,10.17,10.17,10.17,10.17,100,0
KOYNU.US,D,20260129,000000,10.17,10.17,10.16,10.16,608,0
KOYNU.US,D,20260130,000000,10.16,10.16,10.15,10.16,4906,0
KOYNU.US,D,20260202,000000,10.17,10.17,10.17,10.17,100,0
KOYNU.US,D,20260204,000000,10.17,10.17,10.17,10.17,100,0
KOYNU.US,D,20260205,000000,10.17,10.17,10.15,10.15,1521,0
KOYNU.US,D,20260209,000000,10.15,10.18,10.15,10.17,876,0
KOYNU.US,D,20260210,000000,10.2,10.2,10.2,10.2,100,0
KOYNU.US,D,20260211,000000,10.2,10.2,10.2,10.2,100,0
KOYNU.US,D,20260212,000000,10.2,10.2,10.16,10.16,928,0
KOYNU.US,D,20260217,000000,10.16,10.16,10.16,10.16,106,0
KOYNU.US,D,20260219,000000,10.1718,10.1718,10.1718,10.1718,400,0
KOYNU.US,D,20260220,000000,10.16,10.16,10.16,10.16,107,0
KOYNU.US,D,20260223,000000,10.16,10.16,10.16,10.16,100,0
KOYNU.US,D,20260224,000000,10.16,10.18,10.16,10.18,700,0
KOYNU.US,D,20260226,000000,10.16,10.16,10.16,10.16,132,0
KOYNU.US,D,20260227,000000,10.16,10.16,10.16,10.16,100,0
KOYNU.US,D,20260304,000000,10.15,10.15,10.13,10.13,251,0
KOYNU.US,D,20260305,000000,10.15,10.15,10.15,10.15,650,0
KOYNU.US,D,20260306,000000,10.15,10.15,10.14,10.15,1494,0
