<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MF.US,D,20240328,000000,2000,2160,1600,1640,4271.2,0
MF.US,D,20240401,000000,1624,1976,1624,1824,2273.3475,0
MF.US,D,20240402,000000,1868,1996,1844,1976,2142.205,0
MF.US,D,20240403,000000,2000,2000,1924,1976,1167.6525,0
MF.US,D,20240404,000000,1920,2140,1920,1988,1652.2875000000001,0
MF.US,D,20240405,000000,2020,2080,1960,1992.24,246.59,0
MF.US,D,20240408,000000,2000,2040,1980,2000,433.4075,0
MF.US,D,20240409,000000,2016,2080,1984,2024,222.9375,0
MF.US,D,20240410,000000,2036,2040,1984,2000,146.70250000000001,0
MF.US,D,20240411,000000,1988,2008,1720,1804.2,202.26250000000002,0
MF.US,D,20240412,000000,1796,1900,1680.04,1860,139.5475,0
MF.US,D,20240415,000000,1858,2040,1800.04,1960,610.3050000000001,0
MF.US,D,20240416,000000,1956,2000,1880,1888,616.785,0
MF.US,D,20240417,000000,1952,1960,1800.24,1960,41.9675,0
MF.US,D,20240418,000000,1888,1959.96,1704,1807.8,187.42000000000002,0
MF.US,D,20240419,000000,1664,1860,1664,1836,37.6625,0
MF.US,D,20240422,000000,1832,2000,1802.24,1984,62.0625,0
MF.US,D,20240423,000000,1852,1852,1820,1852,2.13,0
MF.US,D,20240424,000000,1692,1968,1692,1876,23.81,0
MF.US,D,20240425,000000,1840,1915.96,1809.12,1912,5.0825000000000005,0
MF.US,D,20240426,000000,1886,1886,1800.04,1840,8.16,0
MF.US,D,20240429,000000,1844,1888,1840,1844,4.3525,0
MF.US,D,20240430,000000,1820,1848,1744,1806,34.535000000000004,0
MF.US,D,20240501,000000,1776,1852.4,1776,1844,5.1175,0
MF.US,D,20240502,000000,1852,1853,1804,1804.04,7.57,0
MF.US,D,20240503,000000,1772,1892,1760.04,1848,10.21,0
MF.US,D,20240506,000000,1844,2004,1828,1940,115.875,0
MF.US,D,20240507,000000,2000,2120,1932,1952,41.39,0
MF.US,D,20240508,000000,1996,2100,1920.04,2100,31.05,0
MF.US,D,20240509,000000,2084,2092,1964,2000,8.96,0
MF.US,D,20240510,000000,1980,2100,1960.04,2070.64,19.8875,0
MF.US,D,20240513,000000,2120,2120,2000,2048,14.34,0
MF.US,D,20240514,000000,2124,2124,1920,1920,16.9125,0
MF.US,D,20240515,000000,2096,2116,2000,2044,9.5825,0
MF.US,D,20240516,000000,2028.6,2120,1983.56,2120,14.52,0
MF.US,D,20240517,000000,2112,2140,1908,2140,15.07,0
MF.US,D,20240520,000000,2124,2140,1996,2004,26.9425,0
MF.US,D,20240521,000000,1800,2040,1568,2000,339.27,0
MF.US,D,20240522,000000,2000,2040,1740,2000,131.26,0
MF.US,D,20240523,000000,1908,2556,1820,2195.8,395.665,0
MF.US,D,20240524,000000,2232,2273.48,2000,2240,232.915,0
MF.US,D,20240528,000000,2244,2600,2240,2472,217.535,0
MF.US,D,20240529,000000,2472,3200,2400,2664,545.51,0
MF.US,D,20240530,000000,2880,3152,2600,3092,154.37,0
MF.US,D,20240531,000000,3192,3300,2692,2752,199.8,0
MF.US,D,20240603,000000,2788,2974,2788,2840,61.6225,0
