<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MIACU.US,D,20260706,000000,10,10.01,9.97,9.98,1746638,0
MIACU.US,D,20260707,000000,9.985,10,9.98,10,88681,0
MIACU.US,D,20260708,000000,9.91,9.99,9.91,9.98,19785,0
MIACU.US,D,20260709,000000,9.99,9.99,9.99,9.99,144,0
MIACU.US,D,20260710,000000,9.9768,9.98,9.9768,9.98,595033,0
MIACU.US,D,20260714,000000,9.99,9.99,9.9745,9.98,3198,0
MIACU.US,D,20260715,000000,9.98,9.98,9.98,9.98,50100,0
MIACU.US,D,20260716,000000,9.98,9.99,9.98,9.99,901,0
MIACU.US,D,20260717,000000,9.98,9.98,9.98,9.98,200000,0
MIACU.US,D,20260720,000000,9.97,9.98,9.97,9.98,200169,0
MIACU.US,D,20260721,000000,9.971,10,9.97,10,11646,0
MIACU.US,D,20260722,000000,9.99,9.99,9.97,9.98,20275,0
MIACU.US,D,20260723,000000,9.97,9.98,9.97,9.98,3647,0
MIACU.US,D,20260724,000000,9.99,9.99,9.98,9.98,1324,0
MIACU.US,D,20260727,000000,9.99,9.99,9.99,9.99,100,0
MIACU.US,D,20260728,000000,9.99,9.99,9.97,9.98,6665,0
MIACU.US,D,20260729,000000,9.97,9.98,9.97,9.98,14316,0
MIACU.US,D,20260731,000000,9.98,10,9.97,9.99,4159,0
MIACU.US,D,20260804,000000,10,10,10,10,542,0
MIACU.US,D,20260805,000000,9.98,9.98,9.98,9.98,422,0
MIACU.US,D,20260807,000000,9.99,10.485,9.97,9.9701,12641,0
MIACU.US,D,20260810,000000,9.97,9.98,9.97,9.97,2638,0
MIACU.US,D,20260811,000000,9.97,9.97,9.97,9.97,23987,0
MIACU.US,D,20260812,000000,9.97,9.97,9.97,9.97,755,0
MIACU.US,D,20260817,000000,9.971,9.971,9.97,9.97,863,0
MIACU.US,D,20260818,000000,9.97,9.97,9.945,9.96,23733,0
MIACU.US,D,20260819,000000,9.961,9.97,9.96,9.97,333,0
MIACU.US,D,20260821,000000,9.95,9.97,9.95,9.97,8497,0
MIACU.US,D,20260824,000000,9.97,9.97,9.95,9.97,88025,0
