<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLCIL.US,D,20260202,000000,24,24.5,23.95,24.28,58677,0
MLCIL.US,D,20260203,000000,24.28,24.28,24,24.2,30134,0
MLCIL.US,D,20260204,000000,24.36,24.36,24.1,24.1,4402,0
MLCIL.US,D,20260205,000000,24.2,24.2,24.04,24.04,8034,0
MLCIL.US,D,20260206,000000,24.24,24.25,24.05,24.15,3939,0
MLCIL.US,D,20260209,000000,24.24,24.3,24.24,24.3,1000,0
MLCIL.US,D,20260210,000000,24.2,24.29,24.06,24.2,3959,0
MLCIL.US,D,20260211,000000,24.1,24.1,23.57,23.8999,13741,0
MLCIL.US,D,20260212,000000,23.68,23.7999,23.15,23.52,7988,0
MLCIL.US,D,20260213,000000,23.49,23.64,23.335,23.64,1590,0
MLCIL.US,D,20260217,000000,23.537,23.88,23.42,23.65,9256,0
MLCIL.US,D,20260218,000000,23.4469,24,23.4469,23.99,4574,0
MLCIL.US,D,20260219,000000,23.9999,23.9999,23.71,23.82,575,0
MLCIL.US,D,20260220,000000,23.97,23.97,23.47,23.9499,2502,0
MLCIL.US,D,20260223,000000,23.95,23.95,23.44,23.64,1442,0
MLCIL.US,D,20260224,000000,23.6501,23.78,23.64,23.78,2800,0
MLCIL.US,D,20260225,000000,23.8,23.95,23.5864,23.73,7013,0
MLCIL.US,D,20260226,000000,23.73,23.8,23.5275,23.65,4771,0
MLCIL.US,D,20260227,000000,23.55,23.9199,23.55,23.61,2347,0
MLCIL.US,D,20260302,000000,23.55,23.7999,23.52,23.66,1276,0
MLCIL.US,D,20260303,000000,23.6996,23.6996,23,23,13137,0
MLCIL.US,D,20260304,000000,23.15,23.2199,23.06,23.06,1705,0
MLCIL.US,D,20260305,000000,23.5,23.5,23.4974,23.4995,3474,0
MLCIL.US,D,20260306,000000,23,23,23,23,261,0
MLCIL.US,D,20260309,000000,23.27,23.5,23.02,23.135,32353,0
MLCIL.US,D,20260310,000000,23.19,23.25,21.9701,23,12275,0
MLCIL.US,D,20260311,000000,23.1,23.19,22.97,23.02,18330,0
MLCIL.US,D,20260312,000000,23,23.15,22.49,23,26996,0
MLCIL.US,D,20260313,000000,23,23.15,23,23.13,8034,0
MLCIL.US,D,20260317,000000,23.21,23.25,23.13,23.2,3749,0
MLCIL.US,D,20260318,000000,23.15,23.5,23.1,23.4,15524,0
MLCIL.US,D,20260319,000000,23.01,23.15,22.9,23,25173,0
MLCIL.US,D,20260320,000000,23.075,23.075,23.075,23.075,333,0
MLCIL.US,D,20260323,000000,23.3762,23.3762,23,23,2048,0
MLCIL.US,D,20260324,000000,23.125,23.125,23.125,23.125,281,0
MLCIL.US,D,20260325,000000,23,23.14,22.99,23.08,7472,0
MLCIL.US,D,20260326,000000,23,23,22.85,22.94,12332,0
MLCIL.US,D,20260327,000000,22.965,23,22.91,23,19745,0
MLCIL.US,D,20260331,000000,23.24,23.24,22.9501,23.24,1297,0
MLCIL.US,D,20260402,000000,23.1,23.1,23.1,23.1,100,0
MLCIL.US,D,20260406,000000,23.24,23.24,23.115,23.22,1038,0
MLCIL.US,D,20260408,000000,23.2,23.21,23.18,23.2,6062,0
MLCIL.US,D,20260409,000000,23.2495,23.47,23.2001,23.35,8071,0
MLCIL.US,D,20260413,000000,23.495,23.495,23.495,23.495,902,0
MLCIL.US,D,20260414,000000,23.4128,23.478,23.24,23.24,870,0
MLCIL.US,D,20260415,000000,23.0001,23.0001,23.0001,23.0001,1065,0
MLCIL.US,D,20260416,000000,23.13,23.13,23,23,1263,0
MLCIL.US,D,20260417,000000,23,23,23,23,1119,0
MLCIL.US,D,20260420,000000,22.87,23.1499,22.87,23.1499,2315,0
MLCIL.US,D,20260421,000000,23.14,23.14,22.51,23.1,6012,0
MLCIL.US,D,20260422,000000,23.13,23.3499,23.13,23.275,2363,0
MLCIL.US,D,20260423,000000,23.3,23.31,23.3,23.3,1200,0
MLCIL.US,D,20260424,000000,23.36,23.36,23.36,23.36,429,0
MLCIL.US,D,20260427,000000,23.4999,23.4999,23.36,23.4475,3081,0
