<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUYY.US,D,20260414,000000,25.1,25.614,25.1,25.614,4926,0
MUYY.US,D,20260415,000000,25.61,25.62,25.31,25.6,3815,0
MUYY.US,D,20260416,000000,25.5499,25.73,25.5,25.7189,11346,0
MUYY.US,D,20260417,000000,25.4,25.41,25.225,25.3071,5194,0
MUYY.US,D,20260420,000000,25.43,25.475,25.32,25.475,3874,0
MUYY.US,D,20260421,000000,25.5,25.5,25.3,25.3962,6051,0
MUYY.US,D,20260422,000000,25.69,26.0399,25.64,25.99,8874,0
MUYY.US,D,20260423,000000,25.96,26.11,25.86,26.0277,9613,0
MUYY.US,D,20260424,000000,25.71,25.76,25.5801,25.67,17647,0
MUYY.US,D,20260427,000000,25.78,25.83,25.7,25.805,8930,0
MUYY.US,D,20260428,000000,25.48,25.64,25.27,25.42,11468,0
MUYY.US,D,20260429,000000,25.7797,25.79,25.51,25.6465,7604,0
MUYY.US,D,20260430,000000,25.92,25.92,25.45,25.6372,38333,0
MUYY.US,D,20260501,000000,24.93,25.785,24.93,25.7717,26847,0
MUYY.US,D,20260504,000000,25.99,26.185,25.96,26.115,12004,0
MUYY.US,D,20260505,000000,26.4,26.75,26.4,26.545,12749,0
MUYY.US,D,20260506,000000,26.8,26.8,26.575,26.67,11540,0
MUYY.US,D,20260507,000000,26.68,26.77,26.6399,26.725,37444,0
MUYY.US,D,20260508,000000,26.02,26.27,25.96,26.24,13380,0
MUYY.US,D,20260511,000000,26.37,26.54,26.18,26.475,25967,0
MUYY.US,D,20260512,000000,26.2525,26.34,25.76,26.2428,21641,0
MUYY.US,D,20260513,000000,26.56,26.73,26.36,26.5937,33558,0
MUYY.US,D,20260514,000000,26.57,26.81,26.53,26.64,48856,0
MUYY.US,D,20260515,000000,25.57,25.72,25.255,25.2629,31243,0
MUYY.US,D,20260518,000000,25.23,25.28,24.81,24.855,17446,0
MUYY.US,D,20260519,000000,24.78,25.17,24.61,24.925,30234,0
MUYY.US,D,20260520,000000,25.1142,25.24,25,25.1752,23491,0
MUYY.US,D,20260521,000000,25.27,25.45,25.24,25.425,82211,0
MUYY.US,D,20260522,000000,25.05,25.07,24.82,24.935,30637,0
MUYY.US,D,20260526,000000,25.17,25.26,25.1,25.19,57539,0
MUYY.US,D,20260527,000000,25.35,25.38,25.11,25.38,80478,0
MUYY.US,D,20260528,000000,25.58,25.58,25.181,25.375,133545,0
MUYY.US,D,20260529,000000,25,25.08,24.91,25.06,55432,0
MUYY.US,D,20260601,000000,25.09,25.31,25.09,25.31,62820,0
MUYY.US,D,20260602,000000,25.3,25.39,25.13,25.3,63549,0
MUYY.US,D,20260603,000000,25.37,25.38,25.1,25.365,40069,0
MUYY.US,D,20260604,000000,25.22,25.32,24.94,25.0557,162316,0
MUYY.US,D,20260605,000000,24.24,24.4493,23.95,24.02,69246,0
MUYY.US,D,20260608,000000,24.32,24.4,24.09,24.1931,78577,0
MUYY.US,D,20260609,000000,24.33,24.35,23.89,24.17,53466,0
MUYY.US,D,20260610,000000,24.26,24.42,23.92,24,58336,0
MUYY.US,D,20260611,000000,24.1,24.53,24.085,24.53,92374,0
MUYY.US,D,20260612,000000,24.08,24.09,23.87,24.01,51050,0
MUYY.US,D,20260615,000000,24.23,24.32,24.16,24.28,68933,0
MUYY.US,D,20260616,000000,24.4,24.4,24.2,24.2,51875,0
MUYY.US,D,20260617,000000,24.31,24.37,24.2201,24.3164,49308,0
MUYY.US,D,20260618,000000,24.13,24.23,24.042,24.1601,88500,0
MUYY.US,D,20260622,000000,24.235,24.3399,24.23,24.3353,59248,0
MUYY.US,D,20260623,000000,24.05,24.19,23.8099,23.96,73398,0
MUYY.US,D,20260624,000000,24.01,24.1,23.445,23.99,71956,0
MUYY.US,D,20260625,000000,24.42,24.47,24.03,24.3724,187926,0
MUYY.US,D,20260626,000000,23.38,24.1,23.1,23.83,99930,0
MUYY.US,D,20260629,000000,23.85,23.95,23.29,23.7287,48140,0
MUYY.US,D,20260630,000000,23.78,23.97,23.71,23.91,70799,0
MUYY.US,D,20260701,000000,23.64,23.64,23.31,23.4,95663,0
MUYY.US,D,20260702,000000,22.99,22.99,22.54,22.5666,207900,0
MUYY.US,D,20260706,000000,22.3,22.77,22.13,22.595,86903,0
MUYY.US,D,20260707,000000,22.29,22.29,22.1,22.245,55125,0
MUYY.US,D,20260708,000000,22.14,22.46,22.01,22.23,83844,0
MUYY.US,D,20260709,000000,22.35,22.54,22.3214,22.4,141394,0
MUYY.US,D,20260710,000000,21.91,22.08,21.8749,22.06,56888,0
MUYY.US,D,20260713,000000,21.71,21.82,21.555,21.72,76932,0
MUYY.US,D,20260714,000000,21.9484,21.9765,21.72,21.94,145427,0
MUYY.US,D,20260715,000000,22.01,22.01,21.115,21.2699,69310,0
MUYY.US,D,20260716,000000,20.95,21.048,20.74,20.8206,44715,0
MUYY.US,D,20260717,000000,20.32,20.65,20.21,20.447,54566,0
MUYY.US,D,20260720,000000,20.55,20.645,20.421,20.45,31121,0
MUYY.US,D,20260721,000000,20.69,20.88,20.69,20.865,43781,0
MUYY.US,D,20260722,000000,20.8,20.9499,20.8,20.905,26292,0
MUYY.US,D,20260723,000000,20.91,21.05,20.77,20.9906,72747,0
MUYY.US,D,20260724,000000,20.55,20.61,20.4,20.4174,29235,0
MUYY.US,D,20260727,000000,20.45,20.5599,20.13,20.304,43533,0
MUYY.US,D,20260728,000000,20.06,20.06,19.79,19.9342,55651,0
MUYY.US,D,20260729,000000,20.03,20.03,19.8001,19.89,25540,0
MUYY.US,D,20260730,000000,19.92,20.18,19.92,20.14,59512,0
MUYY.US,D,20260731,000000,20.04,20.05,19.7235,19.75,44613,0
MUYY.US,D,20260803,000000,19.51,19.73,19.51,19.7,104510,0
MUYY.US,D,20260804,000000,19.83,19.95,19.82,19.831,34150,0
MUYY.US,D,20260805,000000,19.83,19.9033,19.81,19.81,23531,0
MUYY.US,D,20260806,000000,19.65,19.8973,19.6012,19.8269,70390,0
MUYY.US,D,20260807,000000,19.615,19.615,19.4406,19.5424,25117,0
MUYY.US,D,20260810,000000,19.52,19.65,19.46,19.4999,40413,0
MUYY.US,D,20260811,000000,19.58,19.58,19.37,19.4843,27828,0
MUYY.US,D,20260812,000000,19.79,19.94,19.65,19.9237,28826,0
MUYY.US,D,20260813,000000,19.915,20.11,19.915,20.0623,50290,0
MUYY.US,D,20260814,000000,19.89,19.89,19.79,19.8429,31291,0
MUYY.US,D,20260817,000000,19.87,19.9899,19.72,19.9502,29871,0
MUYY.US,D,20260818,000000,19.88,19.885,19.71,19.7614,24305,0
MUYY.US,D,20260819,000000,19.7364,19.7799,19.7,19.7347,7895,0
MUYY.US,D,20260820,000000,19.72,19.9891,19.72,19.9891,71922,0
MUYY.US,D,20260821,000000,19.86,19.91,19.695,19.9,30544,0
MUYY.US,D,20260824,000000,19.59,19.59,19.26,19.444,14437,0
