<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MUZEU.US,D,20260130,000000,10.01,10.03,10,10,8620988,0
MUZEU.US,D,20260202,000000,10.01,10.03,10,10,860780,0
MUZEU.US,D,20260203,000000,10.005,10.01,9.99,9.995,189222,0
MUZEU.US,D,20260204,000000,10.005,10.03,9.99,9.995,69998,0
MUZEU.US,D,20260205,000000,10,10,9.99,9.99,67522,0
MUZEU.US,D,20260206,000000,9.995,10,9.9801,9.9801,67079,0
MUZEU.US,D,20260209,000000,9.99,9.99,9.9822,9.99,9608,0
MUZEU.US,D,20260210,000000,9.985,10,9.98,10,114466,0
MUZEU.US,D,20260211,000000,9.985,9.99,9.985,9.99,850,0
MUZEU.US,D,20260212,000000,9.99,9.99,9.98,9.98,3415,0
MUZEU.US,D,20260213,000000,9.985,9.985,9.98,9.98,113519,0
MUZEU.US,D,20260217,000000,9.96,9.99,9.95,9.99,78170,0
MUZEU.US,D,20260218,000000,9.9708,9.99,9.9708,9.99,712,0
MUZEU.US,D,20260220,000000,9.95,9.995,9.95,9.99,342950,0
MUZEU.US,D,20260223,000000,9.99,9.99,9.98,9.98,8840,0
MUZEU.US,D,20260224,000000,9.97,9.97,9.97,9.97,28100,0
MUZEU.US,D,20260225,000000,9.98,9.98,9.97,9.97,113900,0
MUZEU.US,D,20260226,000000,9.97,9.97,9.94,9.965,57955,0
MUZEU.US,D,20260303,000000,9.97,9.97,9.97,9.97,1510,0
MUZEU.US,D,20260305,000000,9.965,9.97,9.965,9.9699,1831,0
MUZEU.US,D,20260309,000000,9.97,9.97,9.97,9.97,7605,0
MUZEU.US,D,20260310,000000,9.96,9.96,9.96,9.96,293672,0
MUZEU.US,D,20260312,000000,9.955,9.955,9.955,9.955,400,0
MUZEU.US,D,20260313,000000,9.95,9.95,9.95,9.95,1000,0
MUZEU.US,D,20260317,000000,9.9433,9.9433,9.9433,9.9433,100,0
MUZEU.US,D,20260319,000000,9.94,9.94,9.94,9.94,3600,0
MUZEU.US,D,20260320,000000,9.95,9.95,9.9499,9.9499,5900,0
MUZEU.US,D,20260323,000000,9.96,9.96,9.96,9.96,8019,0
MUZEU.US,D,20260324,000000,9.98,9.98,9.95,9.966,14093,0
MUZEU.US,D,20260326,000000,9.95,9.95,9.95,9.95,2721,0
MUZEU.US,D,20260327,000000,9.94,9.94,9.94,9.94,8820,0
MUZEU.US,D,20260330,000000,9.94,9.94,9.94,9.94,20030,0
MUZEU.US,D,20260331,000000,9.93,9.93,9.93,9.93,30198,0
MUZEU.US,D,20260401,000000,9.95,9.96,9.945,9.96,5449,0
MUZEU.US,D,20260402,000000,9.95,9.95,9.95,9.95,1441,0
MUZEU.US,D,20260408,000000,9.95,9.95,9.95,9.95,735,0
MUZEU.US,D,20260409,000000,9.96,9.96,9.96,9.96,5011,0
MUZEU.US,D,20260414,000000,9.96,9.96,9.93,9.94,15534,0
MUZEU.US,D,20260415,000000,9.945,9.945,9.945,9.945,270,0
MUZEU.US,D,20260416,000000,9.97,9.975,9.97,9.975,126817,0
MUZEU.US,D,20260417,000000,9.97,9.97,9.97,9.97,10181,0
MUZEU.US,D,20260422,000000,9.97,9.97,9.97,9.97,5008,0
MUZEU.US,D,20260423,000000,9.99,9.99,9.99,9.99,5044,0
MUZEU.US,D,20260429,000000,10.01,10.01,10.01,10.01,2475,0
MUZEU.US,D,20260506,000000,9.995,9.995,9.995,9.995,303,0
MUZEU.US,D,20260511,000000,10.01,10.01,10.01,10.01,1900,0
MUZEU.US,D,20260520,000000,10.015,10.02,10.015,10.02,4600,0
MUZEU.US,D,20260521,000000,10.03,10.03,10.03,10.03,3785,0
MUZEU.US,D,20260527,000000,10.19,10.36,10.03,10.03,3460,0
MUZEU.US,D,20260528,000000,10.03,10.03,10.03,10.03,311,0
MUZEU.US,D,20260609,000000,10.04,10.34,10.04,10.19,414,0
MUZEU.US,D,20260610,000000,10.05,10.34,10.05,10.34,400,0
MUZEU.US,D,20260611,000000,10.34,11.2,10.12,10.25,3804,0
MUZEU.US,D,20260612,000000,10.09,10.09,10.05,10.07,400,0
MUZEU.US,D,20260615,000000,10.05,10.05,10.05,10.05,208,0
MUZEU.US,D,20260616,000000,10.25,10.25,10.04,10.04,2234,0
MUZEU.US,D,20260707,000000,10.19,10.19,10.19,10.19,120,0
MUZEU.US,D,20260723,000000,10.39,10.5,10.39,10.46,900,0
MUZEU.US,D,20260728,000000,10.11,10.42,10.08,10.42,3122,0
MUZEU.US,D,20260731,000000,10.2,10.2,10.08,10.08,10200,0
