<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEWTG.US,D,20240603,000000,24.98,25.08,24.88,25,74052,0
NEWTG.US,D,20240604,000000,25.02,25.0999,24.9997,25.03,58244,0
NEWTG.US,D,20240605,000000,25.1,25.1,25.01,25.03,44108,0
NEWTG.US,D,20240606,000000,25.04,25.1,24.975,25.1,57009,0
NEWTG.US,D,20240607,000000,25.07,25.1,25.02,25.06,3389,0
NEWTG.US,D,20240610,000000,25.06,25.1,25.06,25.1,14774,0
NEWTG.US,D,20240611,000000,25.08,25.12,25.08,25.11,16214,0
NEWTG.US,D,20240612,000000,25.12,25.199,25.1,25.15,14774,0
NEWTG.US,D,20240613,000000,25.16,25.16,25.1001,25.12,5585,0
NEWTG.US,D,20240614,000000,25.11,25.15,25.05,25.15,5393,0
NEWTG.US,D,20240617,000000,25.1,25.25,25.1,25.11,2670,0
NEWTG.US,D,20240618,000000,25.1201,25.1899,25.12,25.13,3071,0
NEWTG.US,D,20240620,000000,25.13,25.13,25.0501,25.1,13459,0
NEWTG.US,D,20240621,000000,25.11,25.16,25.03,25.04,56477,0
NEWTG.US,D,20240624,000000,25.05,25.11,25.01,25.01,51188,0
NEWTG.US,D,20240625,000000,25.07,25.08,25.05,25.05,30063,0
NEWTG.US,D,20240626,000000,25.075,25.09,25,25.05,16659,0
NEWTG.US,D,20240627,000000,25.07,25.07,24.99,25,13370,0
NEWTG.US,D,20240628,000000,25.0499,25.0499,24.96,24.973,14494,0
NEWTG.US,D,20240701,000000,25.01,25.03,24.99,25.03,17472,0
NEWTG.US,D,20240702,000000,25.09,25.09,25,25,28049,0
NEWTG.US,D,20240703,000000,25.03,25.03,25,25,16036,0
NEWTG.US,D,20240705,000000,25.07,25.07,25.005,25.01,13644,0
NEWTG.US,D,20240708,000000,25.07,25.1,25.02,25.02,25778,0
