<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NHIV.US,D,20260608,000000,10.5,11.5,9.8,10.05,15487,0
NHIV.US,D,20260609,000000,10,10,10,10,1224,0
NHIV.US,D,20260612,000000,9.86,10,9.86,9.95,1212,0
NHIV.US,D,20260615,000000,9.94,10,9.94,10,65042,0
NHIV.US,D,20260616,000000,10,10,10,10,205,0
NHIV.US,D,20260623,000000,9.96,10,9.96,10,2016,0
NHIV.US,D,20260630,000000,10,10,10,10,11009,0
NHIV.US,D,20260701,000000,10,10,10,10,15332,0
NHIV.US,D,20260702,000000,10.07,10.07,10.07,10.07,7799,0
NHIV.US,D,20260706,000000,10.08,10.08,10.08,10.08,81681,0
NHIV.US,D,20260708,000000,10.08,10.08,10.08,10.08,4923,0
NHIV.US,D,20260709,000000,10.08,10.08,10.06,10.065,810,0
NHIV.US,D,20260714,000000,10.08,10.08,10.06,10.08,872607,0
NHIV.US,D,20260715,000000,10.1,10.1,10.1,10.1,214,0
NHIV.US,D,20260716,000000,10.08,10.1,10.08,10.1,915,0
NHIV.US,D,20260717,000000,10.08,10.08,10.08,10.08,219,0
NHIV.US,D,20260720,000000,10.1,10.1,10.07,10.1,474,0
NHIV.US,D,20260721,000000,10.075,10.09,10.05,10.09,27387,0
NHIV.US,D,20260722,000000,10.085,10.085,10.085,10.085,606,0
NHIV.US,D,20260723,000000,10.09,10.095,10.09,10.09,12232,0
NHIV.US,D,20260724,000000,10.09,10.1,10.09,10.1,1516,0
NHIV.US,D,20260727,000000,10.1,10.1,10.095,10.1,6228,0
NHIV.US,D,20260728,000000,10.09,10.1,10.09,10.1,621,0
NHIV.US,D,20260729,000000,10.1,10.1,10.1,10.1,6416,0
NHIV.US,D,20260730,000000,10.1,10.1,10.1,10.1,511,0
NHIV.US,D,20260803,000000,10.16,10.16,10.16,10.16,1006,0
NHIV.US,D,20260812,000000,10.15,10.15,10.13,10.13,23416,0
NHIV.US,D,20260813,000000,10.15,10.15,10.15,10.15,1026,0
NHIV.US,D,20260817,000000,10.12,10.12,10.09,10.1134,2820,0
NHIV.US,D,20260819,000000,10.09,10.1134,10.09,10.1134,2816,0
NHIV.US,D,20260821,000000,10.12,10.12,10.12,10.12,17829,0
NHIV.US,D,20260824,000000,10.09,10.09,10.09,10.09,189,0
