<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NIPG.US,D,20240726,000000,393.3,393.597,241.2,270.6,35756.66663091,0
NIPG.US,D,20240729,000000,302.7,502.5,300,495,234616.43309871687,0
NIPG.US,D,20240730,000000,466.5,532.8,323.4,369,84311.46658235519,0
NIPG.US,D,20240731,000000,335.7,352.2,315.309,324.3,31251.966635414698,0
NIPG.US,D,20240801,000000,348,358.5,317.7,327,21038.5333122948,0
NIPG.US,D,20240802,000000,324,324,258,273,24170.333309162997,0
NIPG.US,D,20240805,000000,219.6,308.1,211.803,277.2,22844.8333104885,0
NIPG.US,D,20240806,000000,276,288,260.1,274.5,12722.499987277499,0
NIPG.US,D,20240807,000000,271.8,280.8,231.9,244.5,10893.499989106498,0
NIPG.US,D,20240808,000000,247.5,253.5,239.4,242.7,5111.666661554999,0
NIPG.US,D,20240809,000000,248.4,253.5,238.5,247.2,5355.999994643999,0
NIPG.US,D,20240812,000000,243.3,252.9,234.024,242.4,6588.133326745199,0
NIPG.US,D,20240813,000000,242.1,242.1,219,223.5,8651.0999913489,0
NIPG.US,D,20240814,000000,222.9,225.9,198,201.9,17213.799982786197,0
NIPG.US,D,20240815,000000,208.5,229.2,208.5,225.6,8897.7999911022,0
NIPG.US,D,20240816,000000,228,263.1,225,257.7,13539.3666531273,0
NIPG.US,D,20240819,000000,254.4,272.7,242.7,251.4,9427.733323905599,0
NIPG.US,D,20240820,000000,251.4,261.3,238.2,258.6,7463.0999925369,0
NIPG.US,D,20240821,000000,256.5,261.3,245.4,252.9,5325.733328007599,0
NIPG.US,D,20240822,000000,255.999,255.999,240.003,247.8,3329.4666633372,0
NIPG.US,D,20240823,000000,245.7,253.2,238.2,243,1757.0666649096,0
NIPG.US,D,20240826,000000,249.3,249.3,232.5,238.65,4307.766662358899,0
NIPG.US,D,20240827,000000,238.5,239.7,229.5,234,3149.4333301838997,0
NIPG.US,D,20240828,000000,237,240,226.5,234,6884.866659781799,0
NIPG.US,D,20240829,000000,238.8,243,230.1,232.8,4584.0666620826,0
NIPG.US,D,20240830,000000,235.5,239.7,227.4,239.4,2625.3666640413,0
NIPG.US,D,20240903,000000,240,241.2,229.5,232.5,2367.0333309662997,0
NIPG.US,D,20240904,000000,229.5,236.7,210,211.5,7813.166658853499,0
NIPG.US,D,20240905,000000,215.7,228,206.4,213.9,7578.833325754499,0
NIPG.US,D,20240906,000000,213.6,215.4,201.3,209.7,5537.7999944622,0
NIPG.US,D,20240909,000000,208.8,225.072,208.8,217.8,2498.0666641686,0
NIPG.US,D,20240910,000000,210.3,218.4,207.9,215.1,1056.9333322763998,0
NIPG.US,D,20240911,000000,214.464,224.1,212.4,221.7,675.666665991,0
NIPG.US,D,20240912,000000,224.1,224.1,215.43,223.8,1135.2999988647,0
NIPG.US,D,20240913,000000,220.5,221.76,213.63,215.1,1000.5666656660999,0
NIPG.US,D,20240916,000000,216,219.6,212.4,214.62,829.7333325036,0
NIPG.US,D,20240917,000000,217.2,221.286,212.1,214.2,1368.4666652981998,0
NIPG.US,D,20240918,000000,211.8,219.6,211.8,216.3,846.3999991535999,0
NIPG.US,D,20240919,000000,212.1,219.9,211.2,211.5,1481.1999985188,0
NIPG.US,D,20240920,000000,219,219,210,210,949.0999990508999,0
NIPG.US,D,20240923,000000,214.5,216.9,210.3,212.4,757.6999992422999,0
NIPG.US,D,20240924,000000,219,219,212.1,214.5,2324.666664342,0
NIPG.US,D,20240925,000000,215.1,215.7,211.5,211.5,1291.9333320413998,0
NIPG.US,D,20240926,000000,213.6,217.5,211.2,216,4232.833329100499,0
NIPG.US,D,20240927,000000,213.3,218.7,210.9,211.8,2933.7333303995997,0
NIPG.US,D,20240930,000000,215.1,248.4,214.5,234,9052.5666576141,0
NIPG.US,D,20241001,000000,231.3,252,225.735,237.27,4548.4666621182,0
NIPG.US,D,20241002,000000,235.5,237,220.05,225,3355.4666633111997,0
NIPG.US,D,20241003,000000,223.5,226.5,216.9,216.9,2218.5333311147997,0
NIPG.US,D,20241004,000000,224.7,227.184,217.2,217.5,1095.7333322375998,0
NIPG.US,D,20241007,000000,217.8,222.9,212.4,213,3855.1666628114995,0
NIPG.US,D,20241008,000000,211.8,218.1,211.8,214.2,2525.9333308073997,0
NIPG.US,D,20241009,000000,214.8,219.9,214.2,215.1,1154.999998845,0
NIPG.US,D,20241010,000000,216,221.367,216,217.17,666.9999993329999,0
NIPG.US,D,20241011,000000,216.9,222.45,215.7,217.2,632.999999367,0
NIPG.US,D,20241014,000000,219,219.168,214.8,216,538.2333327951,0
NIPG.US,D,20241015,000000,220.8,224.64,214.5,214.5,1489.0666651775998,0
NIPG.US,D,20241016,000000,214.5,219,212.4,218.7,1212.4333321208999,0
NIPG.US,D,20241017,000000,218.4,218.4,211.803,213.6,2569.8666640968,0
NIPG.US,D,20241018,000000,216.6,216.9,212.4,213,1625.1666650414998,0
NIPG.US,D,20241021,000000,216,216,210.9,211.5,2197.666664469,0
NIPG.US,D,20241022,000000,213,216.147,211.2,211.2,922.5333324107999,0
NIPG.US,D,20241023,000000,211.2,213.975,211.2,211.5,971.1666656954999,0
NIPG.US,D,20241024,000000,213.3,215.4,211.2,212.7,2099.4666645671996,0
NIPG.US,D,20241025,000000,212.7,216,210.6,212.4,2058.1999979417997,0
NIPG.US,D,20241028,000000,213,218.7,211.5,215.16,2569.3666640972997,0
NIPG.US,D,20241029,000000,214.5,219,210.9,211.8,3319.7666633469,0
NIPG.US,D,20241030,000000,210.3,214.8,210.3,214.2,3371.7666632949,0
NIPG.US,D,20241031,000000,211.5,214.497,210.6,210.9,967.0666656995999,0
NIPG.US,D,20241101,000000,210.3,214.35,210.3,212.4,827.5666658390999,0
NIPG.US,D,20241104,000000,210.6,212.4,210,210.6,906.0333324272999,0
NIPG.US,D,20241105,000000,214.2,214.2,209.1,210,2581.9666640847,0
NIPG.US,D,20241106,000000,207.3,210,204,204.6,1790.5666648760998,0
NIPG.US,D,20241107,000000,204,212.4,195,198.3,3038.6666636279997,0
NIPG.US,D,20241108,000000,198.3,208.5,192.3,195,2722.7666639439,0
NIPG.US,D,20241111,000000,195,196.5,186.6,186.6,3656.4666630101997,0
NIPG.US,D,20241112,000000,185.4,187.26,181.617,181.8,1640.4333316928999,0
NIPG.US,D,20241113,000000,183.6,189.15,162,165,4505.5666621611,0
NIPG.US,D,20241114,000000,162.6,176.1,162.6,175.5,1590.2999984096998,0
NIPG.US,D,20241115,000000,177,179.1,168.9,175.8,3391.2666632754,0
NIPG.US,D,20241118,000000,173.4,182.1,170.4,175.2,1344.7666653218998,0
NIPG.US,D,20241119,000000,171.3,174.948,169.68,169.68,963.4333323698999,0
NIPG.US,D,20241120,000000,171,176.7,169.8,173.4,2431.9333309013996,0
NIPG.US,D,20241121,000000,177.3,184.86,173.4,180.9,3321.4999966785,0
NIPG.US,D,20241122,000000,178.8,193.317,177,187.8,3056.3666636103,0
NIPG.US,D,20241125,000000,191.7,210,191.7,198,3128.5999968713995,0
NIPG.US,D,20241126,000000,201,201.6,187.5,192,3113.5999968864,0
NIPG.US,D,20241127,000000,194.703,198.9,190.2,191.4,3279.2333300540995,0
NIPG.US,D,20241129,000000,193.8,199.791,192.6,193.5,419.0666662476,0
NIPG.US,D,20241202,000000,194.4,198.45,193.5,193.5,3671.8999963281,0
NIPG.US,D,20241203,000000,193.827,203.1,193.8,200.4,3089.8333302435,0
NIPG.US,D,20241204,000000,201,205.95,199.503,201,2634.6999973652996,0
NIPG.US,D,20241205,000000,204.9,213.3,203.4,208.8,4230.3666624362995,0
NIPG.US,D,20241206,000000,211.8,214.2,207.3,208.2,1965.9999980339999,0
NIPG.US,D,20241209,000000,210,222.6,208.5,217.2,3357.5666633090996,0
NIPG.US,D,20241210,000000,217.5,217.5,213.9,214.2,1951.0333313822998,0
NIPG.US,D,20241211,000000,214.2,216.6,210.9,213.9,2486.7999975131997,0
NIPG.US,D,20241212,000000,216.3,221.997,211.5,215.295,3403.0333299302997,0
NIPG.US,D,20241213,000000,214.5,218.412,213,213,1137.3999988626,0
NIPG.US,D,20241216,000000,213,216.966,212.1,213,1683.8999983160998,0
NIPG.US,D,20241217,000000,209.7,224.781,209.7,216.807,2115.1333312181996,0
NIPG.US,D,20241218,000000,219,219.57,210.6,211.5,2030.6666646359997,0
NIPG.US,D,20241219,000000,222.6,222.6,211.8,212.4,2316.5666643501,0
NIPG.US,D,20241220,000000,213,216.3,202.8,207,2795.0666638715998,0
NIPG.US,D,20241223,000000,201.3,210.6,201.3,203.4,2451.3333308819997,0
NIPG.US,D,20241224,000000,207,207,200.25,202.5,1565.8666651007998,0
NIPG.US,D,20241226,000000,205.5,209.7,201.6,205.5,1535.5333317977997,0
NIPG.US,D,20241227,000000,206.4,206.4,200.7,201.3,550.6333327827,0
NIPG.US,D,20241230,000000,198.3,205.65,196.5,202.2,1208.3999987916,0
NIPG.US,D,20241231,000000,204,207.93,196.5,197.7,2445.8999975540996,0
NIPG.US,D,20250102,000000,200.7,213.591,199.5,208.5,2021.9999979779998,0
NIPG.US,D,20250103,000000,210,214.8,204,212.1,2133.7999978661996,0
NIPG.US,D,20250106,000000,211.8,228,210,221.4,3467.5333298657997,0
NIPG.US,D,20250107,000000,224.1,224.7,213,215.4,3677.1333296561997,0
NIPG.US,D,20250108,000000,212.7,214.5,206.1,209.4,1057.5333322758,0
NIPG.US,D,20250110,000000,212.7,212.7,204,205.65,1159.8666655067998,0
NIPG.US,D,20250113,000000,207,211.785,198.6,199.5,1665.9999983339999,0
NIPG.US,D,20250114,000000,204,205.05,198.6,198.6,1274.4999987254998,0
NIPG.US,D,20250115,000000,207.3,216.6,204.3,204.3,3862.3333294709996,0
NIPG.US,D,20250116,000000,209.853,210.003,204.3,208.497,947.4666657191999,0
NIPG.US,D,20250117,000000,207,217.8,207,214.2,4492.833328840499,0
NIPG.US,D,20250121,000000,210.9,215.1,201,204,3361.0666633056,0
NIPG.US,D,20250122,000000,204.6,209.7,199.8,201,5746.633327586699,0
NIPG.US,D,20250123,000000,202.2,202.2,184.5,188.7,3800.0666628665995,0
NIPG.US,D,20250124,000000,190.2,190.2,168,171,7773.7333255595995,0
NIPG.US,D,20250127,000000,176.7,186.018,153,154.2,8034.5999919654,0
NIPG.US,D,20250128,000000,163.2,163.2,132.606,133.8,7605.666659060999,0
NIPG.US,D,20250129,000000,138,138,120,124.8,3751.7666629149,0
NIPG.US,D,20250130,000000,121.2,125.424,116.4,117,2326.5999976733997,0
NIPG.US,D,20250131,000000,117,119.7,111.6,113.562,2604.0999973958997,0
NIPG.US,D,20250203,000000,113.4,113.4,101.7,106.2,3577.6999964222996,0
NIPG.US,D,20250204,000000,107.7,107.7,99.3,99.9,5558.199994441799,0
NIPG.US,D,20250205,000000,99.6,104.196,90.6,91.8,5836.7999941632,0
NIPG.US,D,20250206,000000,92.1,127.5,92.1,123.6,12397.233320936099,0
NIPG.US,D,20250207,000000,124.5,126.495,96.9,99,6228.9333271044,0
NIPG.US,D,20250210,000000,99,105.852,92.697,92.7,4301.999995698,0
NIPG.US,D,20250211,000000,100.2,104.1,92.4,93.6,7483.0333258503,0
NIPG.US,D,20250212,000000,94.8,100.338,90.9,94.8,3466.999996533,0
NIPG.US,D,20250213,000000,91.8,96,90,91.2,4867.266661799399,0
NIPG.US,D,20250214,000000,91.8,95.901,87.9,90.6,8045.299991954699,0
NIPG.US,D,20250218,000000,91.5,92.979,80.55,85.5,5667.8999943321,0
NIPG.US,D,20250219,000000,84.3,84.9,81,82.2,1574.2999984256999,0
NIPG.US,D,20250220,000000,82.8,91.725,81,84.9,4763.633328569699,0
NIPG.US,D,20250221,000000,90.9,91.8,81,81.9,5012.533328320799,0
NIPG.US,D,20250224,000000,83.4,89.133,75,75,6447.499993552499,0
NIPG.US,D,20250225,000000,76.5,78,72.3,75.3,3968.1333293651996,0
NIPG.US,D,20250226,000000,76.8,77.7,71.4,71.4,1508.2333318250999,0
NIPG.US,D,20250227,000000,72.9,75.3,69.606,70.5,2820.5999971794,0
NIPG.US,D,20250228,000000,70.5,74.697,69.3,69.3,2340.0666643266,0
NIPG.US,D,20250303,000000,69,74.337,65.1,66.3,3491.6999965082996,0
NIPG.US,D,20250304,000000,68.7,69,57,59.1,4891.1333284422,0
NIPG.US,D,20250305,000000,66,69,61.8,63.9,13171.9666534947,0
NIPG.US,D,20250306,000000,64.2,67.8,46.5,61.8,12822.666653843999,0
NIPG.US,D,20250307,000000,60,63,57,57.6,3387.1333299462,0
