<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OBX.US,D,20260804,000000,49.9699,49.9699,25,34,13400,0
OBX.US,D,20260805,000000,30,30.3,23,28.51,18367,0
OBX.US,D,20260806,000000,27.14,29.95,27.14,28.35,7436,0
OBX.US,D,20260807,000000,27.535,28.45,26.8,27.5,8856,0
OBX.US,D,20260810,000000,28.5,37.15,28.5,35,27324,0
OBX.US,D,20260811,000000,37.96,39,30,32.9,89939,0
OBX.US,D,20260812,000000,30,33.49,24,28,111534,0
OBX.US,D,20260813,000000,26.7,26.72,17.05,18.92,163708,0
OBX.US,D,20260814,000000,20.01,20.01,17.77,17.77,32806,0
OBX.US,D,20260817,000000,14.57,18.5127,14.57,17.535,18643,0
OBX.US,D,20260818,000000,19.26,20.2,16.31,19.95,112273,0
OBX.US,D,20260819,000000,19.81,22.33,19.3,20,48595,0
OBX.US,D,20260820,000000,20.2,21.03,19.7,20.19,74359,0
OBX.US,D,20260821,000000,20.47,21.33,18.44,19.9,1449276,0
OBX.US,D,20260824,000000,20.39,21.975,17.81,18.7,133101,0
