<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ODTE.US,D,20260402,000000,24.81,25.07,24.81,25.065,429,0
ODTE.US,D,20260406,000000,25.12,25.2,24.83,25.1674,3930,0
ODTE.US,D,20260408,000000,25.71,25.84,25.71,25.8271,1733,0
ODTE.US,D,20260409,000000,25.79,26.03,25.78,25.985,1580,0
ODTE.US,D,20260410,000000,26.015,26.06,25.9782,25.9782,1551,0
ODTE.US,D,20260413,000000,25.9901,26.23,25.9901,26.23,1781,0
ODTE.US,D,20260414,000000,26.265,26.4,26.265,26.335,5183,0
ODTE.US,D,20260415,000000,26.4,26.4898,26.4,26.485,5220,0
ODTE.US,D,20260416,000000,26.46,26.485,26.4,26.485,2861,0
ODTE.US,D,20260417,000000,26.76,26.77,26.6601,26.705,4130,0
ODTE.US,D,20260420,000000,26.69,26.73,26.6899,26.696,1657,0
ODTE.US,D,20260421,000000,26.89,26.89,26.51,26.5341,945,0
ODTE.US,D,20260422,000000,26.6201,26.7799,26.62,26.76,3581,0
ODTE.US,D,20260423,000000,26.7199,26.7199,26.575,26.575,869,0
ODTE.US,D,20260424,000000,26.77,26.8066,26.77,26.8066,1462,0
ODTE.US,D,20260427,000000,26.84,26.86,26.82,26.85,4540,0
ODTE.US,D,20260428,000000,26.64,26.6699,26.579,26.605,4744,0
ODTE.US,D,20260429,000000,26.69,26.69,26.55,26.617,2395,0
ODTE.US,D,20260430,000000,26.57,26.9019,26.57,26.9019,4345,0
ODTE.US,D,20260501,000000,26.91,27.09,26.91,27.07,5778,0
ODTE.US,D,20260504,000000,27.12,27.17,26.967,26.967,4617,0
ODTE.US,D,20260505,000000,27.1,27.23,27.1,27.205,8240,0
ODTE.US,D,20260506,000000,27.439,27.46,27.366,27.46,10371,0
ODTE.US,D,20260507,000000,27.33,27.33,27.08,27.0996,7904,0
ODTE.US,D,20260508,000000,27.03,27.34,27.03,27.34,6608,0
ODTE.US,D,20260511,000000,27.32,27.45,27.28,27.37,3356,0
ODTE.US,D,20260512,000000,27.19,27.2221,26.88,27.2221,4192,0
ODTE.US,D,20260513,000000,27.21,27.37,27.21,27.355,887,0
ODTE.US,D,20260514,000000,27.38,27.51,27.36,27.475,729,0
ODTE.US,D,20260515,000000,27.07,27.14,27.03,27.03,3103,0
ODTE.US,D,20260518,000000,27.085,27.12,26.88,26.9,2830,0
ODTE.US,D,20260519,000000,26.61,26.7236,26.61,26.7236,1994,0
ODTE.US,D,20260520,000000,26.89,26.92,26.71,26.9,3149,0
ODTE.US,D,20260521,000000,26.77,27.07,26.77,27,3370,0
ODTE.US,D,20260522,000000,27.34,27.34,27.18,27.2525,5830,0
ODTE.US,D,20260526,000000,27.49,27.6,27.49,27.57,4355,0
ODTE.US,D,20260527,000000,27.69,27.69,27.5565,27.58,2656,0
ODTE.US,D,20260528,000000,27.56,27.7399,27.5,27.7,4382,0
ODTE.US,D,20260529,000000,27.749,27.76,27.66,27.7024,9519,0
ODTE.US,D,20260601,000000,27.69,27.86,27.57,27.775,9719,0
ODTE.US,D,20260602,000000,27.8,27.94,27.8,27.9096,5147,0
ODTE.US,D,20260603,000000,27.81,27.88,27.69,27.7396,3797,0
ODTE.US,D,20260604,000000,27.55,27.79,27.5,27.74,4630,0
ODTE.US,D,20260605,000000,27.52,27.52,26.7617,26.7617,6867,0
ODTE.US,D,20260608,000000,27.08,27.18,26.942,26.985,7624,0
ODTE.US,D,20260609,000000,27.09,27.15,26.33,26.8988,4937,0
ODTE.US,D,20260610,000000,26.89,27.0279,26.5364,26.5364,3134,0
ODTE.US,D,20260611,000000,26.77,26.94,26.565,26.94,4796,0
ODTE.US,D,20260612,000000,27.0806,27.181,27.0806,27.125,963,0
ODTE.US,D,20260615,000000,27.38,27.5,27.38,27.4354,3232,0
ODTE.US,D,20260616,000000,27.43,27.52,27.215,27.215,13437,0
ODTE.US,D,20260617,000000,27.265,27.33,26.885,26.9115,8222,0
ODTE.US,D,20260618,000000,27.05,27.24,27.04,27.22,9915,0
ODTE.US,D,20260622,000000,27.3,27.41,27.21,27.245,11024,0
ODTE.US,D,20260623,000000,26.76,26.97,26.6001,26.7762,6871,0
ODTE.US,D,20260624,000000,26.83,26.94,26.665,26.7245,17309,0
ODTE.US,D,20260625,000000,26.88,26.8801,26.675,26.7973,10948,0
ODTE.US,D,20260626,000000,26.62,26.85,26.61,26.7261,9544,0
ODTE.US,D,20260629,000000,26.84,27.335,26.78,27.335,12587,0
ODTE.US,D,20260630,000000,27.01,27.22,27.005,27.2025,6840,0
ODTE.US,D,20260701,000000,27.03,27.169,27.01,27.03,9186,0
ODTE.US,D,20260702,000000,27.04,27.04,26.57,26.7197,18708,0
ODTE.US,D,20260706,000000,26.8,27.04,26.8,26.97,6761,0
ODTE.US,D,20260707,000000,26.92,26.92,26.63,26.695,8995,0
ODTE.US,D,20260708,000000,26.6,26.6438,26.42,26.6438,8482,0
ODTE.US,D,20260709,000000,26.635,26.83,26.635,26.785,5424,0
ODTE.US,D,20260710,000000,26.755,26.85,26.64,26.8391,7195,0
ODTE.US,D,20260713,000000,26.62,26.71,26.5,26.5398,7067,0
ODTE.US,D,20260714,000000,26.645,26.76,26.645,26.725,5239,0
ODTE.US,D,20260715,000000,26.83,26.83,26.68,26.7628,4764,0
ODTE.US,D,20260716,000000,26.64,26.6753,26.46,26.4804,6300,0
ODTE.US,D,20260717,000000,26.2132,26.41,26.15,26.2735,2560,0
ODTE.US,D,20260720,000000,26.477,26.477,26.194,26.205,7306,0
ODTE.US,D,20260721,000000,26.37,26.42,26.29,26.41,8181,0
