<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORLG.US,D,20260115,000000,14.92,15,14.5272,14.5272,2316,0
ORLG.US,D,20260120,000000,15.04,15.04,15.0234,15.0234,659,0
ORLG.US,D,20260121,000000,15.8072,16.21,15.73,16.1415,2784,0
ORLG.US,D,20260122,000000,16.2,16.2,16.1589,16.1589,1399,0
ORLG.US,D,20260123,000000,16.25,16.3328,16.21,16.3328,1233,0
ORLG.US,D,20260126,000000,16.73,16.73,16.6377,16.6377,600,0
ORLG.US,D,20260128,000000,16.98,16.9927,16.9799,16.9927,440,0
ORLG.US,D,20260129,000000,16.85,16.85,16.1817,16.1817,749,0
ORLG.US,D,20260130,000000,15.75,16.04,15.75,15.9878,433,0
ORLG.US,D,20260202,000000,15.76,15.8606,15.76,15.8606,398,0
ORLG.US,D,20260203,000000,15.49,15.6119,15.49,15.6119,427,0
ORLG.US,D,20260204,000000,16.06,16.06,15.4762,15.4762,728,0
ORLG.US,D,20260205,000000,14.42,14.6,14.04,14.1438,13269,0
ORLG.US,D,20260206,000000,14.15,14.5408,14.15,14.5408,473,0
ORLG.US,D,20260209,000000,14.61,14.61,14.1052,14.1052,240,0
ORLG.US,D,20260211,000000,14.135,14.4975,14.135,14.4975,809,0
ORLG.US,D,20260212,000000,14.76,14.8384,14.76,14.8384,1144,0
ORLG.US,D,20260213,000000,15.02,15.3,15.02,15.2495,771,0
ORLG.US,D,20260217,000000,14.91,14.91,13.9511,13.9511,1510,0
ORLG.US,D,20260219,000000,14.17,14.4296,14.17,14.4296,723,0
ORLG.US,D,20260220,000000,14.02,14.2051,13.995,14.2051,1103,0
ORLG.US,D,20260225,000000,14.24,14.24,13.5446,13.5446,2000,0
ORLG.US,D,20260226,000000,13.39,13.5131,13.39,13.5131,276,0
ORLG.US,D,20260302,000000,14.5999,14.6,14.5,14.6,627,0
ORLG.US,D,20260303,000000,14.48,14.48,14.31,14.31,417,0
ORLG.US,D,20260304,000000,14.08,14.32,14.06,14.32,1384,0
ORLG.US,D,20260305,000000,14.4301,14.4301,14.4301,14.4301,107,0
ORLG.US,D,20260309,000000,14.71,14.71,14.65,14.65,797,0
ORLG.US,D,20260310,000000,14.25,14.555,14.25,14.555,289,0
ORLG.US,D,20260311,000000,14.49,14.49,14.3626,14.3626,311,0
ORLG.US,D,20260312,000000,14.19,14.19,13.9109,13.9109,108,0
ORLG.US,D,20260313,000000,13.62,13.62,13.4685,13.4685,546,0
ORLG.US,D,20260317,000000,13.13,13.13,12.8537,12.8537,1436,0
ORLG.US,D,20260318,000000,12.29,12.3466,12.29,12.3466,475,0
ORLG.US,D,20260323,000000,12.73,12.73,12.5919,12.5919,164,0
ORLG.US,D,20260326,000000,13.7,13.7,13.585,13.6025,1197,0
ORLG.US,D,20260327,000000,13.51,13.53,12.9794,12.9794,516,0
ORLG.US,D,20260331,000000,13.66,13.66,13.48,13.5646,810,0
ORLG.US,D,20260401,000000,13.5,13.5143,13.5,13.5143,437,0
ORLG.US,D,20260406,000000,13.31,13.52,13.31,13.52,263,0
ORLG.US,D,20260409,000000,13.97,14.1633,13.9299,14.1633,2139,0
ORLG.US,D,20260410,000000,13.555,13.83,13.52,13.7336,954,0
ORLG.US,D,20260413,000000,13.7,14.0281,13.63,14.0281,828,0
ORLG.US,D,20260415,000000,13.81,13.9038,13.76,13.9038,1190,0
ORLG.US,D,20260416,000000,13.74,13.7401,13.6257,13.6257,2840,0
ORLG.US,D,20260420,000000,13.6701,13.68,13.585,13.6321,921,0
ORLG.US,D,20260422,000000,13.88,13.9844,13.88,13.9844,430,0
ORLG.US,D,20260423,000000,13.64,13.7863,13.53,13.7863,3443,0
ORLG.US,D,20260424,000000,13.56,13.75,13.56,13.7209,524,0
ORLG.US,D,20260430,000000,14.93,15.6199,14.9,15.5179,4910,0
ORLG.US,D,20260501,000000,14.8201,14.8201,14.6,14.6005,3481,0
ORLG.US,D,20260504,000000,13.715,13.7874,13.715,13.7874,520,0
ORLG.US,D,20260506,000000,14.11,14.11,14.0164,14.0164,585,0
ORLG.US,D,20260508,000000,14.02,14.12,13.464,13.464,2402,0
ORLG.US,D,20260511,000000,12.865,12.9835,12.77,12.9835,815,0
ORLG.US,D,20260512,000000,12.9,13.1218,12.9,13.1218,1157,0
ORLG.US,D,20260513,000000,13.13,13.13,12.515,12.515,1938,0
ORLG.US,D,20260515,000000,12.64,12.69,12.09,12.1462,1435,0
ORLG.US,D,20260518,000000,12.33,13.0384,12.33,13.0384,944,0
ORLG.US,D,20260519,000000,13.04,13.17,13.04,13.0797,1661,0
ORLG.US,D,20260520,000000,13.32,13.32,13.17,13.17,889,0
ORLG.US,D,20260521,000000,13.31,13.32,13.1911,13.1911,563,0
ORLG.US,D,20260522,000000,13.25,13.25,12.97,13.005,706,0
ORLG.US,D,20260526,000000,11.625,12.4372,11.59005,12.4372,2389,0
ORLG.US,D,20260527,000000,12.34,12.42,12.1,12.2436,3909,0
ORLG.US,D,20260528,000000,12.08,12.2753,12.04,12.2753,694,0
ORLG.US,D,20260529,000000,11.9698,11.9698,11.616,11.616,5232,0
ORLG.US,D,20260601,000000,11.8,11.8,11.36,11.563,1248,0
ORLG.US,D,20260602,000000,11.465,11.465,11.43,11.45,800,0
ORLG.US,D,20260603,000000,11.83,11.83,11.7219,11.7219,438,0
ORLG.US,D,20260604,000000,11.76,12.0117,11.76,12.0117,710,0
ORLG.US,D,20260605,000000,12.2,12.56,12.19,12.5569,5193,0
ORLG.US,D,20260608,000000,12.23,12.23,12.1593,12.1593,539,0
ORLG.US,D,20260609,000000,12.23,12.2961,12.23,12.2961,184,0
ORLG.US,D,20260610,000000,12.5,12.5632,12.5,12.5632,395,0
ORLG.US,D,20260612,000000,12.18,12.6669,12.18,12.6669,823,0
ORLG.US,D,20260616,000000,12.46,12.5583,12.46,12.5583,595,0
ORLG.US,D,20260618,000000,11.7,11.7,11.54,11.54,1244,0
ORLG.US,D,20260622,000000,11,11.22,11,11.22,1581,0
ORLG.US,D,20260624,000000,11.62,11.85,11.62,11.7653,2126,0
ORLG.US,D,20260625,000000,11.68,11.78,11.4,11.4994,1787,0
ORLG.US,D,20260626,000000,12.3,12.3,11.98,12.1657,11070,0
ORLG.US,D,20260629,000000,12.41,12.41,12.3769,12.3769,865,0
ORLG.US,D,20260630,000000,12.575,12.8719,12.575,12.8719,537,0
ORLG.US,D,20260701,000000,12.94,13.0072,12.77,13.0072,42294,0
ORLG.US,D,20260702,000000,13.21,13.21,12.1,12.3201,3220,0
ORLG.US,D,20260706,000000,12.06,12.06,10.28,10.6721,18016,0
ORLG.US,D,20260707,000000,10.95,11.2726,10.95,11.2726,1014,0
ORLG.US,D,20260708,000000,10.85,10.93,10.8329,10.8329,3268,0
ORLG.US,D,20260709,000000,10.63,10.8775,10.56,10.8775,2500,0
ORLG.US,D,20260710,000000,11.07,11.146,11.07,11.146,326,0
ORLG.US,D,20260713,000000,11.37,11.53,11.23,11.3797,1810,0
ORLG.US,D,20260714,000000,11.44,11.44,10.94,11.0094,1081,0
ORLG.US,D,20260715,000000,10.69,10.69,10.2,10.2067,1414,0
ORLG.US,D,20260716,000000,10.45,11.0605,10.45,11.0605,961,0
ORLG.US,D,20260717,000000,11.32,11.51,10.9099,11.0471,1033,0
ORLG.US,D,20260720,000000,10.63,10.6344,10.63,10.6344,412,0
ORLG.US,D,20260721,000000,11.82,11.88,11.5,11.5,1356,0
ORLG.US,D,20260723,000000,10.99,11.0049,10.81,11.0049,536,0
ORLG.US,D,20260724,000000,11.12,11.3025,11.12,11.3025,199,0
ORLG.US,D,20260727,000000,11.38,12.33,11.38,12.1316,6122,0
ORLG.US,D,20260728,000000,12.39,12.39,12.2,12.3191,1726,0
