<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCLA.US,D,20250116,000000,120,123,84.627,85.2,32682.399967317597,0
PCLA.US,D,20250117,000000,84.6,84.6,70.5,77.4,3132.1666635344995,0
PCLA.US,D,20250121,000000,78.3,78.3,66.3,75.645,957.7666657089,0
PCLA.US,D,20250122,000000,75.6,78,66.9,70.5,2248.4666644182,0
PCLA.US,D,20250123,000000,69.9,105,68.4,92.4,14032.5333193008,0
PCLA.US,D,20250124,000000,91.5,165.9,91.5,136.5,124972.86654169379,0
PCLA.US,D,20250127,000000,141.3,190.8,129,158.7,33756.2332995771,0
PCLA.US,D,20250128,000000,157.5,164.685,138.3,139.5,24908.333308424997,0
PCLA.US,D,20250129,000000,142.5,156,141,151.5,5003.0666616636,0
PCLA.US,D,20250130,000000,153.6,156,139.5,150.9,5912.733327420599,0
PCLA.US,D,20250131,000000,150,164.1,147,154.8,8979.333324353998,0
PCLA.US,D,20250203,000000,153,162,149.1,157.2,9442.6999905573,0
PCLA.US,D,20250204,000000,159,171,156,163.2,22033.233311300097,0
PCLA.US,D,20250205,000000,167.1,191.697,163.2,190.5,38220.6332951127,0
PCLA.US,D,20250206,000000,188.7,209.7,183,195.6,34681.333298651996,0
PCLA.US,D,20250207,000000,198,219.3,189.6,213,28759.9666379067,0
PCLA.US,D,20250210,000000,210.6,237,210,228.6,24221.199975778796,0
PCLA.US,D,20250211,000000,229.5,269.4,202.2,234.3,93290.26657337639,0
PCLA.US,D,20250212,000000,238.8,258,229.8,252.6,41738.866624927796,0
PCLA.US,D,20250213,000000,249.6,264,240,240.9,89746.26657692039,0
PCLA.US,D,20250214,000000,196.5,227.7,135,225.3,116817.6332165157,0
PCLA.US,D,20250218,000000,226.5,251.391,219,237.9,89140.09991085989,0
PCLA.US,D,20250219,000000,238.2,254.7,229.8,249,34288.1999657118,0
PCLA.US,D,20250220,000000,266.55,276,263.7,264.3,134330.59986566938,0
PCLA.US,D,20250221,000000,264,294,239.7,258,68955.29993104469,0
PCLA.US,D,20250224,000000,266.7,269.943,221.4,226.8,85867.29991413269,0
PCLA.US,D,20250225,000000,171.9,225,145.5,185.4,115395.56655127108,0
PCLA.US,D,20250226,000000,193.5,255,192.6,251.4,62646.366604020295,0
PCLA.US,D,20250227,000000,246,248.4,149.1,168.9,83895.03324943829,0
PCLA.US,D,20250228,000000,174,179.376,137.85,145.5,46891.1666197755,0
PCLA.US,D,20250303,000000,116.4,133.2,92.4,93.9,60478.96660618769,0
PCLA.US,D,20250304,000000,80.4,80.805,45,47.1,38948.966627717695,0
PCLA.US,D,20250305,000000,46.5,50.7,32.1,40.5,18797.099981202897,0
