<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLA.US,D,20260519,000000,25.09,25.09,25.0608,25.0608,218,0
PLA.US,D,20260520,000000,25.01,25.34,25.01,25.1293,4349,0
PLA.US,D,20260522,000000,25.18,25.43,25.18,25.18,28567,0
PLA.US,D,20260526,000000,25.2189,25.32,25.185,25.2,13327,0
PLA.US,D,20260527,000000,25.035,25.035,25.02,25.02,387,0
PLA.US,D,20260528,000000,26.145,26.2664,26.145,26.2664,1700,0
PLA.US,D,20260529,000000,25.99,25.99,25.9,25.9501,3338,0
PLA.US,D,20260601,000000,25.82,25.93,25.82,25.83,5876,0
PLA.US,D,20260603,000000,24.99,24.99,24.835,24.835,1092,0
PLA.US,D,20260604,000000,24.89,24.92,24.8477,24.8477,1459,0
PLA.US,D,20260608,000000,24.5101,24.6141,24.5101,24.6141,273,0
PLA.US,D,20260609,000000,24.34,24.4,24.34,24.395,1184,0
PLA.US,D,20260611,000000,24.2,24.2403,24.1704,24.2403,1940,0
PLA.US,D,20260612,000000,24.22,24.22,24.22,24.22,223,0
PLA.US,D,20260615,000000,24.65,24.72,24.65,24.6805,450,0
PLA.US,D,20260616,000000,24.66,24.66,24.59,24.59,142,0
PLA.US,D,20260617,000000,24.65,24.84,24.5346,24.5346,1089,0
PLA.US,D,20260618,000000,24.4698,24.4698,24.37,24.405,315,0
PLA.US,D,20260622,000000,24.46,24.49,23.865,23.865,1131,0
PLA.US,D,20260623,000000,23.78,23.78,23.57,23.57,113,0
PLA.US,D,20260625,000000,22.76,22.81,22.6322,22.6322,14171,0
PLA.US,D,20260626,000000,22.98,23.39,22.935,23.2742,9526,0
PLA.US,D,20260629,000000,23.57,23.789,23.55,23.5744,3655,0
PLA.US,D,20260630,000000,23.48,23.75,23.48,23.61,3076,0
PLA.US,D,20260701,000000,23.75,24.37,23.75,24.085,3248,0
PLA.US,D,20260702,000000,24.32,24.41,24.285,24.285,1305,0
PLA.US,D,20260706,000000,24.33,24.48,24.315,24.3736,2264,0
PLA.US,D,20260707,000000,24.52,24.76,24.52,24.5777,7379,0
PLA.US,D,20260708,000000,24.23,24.39,24.23,24.3765,3161,0
PLA.US,D,20260709,000000,23.962,24.18,23.96,24.155,1815,0
PLA.US,D,20260713,000000,24.225,24.32,24.12,24.3064,2579,0
PLA.US,D,20260714,000000,24.45,24.555,24.45,24.555,1159,0
PLA.US,D,20260715,000000,24.43,24.55,24.43,24.46,890,0
PLA.US,D,20260716,000000,24.42,24.58,24.42,24.555,5342,0
PLA.US,D,20260717,000000,24.22,24.61,24.22,24.45,972,0
PLA.US,D,20260720,000000,24.7,24.74,24.605,24.605,5728,0
PLA.US,D,20260721,000000,24.52,24.6,24.5045,24.5045,1864,0
PLA.US,D,20260722,000000,24.27,24.27,23.99,24.0497,4527,0
PLA.US,D,20260723,000000,23.74,23.8343,23.72,23.8343,508,0
PLA.US,D,20260724,000000,23.93,24,23.8013,23.815,1495,0
PLA.US,D,20260727,000000,24.43,24.62,24.43,24.5348,5817,0
PLA.US,D,20260728,000000,24.46,24.46,23.83,24.135,2185,0
PLA.US,D,20260729,000000,24.14,24.15,23.955,23.955,1283,0
PLA.US,D,20260730,000000,23.85,23.91,23.7993,23.8695,2249,0
PLA.US,D,20260731,000000,23.8298,24.015,23.8298,24.015,550,0
PLA.US,D,20260803,000000,24.09,24.27,24.09,24.1956,3664,0
PLA.US,D,20260804,000000,26.125,26.8399,26.04,26.8399,1512,0
PLA.US,D,20260805,000000,25.835,25.88,25.76,25.805,1382,0
PLA.US,D,20260806,000000,25.9,25.92,25.815,25.815,2366,0
PLA.US,D,20260807,000000,26.24,26.2499,26.235,26.235,1035,0
PLA.US,D,20260810,000000,26.0324,26.24,26.0324,26.125,2119,0
PLA.US,D,20260811,000000,26.24,26.24,26.145,26.145,1170,0
PLA.US,D,20260812,000000,25.635,25.75,25.57,25.67,2522,0
PLA.US,D,20260813,000000,25.68,25.87,25.68,25.8689,1916,0
PLA.US,D,20260814,000000,25.8399,25.84,25.725,25.725,2137,0
PLA.US,D,20260817,000000,25.83,25.89,25.795,25.795,3452,0
PLA.US,D,20260818,000000,25.83,25.899,25.82,25.85,774,0
PLA.US,D,20260819,000000,25.95,25.95,25.9,25.9,731,0
PLA.US,D,20260820,000000,25.7699,25.93,25.7699,25.855,3853,0
PLA.US,D,20260821,000000,25.87,25.99,25.85,25.9403,3919,0
PLA.US,D,20260824,000000,25.92,25.94,25.845,25.845,5138,0
