<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRTS.US,D,20070208,000000,100,100,100,100,0,0
PRTS.US,D,20070209,000000,110,121.2,105,119,314677.80000000005,0
PRTS.US,D,20070212,000000,118.5,124.5,114,118.4,34631.5,0
PRTS.US,D,20070213,000000,119.5,120.3,115.9,119.2,12569.7,0
PRTS.US,D,20070214,000000,119,119,116,116,7492.8,0
PRTS.US,D,20070215,000000,118.3,118.3,114,116,18794.7,0
PRTS.US,D,20070216,000000,116,117.1,114.5,116.1,35260.1,0
PRTS.US,D,20070220,000000,115.5,126.1,115.5,124.5,15314.6,0
PRTS.US,D,20070221,000000,125.2,126,122,124.9,11822.300000000001,0
PRTS.US,D,20070222,000000,125,126,119,123.3,6763.400000000001,0
PRTS.US,D,20070223,000000,122.8,122.8,119.9,120.6,4043,0
PRTS.US,D,20070226,000000,122.2,122.2,118.2,119.6,3205.2000000000003,0
PRTS.US,D,20070227,000000,119.1,121.9,115,115.1,3431.3,0
PRTS.US,D,20070228,000000,115.1,118.6,115,116.4,1444.7,0
PRTS.US,D,20070301,000000,115.5,115.7,106.8,112,17462,0
PRTS.US,D,20070302,000000,112.5,116.8,112.5,113.5,7548.6,0
PRTS.US,D,20070305,000000,113.5,115,110.8,112.8,3140,0
PRTS.US,D,20070306,000000,110.5,113.5,106.2,109,14040.400000000001,0
PRTS.US,D,20070307,000000,109.2,113.3,99.4,112.5,53749.200000000004,0
PRTS.US,D,20070308,000000,114.8,114.8,108.2,109.9,3276.8,0
PRTS.US,D,20070309,000000,109.2,110.8,109.1,110.2,20288,0
PRTS.US,D,20070312,000000,110,111,110,110,6902.6,0
PRTS.US,D,20070313,000000,109.9,111.5,108,109.6,5916.5,0
PRTS.US,D,20070314,000000,109.6,110.4,107.7,109.4,13217.300000000001,0
PRTS.US,D,20070315,000000,110,110.4,109.2,109.4,4795.6,0
PRTS.US,D,20070316,000000,109.3,110.3,106.7,108.8,5126.400000000001,0
PRTS.US,D,20070319,000000,110.3,110.3,106,108.2,14208.400000000001,0
PRTS.US,D,20070320,000000,106.2,113.8,106,110.7,18306.2,0
PRTS.US,D,20070321,000000,57.2,68.5,54.6,64.9,1834565.1,0
PRTS.US,D,20070322,000000,65.5,67.5,62.6,63,224232.6,0
PRTS.US,D,20070323,000000,63.6,63.6,59.5,60.8,103972.20000000001,0
PRTS.US,D,20070326,000000,59.6,60,55.7,56.6,99167.1,0
PRTS.US,D,20070327,000000,55.5,57.7,53.4,54.3,101290.20000000001,0
PRTS.US,D,20070328,000000,53.8,57,53.4,53.9,84678.70000000001,0
PRTS.US,D,20070329,000000,53,54.4,50.7,51.2,75383.8,0
PRTS.US,D,20070330,000000,51.4,56.1,50.9,53.7,232728.7,0
PRTS.US,D,20070402,000000,53.4,56.2,53.4,55.1,47693.5,0
PRTS.US,D,20070403,000000,54.9,56.1,54,55.6,38534.4,0
PRTS.US,D,20070404,000000,55.4,56.2,53.7,55.2,15578.2,0
PRTS.US,D,20070405,000000,55,55.5,54.6,55.5,18026.2,0
PRTS.US,D,20070409,000000,55.5,56.9,54.4,55.7,44124.200000000004,0
PRTS.US,D,20070410,000000,55.6,58.1,55.6,57.7,26888,0
PRTS.US,D,20070411,000000,57.7,58.9,57,58.1,17506,0
PRTS.US,D,20070412,000000,58,59,57,57.6,15790.2,0
PRTS.US,D,20070413,000000,57.2,57.9,57,57.7,7195.8,0
PRTS.US,D,20070416,000000,59.1,59.1,57.2,57.3,11445.900000000001,0
PRTS.US,D,20070417,000000,57.4,57.5,56.5,57,20584.800000000003,0
PRTS.US,D,20070418,000000,56.9,57.9,56.7,56.9,17929.8,0
PRTS.US,D,20070419,000000,56.7,56.9,55.9,56.5,77518.5,0
PRTS.US,D,20070420,000000,57.1,58.3,55.6,57.4,18589.5,0
PRTS.US,D,20070423,000000,57.2,57.6,56.8,56.8,3523.2000000000003,0
PRTS.US,D,20070424,000000,57,58.2,56.9,57.1,56709.8,0
PRTS.US,D,20070425,000000,56.8,58.1,56.2,57,7946.900000000001,0
PRTS.US,D,20070426,000000,56.9,57.9,55.4,55.9,10029.2,0
PRTS.US,D,20070427,000000,55.9,57.3,54,56.8,8111.8,0
PRTS.US,D,20070430,000000,56.7,58.9,56.7,58,15058.1,0
PRTS.US,D,20070501,000000,58.5,59.1,57.7,58.8,8708.1,0
PRTS.US,D,20070502,000000,58.9,58.9,57.5,57.9,6057,0
PRTS.US,D,20070503,000000,58.3,58.3,57.6,58,6884.5,0
PRTS.US,D,20070504,000000,58.2,59.8,58.2,59.8,11955.900000000001,0
PRTS.US,D,20070507,000000,60,60.9,59.1,59.5,15171.1,0
PRTS.US,D,20070508,000000,59.5,59.5,58,58.9,7229.8,0
PRTS.US,D,20070509,000000,58.5,59.2,56.7,59,7080.5,0
PRTS.US,D,20070510,000000,58.9,59.3,56.9,59,17526,0
PRTS.US,D,20070511,000000,65.3,69.5,64,65.7,87713,0
PRTS.US,D,20070514,000000,65,66.3,62.9,65.9,30760.2,0
PRTS.US,D,20070515,000000,65.7,67.4,65.1,66.5,28767.7,0
PRTS.US,D,20070516,000000,67,69,66.8,68.5,39072.5,0
PRTS.US,D,20070517,000000,68.5,71.7,66.5,70.2,57140.4,0
PRTS.US,D,20070518,000000,70.8,71.2,69.9,70.8,40557.8,0
PRTS.US,D,20070521,000000,72.1,79.8,71.7,78.6,39941.600000000006,0
PRTS.US,D,20070522,000000,78.6,81.2,77.3,80.4,28497.600000000002,0
PRTS.US,D,20070523,000000,81.1,82.4,79.2,80.1,15822.900000000001,0
PRTS.US,D,20070524,000000,79.4,79.5,76,78,16170.7,0
PRTS.US,D,20070525,000000,77.9,81.7,77.9,80.8,5866.3,0
PRTS.US,D,20070529,000000,81.3,83.2,80.5,81,30737.5,0
PRTS.US,D,20070530,000000,80.5,80.6,75.9,79.3,11380.800000000001,0
PRTS.US,D,20070531,000000,79.7,80.5,77.8,79.4,16762.8,0
PRTS.US,D,20070601,000000,79.4,82.3,79.1,80.6,54699.5,0
PRTS.US,D,20070604,000000,80.6,81.3,79,80.1,14124.5,0
PRTS.US,D,20070605,000000,80,80.2,78.8,80,18847,0
PRTS.US,D,20070606,000000,79.2,82.5,78.7,81.6,23819.800000000003,0
PRTS.US,D,20070607,000000,80.9,84.7,79.8,81.4,16012.1,0
PRTS.US,D,20070608,000000,81.5,84.5,81.5,84.5,27245.600000000002,0
PRTS.US,D,20070611,000000,84.2,89.3,83.9,87,26721.5,0
PRTS.US,D,20070612,000000,87.2,89.5,85.1,86.9,19058.9,0
PRTS.US,D,20070613,000000,87,87.2,86,86.4,4906,0
PRTS.US,D,20070614,000000,86.5,87.8,84.4,87.7,14536.300000000001,0
PRTS.US,D,20070615,000000,88.8,90.7,88,89.4,27124.2,0
PRTS.US,D,20070618,000000,89.3,91.2,88.6,90.6,9588.5,0
PRTS.US,D,20070619,000000,90,93.9,90,92,28856,0
PRTS.US,D,20070620,000000,92.4,92.4,89.9,90.7,32715.300000000003,0
PRTS.US,D,20070621,000000,90.1,94.5,90.1,92.9,22769.800000000003,0
PRTS.US,D,20070622,000000,92.5,94.1,91.8,94.1,105264.1,0
PRTS.US,D,20070625,000000,93.7,93.9,91.7,91.9,34232.4,0
PRTS.US,D,20070626,000000,91.8,94.8,90.4,93.6,10628.900000000001,0
PRTS.US,D,20070627,000000,94.3,94.3,92.2,93.2,11692.1,0
PRTS.US,D,20070628,000000,93,93.1,92.3,92.9,3765.6000000000004,0
PRTS.US,D,20070629,000000,93.4,96.2,92.9,94.6,7864.3,0
PRTS.US,D,20070702,000000,95.6,96.9,94.9,95.1,9049.7,0
PRTS.US,D,20070703,000000,95.6,95.7,92.5,92.7,5098.3,0
PRTS.US,D,20070705,000000,93.2,94,92.4,93.2,9069.2,0
PRTS.US,D,20070706,000000,93,96,92.6,95.5,6753.1,0
PRTS.US,D,20070709,000000,95.3,99.3,95.3,99.1,11087.400000000001,0
PRTS.US,D,20070710,000000,98.5,98.9,96,98.1,13278.400000000001,0
PRTS.US,D,20070711,000000,98.4,98.4,96.1,96.8,11121.5,0
PRTS.US,D,20070712,000000,94.8,97,94.8,96.3,8112.1,0
PRTS.US,D,20070713,000000,95.6,95.7,94.6,95.4,4482.3,0
PRTS.US,D,20070716,000000,94.7,96,94.2,94.6,3745,0
PRTS.US,D,20070717,000000,94.5,97.1,94.5,95.9,10940.800000000001,0
PRTS.US,D,20070718,000000,95.9,96.6,94.5,95.9,1764,0
PRTS.US,D,20070719,000000,95.6,96.9,94.8,94.8,2362.6,0
PRTS.US,D,20070720,000000,94.6,95.3,88.5,95.3,6136.400000000001,0
PRTS.US,D,20070723,000000,95.9,95.9,92,95,12095.7,0
PRTS.US,D,20070724,000000,94,94.5,91,94.1,10707.800000000001,0
PRTS.US,D,20070725,000000,93.8,93.8,92.6,93.4,5926.900000000001,0
PRTS.US,D,20070726,000000,91.8,92.4,90,91.5,7931.3,0
PRTS.US,D,20070727,000000,90.5,90.5,86.8,88.8,10883.6,0
PRTS.US,D,20070730,000000,88,88.3,84.5,87.7,6464.1,0
PRTS.US,D,20070731,000000,88,92,87,88.5,14016.6,0
PRTS.US,D,20070801,000000,87.3,88.9,86,87.9,9452.300000000001,0
PRTS.US,D,20070802,000000,87.8,89.9,85,87.9,22191.800000000003,0
PRTS.US,D,20070803,000000,90,90.1,86.2,88.5,20924.800000000003,0
PRTS.US,D,20070806,000000,89.5,92,85.4,90,13048.7,0
PRTS.US,D,20070807,000000,89.1,90.5,84.4,86,23952.7,0
PRTS.US,D,20070808,000000,86.1,89.1,83.7,88.2,31764.9,0
PRTS.US,D,20070809,000000,86.2,92.8,86.2,89,8130.5,0
PRTS.US,D,20070810,000000,87.3,90,85.6,88.8,12286.900000000001,0
PRTS.US,D,20070813,000000,87.9,92,86,89.1,7699.200000000001,0
PRTS.US,D,20070814,000000,88.7,89.3,86.4,87,3618.7000000000003,0
PRTS.US,D,20070815,000000,87,89.9,84.3,85.3,4905.8,0
PRTS.US,D,20070816,000000,84.9,84.9,80,81.6,14535,0
PRTS.US,D,20070817,000000,82,84.6,79.7,83,22711.800000000003,0
PRTS.US,D,20070820,000000,83.1,83.5,80.4,82.2,3001.6000000000004,0
PRTS.US,D,20070821,000000,81.6,88,81.2,86,5837.5,0
PRTS.US,D,20070822,000000,86.1,86.5,83,83.7,4062,0
PRTS.US,D,20070823,000000,84,84.2,80,83,16691.9,0
PRTS.US,D,20070824,000000,83.4,84.2,80.9,84,20813.9,0
PRTS.US,D,20070827,000000,84,85.6,81.9,83.2,81407.3,0
PRTS.US,D,20070828,000000,83,84,79.5,80.6,12482.400000000001,0
PRTS.US,D,20070829,000000,80.8,80.8,77.7,78.2,12083.6,0
PRTS.US,D,20070830,000000,78.8,82.6,76.3,79.5,10278.900000000001,0
PRTS.US,D,20070831,000000,81.4,84.3,79.7,83.6,12305.900000000001,0
PRTS.US,D,20070904,000000,83.1,86.7,82.3,86.6,3407.8,0
PRTS.US,D,20070905,000000,86.7,89,84.1,85.2,7030.400000000001,0
PRTS.US,D,20070906,000000,85.3,87.3,85.1,87.2,3561.9,0
PRTS.US,D,20070907,000000,86.2,87.5,84.8,86,5934.3,0
PRTS.US,D,20070910,000000,86.3,87.1,83,85,4981.5,0
PRTS.US,D,20070911,000000,85.3,86.1,84.5,84.9,3264.1000000000004,0
PRTS.US,D,20070912,000000,84.4,87.1,84.2,85.8,4818.7,0
PRTS.US,D,20070913,000000,85.9,85.9,70.2,83.1,42674.700000000004,0
PRTS.US,D,20070914,000000,82.5,83.7,79.5,82,5786.8,0
PRTS.US,D,20070917,000000,81.6,83,80.5,82.5,3280,0
PRTS.US,D,20070918,000000,82.9,84.3,81.3,83.8,7668.3,0
PRTS.US,D,20070919,000000,84.1,84.6,81.7,83.8,7455,0
PRTS.US,D,20070920,000000,84,87,82.7,87,3273.1000000000004,0
PRTS.US,D,20070921,000000,87,89,87,88.4,2305.9,0
PRTS.US,D,20070924,000000,88.4,89,87.5,88.9,8446.9,0
PRTS.US,D,20070925,000000,88.3,90.6,88,90.1,15884.400000000001,0
PRTS.US,D,20070926,000000,90.1,90.1,86.6,87.2,7463.400000000001,0
PRTS.US,D,20070927,000000,87.5,89.5,87.4,88.9,19561.100000000002,0
PRTS.US,D,20070928,000000,88.5,89.5,87.1,87.1,20857.800000000003,0
PRTS.US,D,20071001,000000,86.8,88.5,83.5,87.4,7604.3,0
PRTS.US,D,20071002,000000,87.5,87.6,83,87.1,13607.6,0
PRTS.US,D,20071003,000000,86.6,87.2,85.8,85.9,2421,0
PRTS.US,D,20071004,000000,85.7,87.8,84,86.4,2814.4,0
PRTS.US,D,20071005,000000,87,87,85.5,86,1560,0
PRTS.US,D,20071008,000000,86.3,87.4,84.4,86.5,4342,0
PRTS.US,D,20071009,000000,86.9,86.9,84.3,85.7,2955,0
PRTS.US,D,20071010,000000,85.4,86.6,84.2,85.6,2570,0
PRTS.US,D,20071011,000000,86.3,86.7,84.5,86.2,2439.6,0
PRTS.US,D,20071012,000000,86.1,86.3,85.8,86.1,562.5,0
PRTS.US,D,20071015,000000,86,87.1,86,86.5,6560.700000000001,0
PRTS.US,D,20071016,000000,86.8,87.4,82.7,83.1,7122.8,0
PRTS.US,D,20071017,000000,83.5,83.5,80.5,81,7114.8,0
PRTS.US,D,20071018,000000,81.1,82.4,80.5,81.8,1794.1000000000001,0
PRTS.US,D,20071019,000000,80.8,81.4,79.8,80.1,3411.5,0
PRTS.US,D,20071022,000000,80.2,81.3,80.1,80.5,1854.8000000000002,0
PRTS.US,D,20071023,000000,81.3,83.1,81.3,82.4,2170,0
PRTS.US,D,20071024,000000,82.4,83.5,80,81,3530,0
PRTS.US,D,20071025,000000,80.4,81.5,80.3,80.5,2476,0
PRTS.US,D,20071026,000000,80.9,82.3,80,80.6,2247.1,0
PRTS.US,D,20071029,000000,80.5,82.4,80.3,81.3,5641.200000000001,0
PRTS.US,D,20071030,000000,81.2,83.8,81.2,82.9,4746.5,0
PRTS.US,D,20071031,000000,82.4,85.3,82.4,84,3465.5,0
PRTS.US,D,20071101,000000,84,84,80.4,82.6,2821.3,0
PRTS.US,D,20071102,000000,82.3,87.8,82.3,85.8,4982.1,0
PRTS.US,D,20071105,000000,84.3,84.8,82.8,84.1,3365,0
PRTS.US,D,20071106,000000,85.2,86.1,80.6,82.8,11178.1,0
PRTS.US,D,20071107,000000,83.8,85.5,82.5,84.2,2181.5,0
PRTS.US,D,20071108,000000,84,84.4,82.5,83.7,2014.3000000000002,0
PRTS.US,D,20071109,000000,80.1,80.1,67.5,72.7,23164.7,0
PRTS.US,D,20071112,000000,72.4,72.4,67.5,68.5,7163.8,0
PRTS.US,D,20071113,000000,68.5,72.6,68.5,72.5,2808.1000000000004,0
PRTS.US,D,20071114,000000,72.4,73.5,71.9,73,1390,0
PRTS.US,D,20071115,000000,71.8,74,71.8,74,2897,0
PRTS.US,D,20071116,000000,74,93.6,73.7,92.7,30149.9,0
PRTS.US,D,20071119,000000,85.1,87.5,74.4,80.1,20551.100000000002,0
PRTS.US,D,20071120,000000,80,83.7,79,83.3,11869.800000000001,0
PRTS.US,D,20071121,000000,83.4,83.6,73,77.5,11790.300000000001,0
PRTS.US,D,20071123,000000,76,81,75.8,79.6,1812.6000000000001,0
PRTS.US,D,20071126,000000,79.1,79.3,76.4,77.3,1249.5,0
PRTS.US,D,20071127,000000,78.6,81,78,80.9,7779.900000000001,0
PRTS.US,D,20071128,000000,81,86.3,79.7,85.9,8879,0
PRTS.US,D,20071129,000000,85.2,90,84.7,85.2,4095,0
PRTS.US,D,20071130,000000,87.9,90.4,83,83,7163,0
PRTS.US,D,20071203,000000,83.3,86.5,81.2,84.2,3245.2000000000003,0
PRTS.US,D,20071204,000000,86.2,86.4,83.3,84.4,1319.8000000000002,0
PRTS.US,D,20071205,000000,84.1,84.4,80,81.3,4277.900000000001,0
PRTS.US,D,20071206,000000,81,89.6,81,86.4,2170.6,0
PRTS.US,D,20071207,000000,86.2,86.6,85.5,85.9,150,0
PRTS.US,D,20071210,000000,85.7,88.3,84.4,87.9,4140.2,0
PRTS.US,D,20071211,000000,86.8,88.2,84,85.5,1729.8000000000002,0
PRTS.US,D,20071212,000000,84.3,90.1,83.1,87.1,3415.9,0
PRTS.US,D,20071213,000000,86.4,89,84.7,85.1,1560,0
PRTS.US,D,20071214,000000,86.1,86.1,80,80.4,961.6,0
PRTS.US,D,20071217,000000,82.4,82.4,75.3,77.1,6958.1,0
PRTS.US,D,20071218,000000,77.9,80.5,77.9,80.5,2837,0
PRTS.US,D,20071219,000000,80.2,80.2,77.1,77.2,2882.6000000000004,0
PRTS.US,D,20071220,000000,78.6,82.5,78.6,82.2,4498.3,0
PRTS.US,D,20071221,000000,82,82.5,77.6,77.8,2803.8,0
PRTS.US,D,20071224,000000,77.7,81.1,77.4,78,3418.3,0
PRTS.US,D,20071226,000000,78,78.2,77.2,77.5,1837.7,0
PRTS.US,D,20071227,000000,77.2,79.4,73.8,75.3,2594.9,0
PRTS.US,D,20071228,000000,74.7,75.2,74,74.4,14647.7,0
PRTS.US,D,20071231,000000,73.7,82.1,70.2,81.1,14250.1,0
PRTS.US,D,20080102,000000,82,82,69.1,70.1,5735.6,0
PRTS.US,D,20080103,000000,69.9,71,69.7,70.9,4493.8,0
PRTS.US,D,20080104,000000,70.5,70.8,69.2,70,3689.7000000000003,0
PRTS.US,D,20080107,000000,69.4,72,66,66.7,4311.900000000001,0
PRTS.US,D,20080108,000000,66.2,68.4,66.2,67.5,2156,0
PRTS.US,D,20080109,000000,67.4,68.7,65,67,3953,0
PRTS.US,D,20080110,000000,67,67.9,64.2,67.9,9129,0
PRTS.US,D,20080111,000000,67,68.3,62.8,64.5,4579.7,0
PRTS.US,D,20080114,000000,65.6,67.5,62.5,67,4521.7,0
PRTS.US,D,20080115,000000,66.6,66.6,62,65.9,5485.900000000001,0
PRTS.US,D,20080116,000000,64.6,64.6,62,63.3,3405,0
PRTS.US,D,20080117,000000,64.1,64.1,59.6,60.4,2850,0
PRTS.US,D,20080118,000000,61.3,61.3,54,55.6,7293.6,0
PRTS.US,D,20080122,000000,56,61.7,53,59.9,2720.1000000000004,0
PRTS.US,D,20080123,000000,59.2,59.6,57.7,59.4,2090,0
PRTS.US,D,20080124,000000,60,60,56.8,56.9,3191.6000000000004,0
PRTS.US,D,20080125,000000,58.1,59.5,56.8,59.4,6236.900000000001,0
PRTS.US,D,20080128,000000,59.1,59.1,55.4,55.9,4485.8,0
PRTS.US,D,20080129,000000,57.7,58.1,53.5,53.5,5051.8,0
PRTS.US,D,20080130,000000,52.8,55.7,52.4,54.6,5367.400000000001,0
PRTS.US,D,20080131,000000,53.1,59.9,52.8,59.7,26302.4,0
PRTS.US,D,20080201,000000,60.3,60.3,54.9,59,3405.2000000000003,0
PRTS.US,D,20080204,000000,58.9,59.7,54.8,56.2,2694.2000000000003,0
PRTS.US,D,20080205,000000,56.2,56.4,52.4,54,7219,0
PRTS.US,D,20080206,000000,55.3,57.5,53.8,54,4170,0
PRTS.US,D,20080207,000000,52.3,54.9,52,54,4685.7,0
PRTS.US,D,20080208,000000,54.4,56.9,52.7,52.8,8783,0
PRTS.US,D,20080211,000000,53.5,60.3,53.3,60,3909.3,0
PRTS.US,D,20080212,000000,60.5,60.6,58.3,58.5,2985,0
PRTS.US,D,20080213,000000,58,59.4,54.6,57.4,2451.2000000000003,0
PRTS.US,D,20080214,000000,58,58.8,55.5,55.8,1795,0
PRTS.US,D,20080215,000000,55.1,55.2,53.7,54,6012.900000000001,0
PRTS.US,D,20080219,000000,54.4,54.6,53.3,53.6,2934.7000000000003,0
PRTS.US,D,20080220,000000,52.2,56.5,51.8,54.9,3540,0
PRTS.US,D,20080221,000000,54.9,55.2,54.5,54.9,956.9000000000001,0
PRTS.US,D,20080222,000000,54,54.3,49.9,49.9,7891.1,0
PRTS.US,D,20080225,000000,50.3,50.3,47.3,48,2726.9,0
PRTS.US,D,20080226,000000,50,50,46.1,47.5,3733.1000000000004,0
PRTS.US,D,20080227,000000,47.5,53.5,47.5,49.6,20806.300000000003,0
PRTS.US,D,20080228,000000,49.9,49.9,48.3,49.6,4810.2,0
PRTS.US,D,20080229,000000,49.7,51,48.9,49.1,8145.1,0
PRTS.US,D,20080303,000000,49.4,50.3,46.1,47.5,6133.400000000001,0
PRTS.US,D,20080304,000000,47.1,47.7,46.4,46.5,1363.3000000000002,0
PRTS.US,D,20080305,000000,46.9,47.4,45,46.4,1331.1000000000001,0
PRTS.US,D,20080306,000000,46.7,47.8,46.3,46.5,4692.7,0
PRTS.US,D,20080307,000000,44.9,44.9,28.5,29.4,42467.9,0
PRTS.US,D,20080310,000000,29.6,31.9,27.3,27.7,73380.3,0
PRTS.US,D,20080311,000000,27.9,31.4,25.9,26.4,25118.4,0
PRTS.US,D,20080312,000000,26.3,27.5,24,26.3,36825.200000000004,0
PRTS.US,D,20080313,000000,27.2,28.9,26.5,28.2,14772.300000000001,0
PRTS.US,D,20080314,000000,28,28.2,26,27,11824.5,0
PRTS.US,D,20080317,000000,25.8,27,21.3,24.9,22930.9,0
PRTS.US,D,20080318,000000,25.9,26.5,23.9,24.8,4665.3,0
PRTS.US,D,20080319,000000,24.5,24.8,23.5,23.5,5544.8,0
PRTS.US,D,20080320,000000,23.9,24.9,23.5,24.9,1240.2,0
PRTS.US,D,20080324,000000,24.9,31,24.9,29.2,13047.900000000001,0
PRTS.US,D,20080325,000000,29.5,31.4,27,30.6,7873.200000000001,0
PRTS.US,D,20080326,000000,30.3,32.5,29.2,32,4892.5,0
PRTS.US,D,20080327,000000,32.3,32.8,31,31.8,3556.1000000000004,0
PRTS.US,D,20080328,000000,31.5,32.4,29.6,31.4,6028.3,0
PRTS.US,D,20080331,000000,31.1,33.2,31.1,32,5279.900000000001,0
PRTS.US,D,20080401,000000,32,40.5,32,38.5,6329.1,0
PRTS.US,D,20080402,000000,38.2,39.3,36.4,39.2,7241.5,0
PRTS.US,D,20080403,000000,38.6,40.1,37.3,40.1,3727,0
PRTS.US,D,20080404,000000,39.9,39.9,36.6,37.3,4219.900000000001,0
PRTS.US,D,20080407,000000,37.2,37.6,34.5,36,3960,0
PRTS.US,D,20080408,000000,36.2,36.2,34.5,34.5,2117.8,0
PRTS.US,D,20080409,000000,35.4,39.3,35.4,38.3,3018.5,0
PRTS.US,D,20080410,000000,39.3,40,37.6,38.1,4476.3,0
PRTS.US,D,20080411,000000,37.2,38.1,33.4,35.1,1618.7,0
PRTS.US,D,20080414,000000,34.8,34.8,33.9,33.9,597.6,0
