<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PWCM.US,D,20151209,000000,66375,66375,63825,66375,0.346666,0
PWCM.US,D,20151210,000000,67575,67575,60225,66750,0.96,0
PWCM.US,D,20151211,000000,68250,75000,67575,75000,0.506666,0
PWCM.US,D,20151214,000000,75000,75000,75000,75000,0.08,0
PWCM.US,D,20151215,000000,70500,73875,70500,73875,0.32,0
PWCM.US,D,20151216,000000,69450,72750,67950,72750,0.333333,0
PWCM.US,D,20151217,000000,67575,72000,67575,67950,1.17333,0
PWCM.US,D,20151218,000000,67950,67950,67575,67575,0.2,0
PWCM.US,D,20151221,000000,67350,67500,65625,67500,0.96,0
PWCM.US,D,20151223,000000,67350,67500,63900,67500,0.133333,0
PWCM.US,D,20151224,000000,67425,67425,67425,67425,0.0266666,0
PWCM.US,D,20151228,000000,67132.5,67132.5,67132.5,67132.5,0.0133333,0
PWCM.US,D,20151229,000000,67125,67125,63825,67125,0.58,0
PWCM.US,D,20151230,000000,67350,67350,66825,66825,0.0666666,0
PWCM.US,D,20151231,000000,65929.5,66675,63825,66675,0.146666,0
PWCM.US,D,20160104,000000,63750,67500,63750,63750,0.22,0
PWCM.US,D,20160105,000000,61905,67425,61875,67425,0.346666,0
PWCM.US,D,20160106,000000,63547.5,67575,63547.5,67575,0.0533333,0
PWCM.US,D,20160107,000000,67125,67125,63750,63750,0.193333,0
PWCM.US,D,20160108,000000,67575,67575,63750,63843,0.286666,0
PWCM.US,D,20160111,000000,66675,66675,63825,65623.5,0.226666,0
PWCM.US,D,20160112,000000,66975,67312.5,63750,63750,0.58,0
PWCM.US,D,20160113,000000,66750,66750,61125,65175,1.71333,0
PWCM.US,D,20160114,000000,67500,67500,62100,66000,4.82,0
PWCM.US,D,20160115,000000,63825,65625,63825,65625,0.646666,0
PWCM.US,D,20160119,000000,63825,66750,63825,66750,0.253333,0
PWCM.US,D,20160120,000000,69225,69225,61950,64875,1.71333,0
PWCM.US,D,20160121,000000,66300,66750,63750,63750,0.473333,0
PWCM.US,D,20160122,000000,66150,66375,57825,66225,0.373333,0
PWCM.US,D,20160125,000000,63300,64050,60450,63450,0.24,0
PWCM.US,D,20160126,000000,62623.5,67500,58125,61539,21.2,0
PWCM.US,D,20160127,000000,60750,66000,58200,60225,5.43333,0
PWCM.US,D,20160128,000000,67425,67500,61125,61500,1.13333,0
PWCM.US,D,20160129,000000,74175,74175,61842,66000,0.0666666,0
PWCM.US,D,20160201,000000,71023.5,71023.5,63150,65430,0.886666,0
PWCM.US,D,20160202,000000,63750,63750,61800,63300,0.253333,0
PWCM.US,D,20160203,000000,62100,62100,60150,60750,0.726666,0
PWCM.US,D,20160204,000000,68364,68364,60750,64800,0.266666,0
PWCM.US,D,20160205,000000,67125,67425,61950,67275,0.94,0
PWCM.US,D,20160208,000000,63675,63675,63675,63675,0.0266666,0
PWCM.US,D,20160209,000000,66750,66750,60600,60600,1.27333,0
PWCM.US,D,20160210,000000,63375,63450,62400,62400,0.106666,0
PWCM.US,D,20160211,000000,61492.5,61492.5,59700,60675,0.673333,0
PWCM.US,D,20160212,000000,60525,60750,60525,60750,0.173333,0
PWCM.US,D,20160216,000000,60192,65025,60192,65025,0.28,0
PWCM.US,D,20160217,000000,61950,67875,61950,67575,0.653333,0
PWCM.US,D,20160218,000000,66225,66225,60750,61575,0.3,0
PWCM.US,D,20160219,000000,63825,63825,61800,61800,0.153333,0
PWCM.US,D,20160222,000000,63150,63825,60750,63825,0.48,0
PWCM.US,D,20160223,000000,60675,67575,60675,60675,0.44,0
PWCM.US,D,20160224,000000,60900,60900,60375,60750,1.03333,0
PWCM.US,D,20160225,000000,60375,60375,60075,60075,0.16,0
PWCM.US,D,20160226,000000,62175,62175,55500,60675,0.646666,0
PWCM.US,D,20160229,000000,61800,61800,58980,60300,0.213333,0
PWCM.US,D,20160301,000000,63750,67500,60375,63825,1.33333,0
PWCM.US,D,20160302,000000,71175,71175,63750,63750,0.106666,0
PWCM.US,D,20160303,000000,63825,65217,60600,65217,0.146666,0
PWCM.US,D,20160304,000000,65325,65325,65325,65325,0.0133333,0
PWCM.US,D,20160307,000000,65250,66750,65250,66300,0.146666,0
PWCM.US,D,20160308,000000,66300,66375,61182,66000,1.60666,0
PWCM.US,D,20160309,000000,66325.5,66375,62637,66000,0.233333,0
PWCM.US,D,20160310,000000,66375,66375,66375,66375,0.293333,0
PWCM.US,D,20160311,000000,66675,66675,60975,65925,0.546666,0
PWCM.US,D,20160314,000000,66375,68250,62850,67500,2.90666,0
PWCM.US,D,20160315,000000,61650,67725,61650,67500,1.86,0
PWCM.US,D,20160316,000000,67500,67500,66150,67500,1.38,0
PWCM.US,D,20160317,000000,67500,68250,64762.5,68100,2.32,0
PWCM.US,D,20160318,000000,67500,67500,63000,63000,3.84,0
PWCM.US,D,20160321,000000,63750,67425,63675,63975,0.52,0
PWCM.US,D,20160322,000000,63750,65175,61950,62025,0.746666,0
PWCM.US,D,20160323,000000,65325,67575,61950,62775,0.673333,0
PWCM.US,D,20160324,000000,64425,64950,62475,63000,0.473333,0
PWCM.US,D,20160328,000000,63075,63075,62475,62475,0.0733333,0
PWCM.US,D,20160329,000000,64350,64350,61950,61950,0.44,0
PWCM.US,D,20160330,000000,63750,63750,60075,60825,0.42,0
PWCM.US,D,20160331,000000,63675,63675,61425,61425,0.186666,0
PWCM.US,D,20160401,000000,61350,61350,60075,60150,0.513333,0
PWCM.US,D,20160404,000000,61950,63600,61200,61200,0.213333,0
PWCM.US,D,20160405,000000,63675,63675,61575,61575,0.06,0
PWCM.US,D,20160406,000000,61575,61950,61575,61950,0.16,0
PWCM.US,D,20160407,000000,62325,62700,61950,62325,0.24,0
PWCM.US,D,20160408,000000,62250,63675,61500,61650,0.386666,0
PWCM.US,D,20160411,000000,61500,64500,61200,63225,4.00666,0
PWCM.US,D,20160412,000000,67800,67800,67800,67800,0.0266666,0
PWCM.US,D,20160413,000000,63675,63675,63453,63453,0.0533333,0
PWCM.US,D,20160414,000000,63750,63750,60825,60825,2.76666,0
PWCM.US,D,20160415,000000,63675,63675,61200,61200,0.113333,0
PWCM.US,D,20160418,000000,61650,61725,61650,61725,0.06,0
PWCM.US,D,20160419,000000,63675,63750,60825,63750,0.413333,0
PWCM.US,D,20160420,000000,63675,63750,63675,63750,0.106666,0
PWCM.US,D,20160421,000000,61650,63750,60075,61050,1.86,0
PWCM.US,D,20160422,000000,61275,63675,58200,59325,5.97333,0
PWCM.US,D,20160425,000000,60225,61792.5,59625,61792.5,0.24,0
PWCM.US,D,20160426,000000,60525,60600,59025,60075,0.773333,0
PWCM.US,D,20160427,000000,60300,63225,60225,63225,0.493333,0
PWCM.US,D,20160428,000000,62625,66600,62625,66600,0.0666666,0
PWCM.US,D,20160429,000000,63450,65832,60750,60750,0.426666,0
PWCM.US,D,20160502,000000,60450,60450,60450,60450,0.0133333,0
