<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QBTZ.US,D,20251008,000000,55.95,67.977,49.23,62.22,295115.3333038218,0
QBTZ.US,D,20251009,000000,61.41,64.5,53.7,59.4792,689090.3332644242,0
QBTZ.US,D,20251010,000000,58.11,67.7448,57,66.2112,584674.9999415325,0
QBTZ.US,D,20251013,000000,60.99,66.96,30.75,35.49,953121.6665713545,0
QBTZ.US,D,20251014,000000,36.09,40.05,27.66,31.5,1076981.6665589684,0
QBTZ.US,D,20251015,000000,26.52,34.11,26.31,28.9875,2164354.666450231,0
QBTZ.US,D,20251016,000000,29.19,35.58,28.68,34.47,1952868.3331380463,0
QBTZ.US,D,20251017,000000,38.04,42,36.24,38.31,1553626.3331779705,0
QBTZ.US,D,20251020,000000,35.91,47.67,35.52,45.99,853508.3332479824,0
QBTZ.US,D,20251021,000000,47.94,54.6465,47.01,51.54,999492.3332333841,0
QBTZ.US,D,20251022,000000,58.29,70.41,54.57,67.35,1214634.33321187,0
QBTZ.US,D,20251023,000000,41.61,55.41,37.1196,48.45,3592129.33297412,0
QBTZ.US,D,20251024,000000,42,44.535,35.6415,43.23,3765777.3329567555,0
QBTZ.US,D,20251027,000000,39.87,41.85,31.3473,37.08,3175894.3330157436,0
QBTZ.US,D,20251028,000000,36.87,43.8927,34.0515,43.56,2343368.999765663,0
QBTZ.US,D,20251029,000000,42.72,43.59,36.42,37.56,1858672.9998141327,0
QBTZ.US,D,20251030,000000,40.08,41.34,31.8723,33.45,1920839.9998079159,0
QBTZ.US,D,20251031,000000,33.96,35.25,30.8109,31.5,1063177.6665603488,0
QBTZ.US,D,20251103,000000,30.51,40.02,30.51,38.16,1214570.3332118762,0
QBTZ.US,D,20251104,000000,42.96,46.5,39.42,45.66,1557557.3331775775,0
QBTZ.US,D,20251105,000000,43.29,47.16,39.93,41.79,1056070.999894393,0
QBTZ.US,D,20251106,000000,43.14,49.38,42.6,48.6,1581110.999841889,0
QBTZ.US,D,20251107,000000,51.885,55.35,44.04,44.67,1737739.6664928927,0
QBTZ.US,D,20251110,000000,42.81,47.7,38.31,45.03,2292646.666437402,0
QBTZ.US,D,20251111,000000,46.8,49.26,43.05,46.05,1519838.999848016,0
QBTZ.US,D,20251112,000000,46.26,55.1388,44.4117,54.27,675148.999932485,0
QBTZ.US,D,20251113,000000,58.83,68.46,57.9,66.735,979226.9999020773,0
QBTZ.US,D,20251114,000000,76.74,77.64,57.3306,65.19,1501453.333183188,0
QBTZ.US,D,20251117,000000,66.9,73.02,63.57,69.3,649637.6666017028,0
QBTZ.US,D,20251118,000000,74.16,75.3,65.76,68.64,636010.6666030656,0
QBTZ.US,D,20251119,000000,66.51,68.7,59.58,65.43,708265.9999291734,0
QBTZ.US,D,20251120,000000,62.55,82.62,58.5,81.66,1034337.9998965662,0
QBTZ.US,D,20251121,000000,81.81,96.84,79.98,82.38,786865.9999213134,0
QBTZ.US,D,20251124,000000,81.48,81.6,58.83,60.84,819275.666584739,0
QBTZ.US,D,20251125,000000,64.02,68.46,61.53,63.09,604780.3332728553,0
QBTZ.US,D,20251126,000000,61.89,66.24,61.005,63.69,345558.33329877746,0
QBTZ.US,D,20251128,000000,61.65,64.7697,60.75,62.22,145472.6666521194,0
QBTZ.US,D,20251201,000000,65.64,69.57,64.4736,68.85,325172.6666341494,0
QBTZ.US,D,20251202,000000,67.8,68.31,59.4003,61.89,435289.33328980434,0
QBTZ.US,D,20251203,000000,59.58,62.6046,46.5603,47.685,799858.6665866808,0
QBTZ.US,D,20251204,000000,47.46,49.02,33.204,33.81,1556899.3331776434,0
QBTZ.US,D,20251205,000000,34.02,39.465,33.33,37.71,1320887.9998679112,0
QBTZ.US,D,20251208,000000,35.34,38.7852,31.86,33.78,1438236.3331895096,0
QBTZ.US,D,20251209,000000,35.04,36.8031,33,33.99,681233.3332652099,0
QBTZ.US,D,20251210,000000,34.62,37.7994,33.45,37.56,909005.3332424328,0
QBTZ.US,D,20251211,000000,36.63,40.83,32.94,33.99,1124151.6665542515,0
QBTZ.US,D,20251212,000000,35.31,40.8,33.69,38.67,914344.3332418988,0
QBTZ.US,D,20251215,000000,37.74,46.2,37.17,45.75,803783.9999196215,0
QBTZ.US,D,20251216,000000,44.97,45.0453,38.58,38.91,719480.9999280518,0
QBTZ.US,D,20251217,000000,37.05,44.1,33.51,44.1,1014751.9998985247,0
QBTZ.US,D,20251218,000000,39.63,42.4911,36.585,40.05,1107507.9998892492,0
QBTZ.US,D,20251219,000000,38.25,38.88,33,33.69,885176.3332448157,0
QBTZ.US,D,20251222,000000,31.47,31.74,19.86,20.28,3636634.3329696697,0
QBTZ.US,D,20251223,000000,22.26,24.63,20.64,24.06,2823013.333051032,0
QBTZ.US,D,20251224,000000,23.1,27.6564,23.1,26.61,1748587.3331584744,0
QBTZ.US,D,20251226,000000,26.61,31.89,26.61,30.87,1435797.99985642,0
QBTZ.US,D,20251229,000000,30.93,31.41,27.3,28.74,1480121.6665186544,0
