<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBNE.US,D,20250411,000000,99,1848.75,99,637.5,549.76,0
RBNE.US,D,20250414,000000,1124.25,1219.23,398.25,435,1870.94,0
RBNE.US,D,20250415,000000,450,489.682,296.25,345,1687.72,0
RBNE.US,D,20250416,000000,333.75,333.75,264,264,1706.37,0
RBNE.US,D,20250417,000000,262.5,280.5,210.75,274.5,1449.62,0
RBNE.US,D,20250421,000000,270,276,237.487,267.75,889.346,0
RBNE.US,D,20250422,000000,253.5,273.75,225,239.01,630.093,0
RBNE.US,D,20250423,000000,238.5,249.96,217.875,225,275.32,0
RBNE.US,D,20250424,000000,231.75,255,219.765,243.682,1946.85,0
RBNE.US,D,20250425,000000,243.75,252.75,210,217.5,1169.02,0
RBNE.US,D,20250428,000000,216.75,231.562,213,225.765,99.16,0
RBNE.US,D,20250429,000000,217.5,217.5,189.75,205.837,780.706,0
RBNE.US,D,20250430,000000,200.25,217.5,200.25,204,118.12,0
RBNE.US,D,20250501,000000,219,219,196.5,196.5,82.5733,0
RBNE.US,D,20250502,000000,194.25,204.577,180.6,186.75,188.68,0
RBNE.US,D,20250505,000000,192.75,204.937,181.5,182.25,184.986,0
RBNE.US,D,20250506,000000,180.75,192.885,179.25,179.25,147.213,0
RBNE.US,D,20250507,000000,189,189,178.5,178.5,59.3733,0
RBNE.US,D,20250508,000000,185.25,222,181.875,213,1097.69,0
RBNE.US,D,20250509,000000,213,247.5,211.5,211.5,667.32,0
RBNE.US,D,20250512,000000,213,240,213,222,268.346,0
RBNE.US,D,20250513,000000,225.75,237.75,207.007,211.777,416.76,0
RBNE.US,D,20250514,000000,210,225,207,212.25,153.546,0
RBNE.US,D,20250515,000000,204,212.25,195.75,209.25,209.546,0
RBNE.US,D,20250516,000000,198.75,207.982,192,199.77,114.76,0
RBNE.US,D,20250519,000000,195.75,197.25,189.75,195.615,283,0
RBNE.US,D,20250520,000000,191.25,204.75,191.25,201.75,177.306,0
