<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RETO.US,D,20171129,000000,166000,249600,166000,211400,15.0476,0
RETO.US,D,20171130,000000,211600,237000,182200,202000,13.5461,0
RETO.US,D,20171201,000000,201200,212900,168400,171200,11.17445,0
RETO.US,D,20171204,000000,170400,234000,151000,224800,24.62095,0
RETO.US,D,20171205,000000,214800,255000,195400,200000,26.5045,0
RETO.US,D,20171206,000000,200200,218200,166000,166600,13.2072,0
RETO.US,D,20171207,000000,166000,174000,132000,149100,27.375,0
RETO.US,D,20171208,000000,150000,163600,145000,154800,10.68985,0
RETO.US,D,20171211,000000,159778,159778,137802,145200,9.083,0
RETO.US,D,20171212,000000,147800,163998,147600,160000,10.63055,0
RETO.US,D,20171213,000000,158000,176000,158000,172000,10.45485,0
RETO.US,D,20171214,000000,171800,180000,159200,172000,12.803,0
RETO.US,D,20171215,000000,176000,191800,166200,189200,22.36875,0
RETO.US,D,20171218,000000,189000,205600,186400,198000,12.94045,0
RETO.US,D,20171219,000000,198000,206400,180420,197200,9.18405,0
RETO.US,D,20171220,000000,199200,203000,192000,194600,5.6539,0
RETO.US,D,20171221,000000,195200,199000,168000,171200,11.14545,0
RETO.US,D,20171222,000000,168600,175400,152300,166800,7.94845,0
RETO.US,D,20171226,000000,171000,185600,167400,170800,18.59325,0
RETO.US,D,20171227,000000,173200,180000,137178,140200,28.363,0
RETO.US,D,20171228,000000,143000,149200,118800,121200,22.60785,0
RETO.US,D,20171229,000000,122000,147000,121200,140800,12.28475,0
RETO.US,D,20180102,000000,146800,146800,125800,142200,3.37115,0
RETO.US,D,20180103,000000,140598,153598,132000,151600,15.1933,0
RETO.US,D,20180104,000000,153400,167668,141228,166600,16.51695,0
RETO.US,D,20180105,000000,167000,189598,159200,171600,24.0225,0
RETO.US,D,20180108,000000,168000,192000,157600,174800,45.2095,0
RETO.US,D,20180109,000000,166400,178400,162800,174600,24.3935,0
RETO.US,D,20180110,000000,177600,177600,156000,168600,19.3172,0
RETO.US,D,20180111,000000,168400,198800,165000,181200,31.6805,0
RETO.US,D,20180112,000000,181200,191200,152002,160000,23.18205,0
RETO.US,D,20180116,000000,159800,167580,159600,161200,2.85215,0
RETO.US,D,20180117,000000,160800,191000,157400,180800,20.9524,0
RETO.US,D,20180118,000000,177800,202000,162602,201400,14.4813,0
RETO.US,D,20180119,000000,197400,226400,193400,222600,15.6857,0
RETO.US,D,20180122,000000,223000,223800,200200,215400,10.43875,0
RETO.US,D,20180123,000000,215600,222000,204512,210800,15.4482,0
RETO.US,D,20180124,000000,213400,213400,192000,194000,10.52155,0
RETO.US,D,20180125,000000,193000,200200,173400,179200,10.28305,0
RETO.US,D,20180126,000000,177600,186000,172000,179200,14.8242,0
RETO.US,D,20180129,000000,180000,189000,177200,184800,4.20705,0
RETO.US,D,20180130,000000,180200,194400,180000,192200,7.3889,0
RETO.US,D,20180131,000000,193000,206000,185600,189200,9.66795,0
RETO.US,D,20180201,000000,190000,201000,163000,181800,21.60155,0
RETO.US,D,20180202,000000,182400,187400,176400,187400,3.3618,0
RETO.US,D,20180205,000000,183600,207800,183600,203800,4.43135,0
RETO.US,D,20180206,000000,196200,214902,189800,202000,17.62465,0
RETO.US,D,20180207,000000,198200,209572,172400,172400,25.03025,0
RETO.US,D,20180208,000000,174000,179200,159600,162400,4.55255,0
RETO.US,D,20180209,000000,161400,175800,158100,159200,2.5445,0
RETO.US,D,20180212,000000,162000,164600,149600,151400,2.44375,0
RETO.US,D,20180213,000000,152600,158600,148200,149800,1.8173,0
RETO.US,D,20180214,000000,148000,148000,138000,140400,6.20895,0
RETO.US,D,20180215,000000,142716,148200,136200,143200,5.54855,0
RETO.US,D,20180216,000000,148396,173200,147400,171600,12.80415,0
RETO.US,D,20180220,000000,173000,186080,162306,173000,11.7812,0
RETO.US,D,20180221,000000,171400,188000,171400,186200,8.80235,0
RETO.US,D,20180222,000000,182600,188800,177600,183000,4.95735,0
RETO.US,D,20180223,000000,185000,205800,180400,203000,8.8155,0
RETO.US,D,20180226,000000,202000,209800,190000,191600,26.2515,0
RETO.US,D,20180227,000000,188000,213820,172200,173400,38.9615,0
RETO.US,D,20180228,000000,171800,186200,170000,171800,18.8204,0
RETO.US,D,20180301,000000,176800,180000,152200,158800,8.9617,0
RETO.US,D,20180302,000000,158998,163400,154398,159600,2.56565,0
