<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REXC.US,D,20260415,000000,20.3,21.49,20.2994,20.9183,122395,0
REXC.US,D,20260416,000000,22.5,22.51,20.9,21.53,320762,0
REXC.US,D,20260417,000000,22.1,22.27,21.61,21.725,176613,0
REXC.US,D,20260420,000000,22.39,22.62,21.68,22.15,210227,0
REXC.US,D,20260421,000000,22.24,22.51,21.71,21.8,219407,0
REXC.US,D,20260422,000000,22.33,22.75,22.12,22.71,172445,0
REXC.US,D,20260423,000000,22.24,22.32,21.06,21.39,252873,0
REXC.US,D,20260424,000000,21.74,21.78,21.01,21.02,113854,0
REXC.US,D,20260427,000000,21.22,22.095,21.0287,22.01,310755,0
REXC.US,D,20260428,000000,21.75,22.2871,21.27,21.49,102364,0
REXC.US,D,20260429,000000,21.89,21.89,21.38,21.555,186084,0
REXC.US,D,20260430,000000,21.8,22.639,21.77,22.61,141072,0
REXC.US,D,20260501,000000,22.59,22.6699,22.1,22.6029,143461,0
REXC.US,D,20260504,000000,22.7,22.7,21.9,21.99,178835,0
REXC.US,D,20260505,000000,22.1,22.57,22.09,22.42,87610,0
REXC.US,D,20260506,000000,23.06,23.7699,22.84,23.7238,171859,0
REXC.US,D,20260507,000000,24.61,25.3899,22.735,22.92,241481,0
REXC.US,D,20260508,000000,23.5,23.54,22.56,22.91,145092,0
REXC.US,D,20260511,000000,22.95,23.35,22.4,22.94,230711,0
REXC.US,D,20260512,000000,22.72,22.81,21.9,22.48,174079,0
REXC.US,D,20260513,000000,22.93,23,22.4063,22.71,90012,0
REXC.US,D,20260514,000000,22.29,22.29,21.38,21.73,192217,0
REXC.US,D,20260515,000000,21.15,21.37,21,21.1146,97659,0
REXC.US,D,20260518,000000,21.5,21.5,20.4,20.6758,129183,0
REXC.US,D,20260519,000000,20.67,20.67,19.62,19.83,110085,0
REXC.US,D,20260520,000000,20.06,20.6692,19.85,20.63,151059,0
REXC.US,D,20260521,000000,20.9,21.54,20.815,21.3336,95065,0
REXC.US,D,20260522,000000,21.85,22.1,21.6401,21.86,103174,0
REXC.US,D,20260526,000000,22.16,22.85,22.0501,22.6547,154007,0
REXC.US,D,20260527,000000,22.67,22.67,22.1901,22.45,98959,0
REXC.US,D,20260528,000000,22.44,23,22.06,22.88,131440,0
REXC.US,D,20260529,000000,22.84,22.86,22.25,22.44,83969,0
REXC.US,D,20260601,000000,22.4,23.1099,21.89,22.76,108263,0
REXC.US,D,20260602,000000,22.88,23.738,22.88,23.63,174807,0
REXC.US,D,20260603,000000,23.46,23.46,22.35,22.57,105724,0
REXC.US,D,20260604,000000,22.3,22.3,21.82,22,54413,0
REXC.US,D,20260605,000000,21.48,21.9,19.8,19.87,176449,0
REXC.US,D,20260608,000000,20.47,20.74,19.82,19.89,109638,0
REXC.US,D,20260609,000000,20.34,20.34,18.64,19.18,165434,0
REXC.US,D,20260610,000000,19.08,19.34,18.6889,18.6889,97522,0
REXC.US,D,20260611,000000,18.93,20.0938,18.93,20.0938,183158,0
REXC.US,D,20260612,000000,20.46,20.47,20.14,20.39,32654,0
REXC.US,D,20260615,000000,21.11,21.13,20.67,20.73,102399,0
REXC.US,D,20260616,000000,20.64,20.9456,20.46,20.48,48902,0
REXC.US,D,20260617,000000,20.86,21.49,20.53,20.9,103964,0
REXC.US,D,20260618,000000,21.16,21.16,20.59,20.8656,95467,0
REXC.US,D,20260622,000000,21.49,21.5,21.08,21.31,161983,0
