<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHOTR.US,D,20260717,000000,0.16,0.18,0.16,0.176301,160502,0
SHOTR.US,D,20260721,000000,0.17,0.17,0.17,0.17,95041,0
SHOTR.US,D,20260722,000000,0.1501,0.1501,0.15,0.15,80460,0
SHOTR.US,D,20260723,000000,0.155,0.155,0.155,0.155,289266,0
SHOTR.US,D,20260727,000000,0.18,0.18,0.18,0.18,100,0
SHOTR.US,D,20260803,000000,0.18,0.18,0.18,0.18,200,0
SHOTR.US,D,20260804,000000,0.15,0.1501,0.15,0.1501,411,0
SHOTR.US,D,20260813,000000,0.18,0.18,0.18,0.18,700,0
SHOTR.US,D,20260814,000000,0.1796,0.1796,0.1796,0.1796,201,0
SHOTR.US,D,20260821,000000,0.1551,0.1695,0.15,0.1695,6631,0
