<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SORNU.US,D,20260107,000000,10,10.005,9.97,9.985,9413814,0
SORNU.US,D,20260108,000000,9.98,9.99,9.96,9.96,927495,0
SORNU.US,D,20260109,000000,9.98,9.98,9.95,9.95,729153,0
SORNU.US,D,20260112,000000,9.97,9.98,9.955,9.965,338234,0
SORNU.US,D,20260113,000000,9.96,9.965,9.96,9.965,337788,0
SORNU.US,D,20260114,000000,9.97,9.98,9.96,9.96,19677,0
SORNU.US,D,20260115,000000,9.975,9.975,9.96,9.96,17645,0
SORNU.US,D,20260116,000000,9.95,9.98,9.95,9.96,17891,0
SORNU.US,D,20260120,000000,9.97,9.97,9.9526,9.9526,103479,0
SORNU.US,D,20260121,000000,9.9562,9.965,9.95,9.965,9721,0
SORNU.US,D,20260122,000000,9.9617,9.99,9.96,9.96,205578,0
SORNU.US,D,20260123,000000,9.97,9.97,9.96,9.96,27636,0
SORNU.US,D,20260126,000000,9.9654,9.97,9.96,9.97,2298,0
SORNU.US,D,20260127,000000,9.9668,9.9779,9.96,9.96,632469,0
SORNU.US,D,20260128,000000,9.97,9.98,9.97,9.98,5942,0
SORNU.US,D,20260129,000000,9.97,9.98,9.97,9.98,329973,0
SORNU.US,D,20260130,000000,9.98,9.98,9.96,9.98,12225,0
SORNU.US,D,20260202,000000,9.99,9.99,9.985,9.985,37489,0
SORNU.US,D,20260203,000000,9.98,9.99,9.98,9.99,6275,0
SORNU.US,D,20260204,000000,9.985,9.985,9.985,9.985,719,0
SORNU.US,D,20260205,000000,9.99,9.99,9.98,9.98,8180,0
SORNU.US,D,20260206,000000,9.99,10,9.99,10,12007,0
SORNU.US,D,20260209,000000,9.9929,9.9929,9.99,9.99,101863,0
SORNU.US,D,20260210,000000,9.99,9.99,9.99,9.99,100039,0
SORNU.US,D,20260211,000000,9.98,9.98,9.96,9.96,8910,0
SORNU.US,D,20260212,000000,9.98,9.99,9.98,9.99,4363,0
SORNU.US,D,20260218,000000,9.98,9.98,9.98,9.98,5318,0
SORNU.US,D,20260219,000000,9.96,9.99,9.96,9.99,6192,0
SORNU.US,D,20260224,000000,10,10,9.9598,10,35500,0
SORNU.US,D,20260225,000000,9.98,9.99,9.98,9.99,5220,0
SORNU.US,D,20260303,000000,10,10,10,10,507,0
SORNU.US,D,20260305,000000,9.99,9.99,9.99,9.99,235,0
SORNU.US,D,20260306,000000,9.97,9.9702,9.96,9.96,2716,0
SORNU.US,D,20260309,000000,9.95,9.95,9.95,9.95,20018,0
SORNU.US,D,20260310,000000,9.95,9.95,9.93,9.93,53113,0
SORNU.US,D,20260311,000000,9.93,9.95,9.93,9.95,148251,0
SORNU.US,D,20260312,000000,9.92,9.95,9.92,9.95,712,0
SORNU.US,D,20260316,000000,9.95,9.95,9.95,9.95,200,0
SORNU.US,D,20260317,000000,9.95,9.95,9.95,9.95,131,0
SORNU.US,D,20260325,000000,9.95,10,9.95,10,1314,0
SORNU.US,D,20260326,000000,9.965,10,9.965,10,1200,0
SORNU.US,D,20260327,000000,9.96,10,9.96,10,221,0
SORNU.US,D,20260401,000000,9.97,10.05,9.97,10.04,1483,0
SORNU.US,D,20260402,000000,9.93,10.05,9.93,10.05,3417,0
SORNU.US,D,20260406,000000,9.96,9.96,9.96,9.96,288,0
SORNU.US,D,20260408,000000,9.99,9.99,9.99,9.99,1000,0
SORNU.US,D,20260415,000000,9.99,9.99,9.99,9.99,761,0
SORNU.US,D,20260429,000000,9.985,9.985,9.985,9.985,4124,0
SORNU.US,D,20260430,000000,9.97,9.97,9.97,9.97,200,0
SORNU.US,D,20260505,000000,10,10,10,10,205,0
SORNU.US,D,20260506,000000,9.97,9.97,9.97,9.97,200,0
SORNU.US,D,20260511,000000,10,10,10,10,100,0
SORNU.US,D,20260515,000000,9.97,9.97,9.97,9.97,15000,0
SORNU.US,D,20260528,000000,9.99,9.99,9.99,9.99,30300,0
SORNU.US,D,20260601,000000,10.04,10.04,10.04,10.04,4817,0
SORNU.US,D,20260602,000000,10.04,10.04,10.04,10.04,2702,0
SORNU.US,D,20260605,000000,10.02,10.02,10.0199,10.0199,1200,0
SORNU.US,D,20260609,000000,10.03,10.03,10.03,10.03,100,0
SORNU.US,D,20260610,000000,10.01,10.05,10.01,10.05,1602,0
SORNU.US,D,20260611,000000,10.01,10.05,9.99,10.05,6200,0
SORNU.US,D,20260615,000000,10,10,10,10,300,0
SORNU.US,D,20260622,000000,10,10,10,10,500,0
SORNU.US,D,20260629,000000,10.03,10.03,10.03,10.03,100,0
SORNU.US,D,20260630,000000,10,10,10,10,100,0
SORNU.US,D,20260702,000000,10.03,10.04,10.03,10.04,1513,0
SORNU.US,D,20260708,000000,10.03,10.03,10.03,10.03,200,0
SORNU.US,D,20260709,000000,10,10.03,10,10.03,700,0
SORNU.US,D,20260715,000000,10.03,10.03,10.03,10.03,267,0
SORNU.US,D,20260720,000000,10.05,10.05,10.05,10.05,100,0
SORNU.US,D,20260721,000000,10.01,10.01,10.01,10.01,3138,0
SORNU.US,D,20260723,000000,10.03,10.03,10.03,10.03,100,0
SORNU.US,D,20260724,000000,10.03,10.04,10.03,10.04,997,0
SORNU.US,D,20260727,000000,10.01,10.05,10.01,10.05,10250,0
SORNU.US,D,20260805,000000,10.255,10.255,10.01,10.255,3001,0
